"SUID","Family_Code","Family_Name","Lang_Name","LogNumSpeaker","name","Num_Speakers_M","Primary_Family_Code","Primary_Family_Name","selected","shared name","Viz_Family_Code","Viz_Family_Name"
"126","trk","Turkic","Kazakh","7.079181246047625","kaz","12.0","tut","Altaic","false","kaz","trk","Turkic"
"127","cau","Caucasian","Georgian","6.6020599913279625","kat","4.0","cau","Caucasian","false","kat","cau","Caucasian"
"128","inc","Indic","Kashmiri","6.698970004336019","kas","5.0","ine","Indo-European","false","kas","inc","Indic"
"129","dra","Dravidian","Kannada","7.672097857935717","kan","47.0","dra","Dravidian","false","kan","dra","Dravidian"
"130","esx","Eskimo-Aleut","Kalaallisut","4.698970004336019","kal","0.05","","Other","false","kal","esx","Eskimo-Aleut"
"131","poz","Malayo-Polynesian","Javanese","7.903089986991944","jav","80.0","map","Austronesian","false","jav","poz","Malayo-Polynesian"
"132","","Constructed","Interlingua","2.0","ina","1.0E-4","ine","Indo-European","false","ina","","Constructed"
"133","","Constructed","Ido","3.4771212547196626","ido","0.0030","ine","Indo-European","false","ido","","Constructed"
"134","hyx","Armenian","Armenian","6.778151250383644","hye","6.0","ine","Indo-European","false","hye","hyx","Armenian"
"135","inc","Indic","Hindi","8.740362689494244","hin","550.0","ine","Indo-European","false","hin","inc","Indic"
"136","inc","Indic","Fiji Hindi","5.662757831681574","hif","0.46","ine","Indo-European","false","hif","inc","Indic"
"137","inc","Indic","Gujarati","7.662757831681574","guj","46.0","ine","Indo-European","false","guj","inc","Indic"
"138","itc","Italic","Galician","6.6020599913279625","glg","4.0","ine","Indo-European","false","glg","itc","Italic"
"139","cel","Celtic","Irish","5.724275869600789","gle","0.53","ine","Indo-European","false","gle","cel","Celtic"
"140","cel","Celtic","Scottish Gaelic","4.845098040014257","gla","0.07","ine","Indo-European","false","gla","cel","Celtic"
"141","poz","Malayo-Polynesian","Filipino","7.954242509439325","fil","90.0","map","Austronesian","false","fil","poz","Malayo-Polynesian"
"142","gem","Germanic","Faroese","4.845098040014257","fao","0.07","ine","Indo-European","false","fao","gem","Germanic"
"143","euq","Basque","Basque","6.0","eus","1.0","","Other","false","eus","euq","Basque"
"144","itc","Italic","Emiliano-Romagnolo","6.301029995663981","eml","2.0","ine","Indo-European","false","eml","itc","Italic"
"145","zhx","Sinitic","Chinese","9.19728055812562","zho","1575.0","sit","Sino-Tibetan","false","zho","sit","Sino-Tibetan"
"146","tai","Tai","Thai","7.863322860120456","tha","73.0","tai","Tai","false","tha","tai","Tai"
"147","sqj","Albanian","Albanian","7.204119982655925","sqi","16.0","ine","Indo-European","false","sqi","sqj","Albanian"
"148","sla","Slavic","Slovenian","6.301029995663981","slv","2.0","ine","Indo-European","false","slv","sla","Slavic"
"149","itc","Italic","Romanian","7.447158031342219","ron","28.0","ine","Indo-European","false","ron","itc","Italic"
"150","itc","Italic","Romansh","4.544068044350276","roh","0.035","ine","Indo-European","false","roh","itc","Italic"
"151","itc","Italic","Portuguese","8.462397997898956","por","290.0","ine","Indo-European","false","por","itc","Italic"
"152","gem","Germanic","Pennsylvania German","5.3979400086720375","pdc","0.25","ine","Indo-European","false","pdc","gem","Germanic"
"153","gem","Germanic","Low German","7.0","nds","10.0","ine","Indo-European","false","nds","gem","Germanic"
