"SUID","Family_Code","Family_Name","Lang_Name","LogNumSpeaker","name","Num_Speakers_M","Primary_Family_Code","Primary_Family_Name","selected","shared name","Viz_Family_Code","Viz_Family_Name"
"1689","jpx","Japanese","Japanese","8.12057393120585","jpn","132.0","tut","Altaic","false","jpn","jpx","Japanese"
"1690","tbq","Tibeto-Burman","Tibetan","6.845098040014257","bod","7.0","sit","Sino-Tibetan","false","bod","sit","Sino-Tibetan"
"1691","inc","Indic","Bengali","8.361727836017593","ben","230.0","ine","Indo-European","false","ben","inc","Indic"
"1692","sla","Slavic","Belarusian","6.778151250383644","bel","6.0","ine","Indo-European","false","bel","sla","Slavic"
"1693","trk","Turkic","Turkish","7.845098040014257","tur","70.0","tut","Altaic","false","tur","trk","Turkic"
"1694","sla","Slavic","Russian","8.444044795918076","rus","278.0","ine","Indo-European","false","rus","sla","Slavic"
"1695","trk","Turkic","Azerbaijani","7.431363764158987","aze","27.0","tut","Altaic","false","aze","trk","Turkic"
"1696","itc","Italic","French","8.301029995663981","fra","200.0","ine","Indo-European","false","fra","itc","Italic"
"1697","ira","Iranian","Persian","8.02938377768521","fas","107.0","ine","Indo-European","false","fas","ira","Iranian"
"1698","sem","Semitic","Arabic","8.724275869600788","ara","530.0","afa","Afro-Asiatic","false","ara","sem","Semitic"
"1699","sem","Semitic","Amharic","7.3979400086720375","amh","25.0","afa","Afro-Asiatic","false","amh","sem","Semitic"
"1700","gem","Germanic","Dutch","7.431363764158987","nld","27.0","ine","Indo-European","false","nld","gem","Germanic"
"1701","poz","Malayo-Polynesian","Filipino","7.954242509439325","fil","90.0","map","Austronesian","false","fil","poz","Malayo-Polynesian"
"1702","gem","Germanic","English","9.176091259055681","eng","1500.0","ine","Indo-European","false","eng","gem","Germanic"
"1703","gem","Germanic","Afrikaans","7.113943352306837","afr","13.0","ine","Indo-European","false","afr","gem","Germanic"
