"SUID","639_1","639_2","639_2_B","639_3","Common_Twitter_Wiki_Code","Documentation","Element_Scope","Family_Code","Family_Name","Final_Name","Lang_Name","Language_Type","LogNumSpeaker","name","Num_Speakers_M","Partner_Agency","Primary_Family_Code","Primary_Family_Name","Reference_Name","selected","shared name","Status","Twitter_CLD_Only_Code","Viz_Family_Code","Viz_Family_Name","Wiki_Only_Code"
"841","ug","uig","","uig","ug","SIL","I","trk","Turkic","Uighur","Uighur","L","7.0","uig","10.0","JAC","tut","Altaic","Uighur","false","uig","A","","trk","Turkic",""
"842","","udm","","udm","","SIL","I","urj","Uralic","Udmurt","Udmurt","L","5.740362689494244","udm","0.55","JAC","urj","Uralic","Udmurt","false","udm","A","","urj","Uralic",""
"843","","tyv","","tyv","","SIL","I","trk","Turkic","Tuvinian","Tuvinian","L","5.3979400086720375","tyv","0.25","JAC","tut","Altaic","Tuvinian","false","tyv","A","","trk","Turkic",""
"844","tk","tuk","","tuk","tk","SIL","I","trk","Turkic","Turkmen","Turkmen","L","6.954242509439325","tuk","9.0","JAC","tut","Altaic","Turkmen","false","tuk","A","","trk","Turkic",""
"845","tg","tgk","","tgk","tg","SIL","I","ira","Iranian","Tajik","Tajik","L","6.6020599913279625","tgk","4.0","JAC","ine","Indo-European","Tajik","false","tgk","A","","ira","Iranian",""
"846","te","tel","","tel","te","SIL","I","dra","Dravidian","Telugu","Telugu","L","7.903089986991944","tel","80.0","JAC","dra","Dravidian","Telugu","false","tel","A","","dra","Dravidian",""
"847","tt","tat","","tat","tt","SIL","I","trk","Turkic","Tatar","Tatar","L","6.903089986991944","tat","8.0","JAC","tut","Altaic","Tatar","false","tat","A","","trk","Turkic",""
"848","","","","tab","","SIL","I","ccn","North Caucasian","Tabassaran","Tabassaran","L","5.0","tab","0.1","SIL","cau","Caucasian","Tabassaran","false","tab","A","","cau","Caucasian",""
"849","","","","swh","","SIL","I","nic","Niger-Kordofanian","Swahili (macrolanguage)","Swahili","L","7.698970004336019","swa","50.0","SIL","nic","Niger-Kordofanian","Swahili (individual language)","false","swa","A","","nic","Niger-Kordofanian",""
"850","si","sin","","sin","si","SIL","I","inc","Indic","Sinhala","Sinhala","L","7.278753600952829","sin","19.0","JAC","ine","Indo-European","Sinhala","false","sin","A","","inc","Indic",""
"851","","sah","","sah","","SIL","I","trk","Turkic","Yakut","Yakut","L","5.658964842664435","sah","0.456","JAC","tut","Altaic","Yakut","false","sah","A","","trk","Turkic",""
"852","ps","pus","","pus","ps","SIL","M","ira","Iranian","Pushto","Pushto","L","7.414973347970818","pus","26.0","JAC","ine","Indo-European","Pushto","false","pus","A","","ira","Iranian",""
"853","","","","eve","","SIL","I","","","Even","","L",,"eve",,"SIL","","Altaic","Even","false","eve","A","","","",""
"854","am","amh","","amh","am","SIL","I","sem","Semitic","Amharic","Amharic","L","7.3979400086720375","amh","25.0","JAC","afa","Afro-Asiatic","Amharic","false","amh","A","","sem","Semitic",""
"855","","","","rop","","SIL","I","","","Kriol","","L",,"rop",,"SIL","","Creoles and pidgins","Kriol","false","rop","A","","","",""
"856","","","","wbr","","SIL","I","","","Rajasthani","","L",,"raj",,"SIL","","Indo-European","Wagdi","false","raj","A","","","",""
"857","","pro","","pro","","LL","I","","","Old Provençal (to 1500)","","H",,"pro",,"JAC","","Indo-European","Old Provençal (to 1500)","false","pro","A","","","",""
"858","pi","pli","","pli","","","I","inc","Indic","Pali","Pali","A","0.0","pli","1.0E-6","JAC","ine","Indo-European","Pali","false","pli","A","","inc","Indic","pi"
"859","pa","pan","","pan","pa","SIL","I","inc","Indic","Panjabi","Panjabi","L","8.01703333929878","pan","104.0","JAC","ine","Indo-European","Panjabi","false","pan","A","","inc","Indic",""
"860","","pal","","pal","","","I","","","Pahlavi","","A",,"pal",,"JAC","","Indo-European","Pahlavi","false","pal","A","","","",""
"861","","ota","","ota","","","I","","","Ottoman Turkish (1500-1928)","","H",,"ota",,"JAC","","Altaic","Ottoman Turkish (1500-1928)","false","ota","A","","","",""
"862","os","oss","","oss","","SIL","I","ira","Iranian","Ossetian","Ossetian","L","5.7160033436347994","oss","0.52","JAC","ine","Indo-European","Ossetian","false","oss","A","","ira","Iranian","os"
"863","","","","orv","","","I","sla","Slavic","Old Russian","Old Russian","H","0.0","orv","1.0E-6","LL","ine","Indo-European","Old Russian","false","orv","A","","sla","Slavic",""
"864","","","","ojp","","","I","","","Old Japanese","","H",,"ojp",,"LL","","Altaic","Old Japanese","false","ojp","A","","","",""
"865","","sma","","sma","","SIL","I","","","Southern Sami","","L",,"sma",,"JAC","","Uralic","Southern Sami","false","sma","A","","","",""
"866","","non","","non","","LL","I","gem","Germanic","Old Norse","Old Norse","H","0.0","non","1.0E-6","JAC","ine","Indo-European","Old Norse","false","non","A","","gem","Germanic",""
"867","","nog","","nog","","SIL","I","","","Nogai","","L",,"nog",,"JAC","","Altaic","Nogai","false","nog","A","","","",""
"868","","","","nci","","","I","","","Classical Nahuatl","","H",,"nci",,"SIL","","Amerindian","Classical Nahuatl","false","nci","A","","","",""
"869","nv","nav","","nav","","SIL","I","xnd","Na-Dene","Navajo","Navajo","L","5.250420002308894","nav","0.178","JAC","","Amerindian","Navajo","false","nav","A","","nai","North American Indian","nv"
"870","","myv","","myv","","SIL","I","urj","Uralic","Erzya","Erzya","L","5.698970004336019","myv","0.5","JAC","urj","Uralic","Erzya","false","myv","A","","urj","Uralic",""
"871","","","","mvf","","SIL","I","xgn","Mongolian","Mongolian","Mongolian","L","6.698970004336019","mon","5.0","SIL","tut","Altaic","Peripheral Mongolian","false","mon","A","","xgn","Mongolian",""
"872","mo","mol","","mol","mo","","I","itc","Italic","Moldavian","Moldavian","L","6.544068044350276","mol","3.5","JAC","ine","Indo-European","Moldavian","false","mol","R","","itc","Italic",""
"873","mt","mlt","","mlt","mt","SIL","I","sem","Semitic","Maltese","Maltese","L","5.568201724066995","mlt","0.37","JAC","afa","Afro-Asiatic","Maltese","false","mlt","A","","sem","Semitic",""
"874","","","","xmw","","SIL","I","poz","Malayo-Polynesian","Malagasy","Malagasy","L","7.301029995663981","mlg","20.0","SIL","map","Austronesian","Tsimihety Malagasy","false","mlg","A","","poz","Malayo-Polynesian",""
"875","","mga","","mga","","LL","I","","","Middle Irish (900-1200)","","H",,"mga",,"JAC","","Indo-European","Middle Irish (900-1200)","false","mga","A","","","",""
"876","","mdf","","mdf","","SIL","I","urj","Uralic","Moksha","Moksha","L","5.698970004336019","mdf","0.5","JAC","urj","Uralic","Moksha","false","mdf","A","","urj","Uralic",""
"877","mr","mar","","mar","mr","SIL","I","inc","Indic","Marathi","Marathi","L","7.954242509439325","mar","90.0","JAC","ine","Indo-European","Marathi","false","mar","A","","inc","Indic",""
"878","ta","tam","","tam","ta","SIL","I","dra","Dravidian","Tamil","Tamil","L","7.819543935541868","tam","66.0","JAC","dra","Dravidian","Tamil","false","tam","A","","dra","Dravidian",""
