twit.deg	twit.bet	twit.eig	wiki.deg	wiki.bet	wiki.eig	book.deg	book.bet	book.eig	gdp.pc	pop	cultexp	language
8	46.5	0.274074294755999	4	0	0.17393235586663	13	12.45	0.321843319844543	8719.5625651	530	273.068	ara
3	0	0.0818006691149126	2	0	0.0956475212764951	10	0	0.291313211135865	13487.9143151	12	22.352	bul
7	0	0.317458179984351	4	0	0.164787940512071	10	0.2	0.277040665022585	30625.747	9	51.06	cat
12	48	0.427695513933463	4	0	0.179994659584018	20	7.45615079365079	0.474386986264056	27062.243	12	100.17	ces
6	2.5	0.185277421402819	4	0	0.179994659584018	22	6.95555555555556	0.502651584265193	37151.508	6	100	dan
10	1.66666666666667	0.345795250405767	40	116.471428571429	0.881853885828308	68	489.173412698413	0.948573661161242	38268.2796026	185	929.088	deu
6	0	0.169167454135754	2	0	0.095647521276495	9	0	0.27431646054084	26693.0809689	15	147.215	ell
64	952.152380952381	1	69	830.471428571429	1	89	1324.42341269841	1	32952.654697	1500	3300.798	eng
1	0	0.0566539590299203	1	0	0.0478237606382475	11	0	0.293886259592247	20379.764	1.07	10.095	est
3	0	0.0877087467624416	2	0	0.0956475212764951	7	0	0.204823747582721	9826.0354018	107	42.83	fas
2	0	0.088978363269135	8	0	0.319300767585278	17	4.8702380952381	0.414018475113666	36235.97	6	57.456	fin
17	57.8166666666667	0.508144128195	32	46.4714285714286	0.818472173093032	64	488.31626984127	0.908485778147255	15102.6722995	200	997.7	fra
6	0	0.246502861211266	2	0	0.069140419235576	4	0	0.11849770176385	30625.747	4	20.86	glg
4	0	0.174891292111783	4	0	0.179994659584018	22	20.9454365079365	0.447113949111919	12907.5138499	23	152.837	hbs
1	0	0.0566539590299203	4	0	0.179994659584018	8	0	0.240628268852556	30975.092	10	58.4	heb
1	0	0.0566539590299203	1	0	0.0478237606382475	5	0	0.103672287119184	3695.83888693	550	55.947	hin
1	0	0.0566539590299203	6	0	0.258279494174153	22	8.31964285714286	0.480815797918296	18671.7887242	15	84.014	hun
12	1.06666666666667	0.47336187734824	20	1.9047619047619	0.667877418887979	37	27.3313492063492	0.666951794601442	30623.2300236	70	801.15	ita
11	11.5	0.271056308480583	24	15.3047619047619	0.716780194239307	21	22.4535714285714	0.48642261078306	34739.655	132	137	jpn
15	100.233333333333	0.397599449640276	4	0	0.16420577015557	8	0	0.199138265052469	21723.4850386	78	43	kor
35	128.402380952381	0.822992157666438	2	0	0.0956475212764951	2	0	0.045233736307588	6022.80157538	300	15.987	msa
15	8.54285714285714	0.475438332157709	16	0	0.582232256103462	26	5.79484126984127	0.540485899013472	40518.2127388	27	226.858	nld
5	45.5	0.0916628728942925	8	0	0.319300767585278	19	2.61111111111111	0.450551691773209	53470.697	5	59	nor
1	0	0.0566539590299203	14	0	0.521210982692337	26	14.439880952381	0.547185866425526	20326.4642435	43	164.894	pol
21	32.4952380952381	0.570558612190605	12	0	0.459858981921982	13	0	0.351163110701693	11852.9173512	290	235.687	por
2	0	0.0959411238901882	4	0	0.179994659584018	12	0	0.335430901597671	11353.6063289	28	49.325	ron
11	121.333333333333	0.221932504943844	20	9.57142857142857	0.641438481118609	79	1454.82380952381	0.857987629055576	15487.109845	278	429.38	rus
3	0	0.105115247277254	1	0	0.0478237606382475	15	0.476190476190476	0.361352292038189	23432.3606287	7	21.816	slk
1	0	0.0566539590299203	1	0	0.0478237606382475	9	0	0.244468049041304	28641.568	2	13.665	slv
28	100.588095238095	0.693458419022746	26	83.3047619047619	0.722866816754267	47	212.728174603175	0.777157259129472	16776.6240904	500	774.644	spa
5	0	0.214178456972051	1	0	0.0478237606382475	8	65	0.199333625744642	9181.68500011	16	26.871	sqi
4	88	0.123694047350877	20	6.5	0.637980708718283	27	11.4654761904762	0.571497110044563	40265.4412139	10	138.465	swe
1	0	0.0566539590299203	1	0	0.0478237606382475	2	0	0.0635806991749557	3923.14947372	66	9.328	tam
6	0	0.220341260898159	1	0	0.0478237606382475	1	0	0.034220195108228	9396.242	73	7	tha
10	46.75	0.310011191468417	6	0	0.258279494174153	6	0	0.170603552474493	14623.1660236	70	164.856	tur
2	0	0.0251467100849923	4	0	0.15699952204685	4	0	0.127161398349911	7241.74481868	45	67.46	ukr
3	0	0.101705124890398	1	0	0.0478237606382475	1	0	0.0293605040667277	3447.16495996	80	10.95	vie
5	0	0.163687301868239	10	0	0.395978162288803	18	111.59880952381	0.354682260471156	9206.98537851	1575	115.598	zho
