Language	ABS(Eigenvector)	Popfrom	Popto
sin	0.095147644121459	0.001	0.001
slk	0.188869894018855	0.001	0.001
slv	0.126940513430533	0.001	0.001
sme	0.0390165492311213	0.001	0.001
snd	0.0544218105754042	0.001	0.001
som	0.0642918243917273	0.001	0.001
spa	0.271757842490807	0.001	0.001
sqi	0.131948192061025	0.001	0.001
srm	0.0120896150964917	0.001	0.001
srn	0.0120896150964917	0.001	0.001
sux	0.0544218105754041	0.001	0.001
swa	0.095147644121459	0.001	0.001
swe	0.197611822432864	0.001	0.001
syr	0.0544218105754041	0.001	0.001
tab	0.0814516670921096	0.001	0.001
tam	0.120375101161725	0.001	0.001
tat	0.0814516670921097	0.001	0.001
tbt	0.0242450032883128	0.001	0.001
tel	0.107806355133012	0.001	0.001
tgk	0.0814516670921097	0.001	0.001
tha	0.118248799890051	0.001	0.001
tkl	0.0544218105754042	0.001	0.001
tmh	0.0242450032883128	0.001	0.001
tuk	0.0814516670921097	0.001	0.001
tur	0.128977290676117	0.001	0.001
tyv	0.0814516670921096	0.001	0.001
tzm	0.0242450032883128	0.001	0.001
udm	0.0814516670921097	0.001	0.001
uig	0.090379626266361	0.001	0.001
ukr	0.159012378972973	0.001	0.001
urd	0.07950235816262	0.001	0.001
uzb	0.0814516670921097	0.001	0.001
vie	0.119392647409772	0.001	0.001
wbp	0.0544218105754042	0.001	0.001
xal	0.0814516670921097	0.001	0.001
xno	0.0544218105754041	0.001	0.001
yid	0.123370654805898	0.001	0.001
ykg	0.0407258335460548	0.001	0.001
yor	0.0544218105754041	0.001	0.001
yrk	0.0407258335460548	0.001	0.001
zho	0.164051123618558	0.001	0.001
zul	0.108843621150808	0.001	0.001
ssw	0.0544218105754041	0.001	0.001
xho	0.0544218105754042	0.001	0.001
smn	0.00905719119892948	0.001	0.001
beh	0.0242450032883128	0.001	0.001
box	0.0242450032883128	0.001	0.001
cme	0.0242450032883128	0.001	0.001
dos	0.0242450032883128	0.001	0.001
gng	0.0242450032883128	0.001	0.001
kzr	0.0242450032883128	0.001	0.001
las	0.0242450032883128	0.001	0.001
muy	0.0242450032883128	0.001	0.001
nnh	0.0242450032883128	0.001	0.001
wln	0.0242450032883128	0.001	0.001
wol	0.0242450032883128	0.001	0.001
xsm	0.0242450032883128	0.001	0.001
flr	0.00614889787164307	0.001	0.001
ife	0.00614889787164306	0.001	0.001
mif	0.00614889787164307	0.001	0.001
ted	0.00614889787164306	0.001	0.001
thd	0.00614889787164306	0.001	0.001
rom	0.00859612426771215	0.001	0.001
dyo	0.00744184723832665	0.001	0.001
epo	0.00995414223443469	0.001	0.001
new	0.00940517873924308	0.001	0.001
sma	0.00960248243214506	0.001	0.001
amh	0.0407258335460548	0.001	0.001
eve	0.0407258335460548	0.001	0.001
pus	0.0407258335460548	0.001	0.001
arg	0.0147895538264152	0.001	0.001
que	0.0147895538264152	0.001	0.001
kur	0.0107543931679017	0.001	0.001
rmu	0.0107543931679017	0.001	0.001
smj	0.0107543931679017	0.001	0.001
hmn	0.00892795917425135	0.001	0.001
hni	0.00892795917425135	0.001	0.001
iii	0.00892795917425135	0.001	0.001
kac	0.00892795917425136	0.001	0.001
lhu	0.00892795917425135	0.001	0.001
lis	0.00892795917425135	0.001	0.001
nbf	0.00892795917425136	0.001	0.001
tiz	0.00892795917425134	0.001	0.001
wbm	0.00892795917425136	0.001	0.001
yiz	0.00892795917425135	0.001	0.001
zha	0.00892795917425136	0.001	0.001
