SourceLanguageCode	TargetLanguageCode	SourceLanguageName	TargetLanguageName	SourcePopulation	TargetPopulations	Coocurrences	PhiCorrelation	Tstatistic
aar	hsb	Afar	Upper Sorbian	5	234	0	 -0.00001335	 -0.00009532
aar	hun	Afar	Hungarian	5	9488	0	 -0.00008514	 -0.01143308
aar	hye	Afar	Armenian	5	575	0	 -0.00002092	 -0.00052768
aar	ibo	Afar	Igbo	5	55	0	 -0.00000647	 -0.00002241
aar	ido	Afar	Ido	5	235	0	 -0.00001338	 -0.00011506
aar	iii	Afar	Sichuan Yi	5	2	0	 -0.00000123	 -0.00000174
aar	iku	Afar	Inuktitut	5	18	0	 -0.00000370	 -0.00001282
aar	ile	Afar	Interlingue	5	26	0	 -0.00000445	 -0.00002039
aar	ilo	Afar	Iloko	5	84	0	 -0.00000800	 -0.00004798
aar	ina	Afar	Interlingua (International Auxiliary Language Association)	5	200	0	 -0.00001234	 -0.00014495
aar	ipk	Afar	Inupiaq	5	56	1	  0.05975561	  0.15838151
aar	isl	Afar	Icelandic	5	956	0	 -0.00002698	 -0.00093116
aar	ita	Afar	Italian	5	33146	2	  0.00478501	  1.29266631
aar	jav	Afar	Javanese	5	339	0	 -0.00001607	 -0.00024364
aar	jbo	Afar	Lojban	5	169	0	 -0.00001134	 -0.00008335
aar	jpn	Afar	Japanese	5	28951	0	 -0.00014930	 -0.04788197
aar	kaa	Afar	Kara-Kalpak	5	104	0	 -0.00000890	 -0.00002354
aar	kab	Afar	Kabyle	5	168	0	 -0.00001131	 -0.00007835
aar	kal	Afar	Kalaallisut	5	55	0	 -0.00000647	 -0.00003544
aar	kan	Afar	Kannada	5	354	0	 -0.00001642	 -0.00037901
aar	kas	Afar	Kashmiri	5	10	0	 -0.00000276	 -0.00000730
aar	kat	Afar	Georgian	5	700	0	 -0.00002309	 -0.00078666
aar	kau	Afar	Kanuri	5	9	0	 -0.00000262	 -0.00000523
aar	kaz	Afar	Kazakh	5	349	0	 -0.00001630	 -0.00039392
aar	khm	Afar	Central Khmer	5	96	0	 -0.00000855	 -0.00014483
aar	kik	Afar	Kikuyu	5	3	0	 -0.00000151	 -0.00000214
aar	kin	Afar	Kinyarwanda	5	19	0	 -0.00000380	 -0.00001203
aar	kir	Afar	Kirghiz	5	116	0	 -0.00000940	 -0.00012396
aar	kom	Afar	Komi	5	22	0	 -0.00000409	 -0.00001784
aar	kon	Afar	Kongo	5	14	0	 -0.00000326	 -0.00001083
aar	kor	Afar	Korean	5	5941	0	 -0.00006733	 -0.00863845
aar	ksh	Afar	KÌ¦lsch	5	117	0	 -0.00000944	 -0.00009101
aar	kur	Afar	Kurdish	5	373	0	 -0.00001685	 -0.00030193
aar	lao	Afar	Lao	5	59	0	 -0.00000670	 -0.00005687
aar	lat	Afar	Latin	5	1932	0	 -0.00003836	 -0.00142155
aar	lav	Afar	Latvian	5	1069	0	 -0.00002853	 -0.00113414
aar	lbe	Afar	Lak	5	30	0	 -0.00000478	 -0.00001788
aar	lij	Afar	Ligurian	5	112	0	 -0.00000923	 -0.00006397
aar	lim	Afar	Limburgan	5	194	0	 -0.00001215	 -0.00015420
aar	lin	Afar	Lingala	5	19	0	 -0.00000380	 -0.00001141
aar	lit	Afar	Lithuanian	5	1979	0	 -0.00003883	 -0.00232388
aar	lmo	Afar	Lombard	5	231	0	 -0.00001326	 -0.00015969
aar	ltz	Afar	Luxembourgish	5	551	0	 -0.00002048	 -0.00048427
aar	lug	Afar	Ganda	5	3	0	 -0.00000151	 -0.00000338
aar	mah	Afar	Marshallese	5	3	0	 -0.00000151	 -0.00000214
aar	mal	Afar	Malayalam	5	965	0	 -0.00002711	 -0.00102619
aar	mar	Afar	Marathi	5	465	0	 -0.00001882	 -0.00046548
aar	mdf	Afar	Moksha	5	124	0	 -0.00000972	 -0.00002915
aar	mkd	Afar	Macedonian	5	943	0	 -0.00002680	 -0.00104888
aar	mlg	Afar	Malagasy	5	163	0	 -0.00001114	 -0.00008336
aar	mlt	Afar	Maltese	5	132	0	 -0.00001002	 -0.00011561
aar	mol	Afar	Moldavian	5	43	0	 -0.00000572	 -0.00003708
aar	mon	Afar	Mongolian	5	307	0	 -0.00001529	 -0.00030153
aar	mri	Afar	Maori	5	201	0	 -0.00001237	 -0.00008659
aar	msa	Afar	Malay (macrolanguage)	5	5532	0	 -0.00006496	 -0.00681438
aar	mus	Afar	Creek	5	4	0	 -0.00000174	 -0.00000247
aar	mya	Afar	Burmese	5	90	0	 -0.00000828	 -0.00010470
aar	myv	Afar	Erzya	5	32	0	 -0.00000494	 -0.00001780
aar	mzn	Afar	Mazanderani	5	51	0	 -0.00000623	 -0.00003525
aar	nap	Afar	Neapolitan	5	157	0	 -0.00001093	 -0.00011149
aar	nau	Afar	Nauru	5	39	0	 -0.00000545	 -0.00002110
aar	nav	Afar	Navajo	5	48	0	 -0.00000604	 -0.00002635
aar	ndo	Afar	Ndonga	5	5	0	 -0.00000195	 -0.00000276
aar	nds	Afar	Low German	5	340	0	 -0.00001609	 -0.00022352
aar	nep	Afar	Nepali macrolanguage	5	275	0	 -0.00001447	 -0.00020818
aar	new	Afar	Newari	5	171	0	 -0.00001141	 -0.00006353
aar	nld	Afar	Dutch	5	26888	0	 -0.00014382	 -0.03116328
aar	nor	Afar	Norwegian	5	13866	0	 -0.00010302	 -0.01554688
aar	nov	Afar	Novial	5	118	0	 -0.00000948	 -0.00003417
aar	nrm	Afar	Narom	5	27	0	 -0.00000453	 -0.00001813
aar	nya	Afar	Nyanja	5	7	0	 -0.00000231	 -0.00000400
aar	oci	Afar	Occitan (post 1500)	5	345	0	 -0.00001621	 -0.00021440
aar	ori	Afar	Oriya (macrolanguage)	5	141	0	 -0.00001036	 -0.00007822
aar	orm	Afar	Oromo	5	57	0	 -0.00000659	 -0.00001863
aar	oss	Afar	Ossetian	5	77	0	 -0.00000766	 -0.00005020
aar	pag	Afar	Pangasinan	5	16	0	 -0.00000349	 -0.00001104
