MacroCode	MacroName	IndivCode	IndivName
hmn	Hmong	hmh	Southwestern Huishui Hmong
hmn	Hmong	hmi	Northern Huishui Hmong
hmn	Hmong	hmj	Ge
hmn	Hmong	hml	Luopohe Hmong
hmn	Hmong	hmm	Central Mashan Hmong
hmn	Hmong	hmp	Northern Mashan Hmong
hmn	Hmong	hmq	Eastern Qiandong Miao
hmn	Hmong	hms	Southern Qiandong Miao
hmn	Hmong	hmw	Western Mashan Hmong
hmn	Hmong	hmy	Southern Guiyang Hmong
hmn	Hmong	hmz	Hmong Shua
lah	Lahnda	hnd	Southern Hindko
hmn	Hmong	hnj	Hmong Njua
lah	Lahnda	hno	Northern Hindko
raj	Rajasthani	hoj	Hadothi
hmn	Hmong	hrm	Horned Miao
hbs	Serbo-Croatian	hrv	Croatian
zho	Chinese	hsn	Xiang Chinese
hmn	Hmong	huj	Northern Guiyang Hmong
luy	Luyia	ida	Idakho-Isukha-Tiriki
iku	Inuktitut	ike	Eastern Canadian Inuktitut
iku	Inuktitut	ikt	Inuinnaqtun
msa	Malay (macrolanguage)	ind	Indonesian
msa	Malay (macrolanguage)	jak	Jakun
lah	Lahnda	jat	Jakati
msa	Malay (macrolanguage)	jax	Jambi Malay
jrb	Judeo-Arabic	jye	Judeo-Yemeni Arabic
kau	Kanuri	kby	Manga Kanuri
mon	Mongolian	khk	Halh Mongolian
zza	Zaza	kiu	Kirmanjki (individual language)
kur	Kurdish	kmr	Northern Kurdish
kau	Kanuri	knc	Central Kanuri
kon	Kongo	kng	Koongo
kok	Konkani (macrolanguage)	knn	Konkani (individual language)
kom	Komi	koi	Komi-Permyak
kom	Komi	kpv	Komi-Zyrian
kau	Kanuri	krt	Tumari Kanuri
msa	Malay (macrolanguage)	kvb	Kubu
msa	Malay (macrolanguage)	kvr	Kerinci
kon	Kongo	kwy	San Salvador Kongo
msa	Malay (macrolanguage)	kxd	Brunei
bnc	Bontok	lbk	Central Bontok
bik	Bikol	lbl	Libon Bikol
msa	Malay (macrolanguage)	lce	Loncong
msa	Malay (macrolanguage)	lcf	Lubu
kon	Kongo	ldi	Laari
msa	Malay (macrolanguage)	liw	Col
luy	Luyia	lkb	Kabras
luy	Luyia	lko	Khayo
luy	Luyia	lks	Kisa
luy	Luyia	lri	Marachi
luy	Luyia	lrm	Marama
luy	Luyia	lsm	Saamia
lav	Latvian	ltg	Latgalian
luy	Luyia	lto	Tsotso
luy	Luyia	lts	Tachoni
lav	Latvian	lvs	Standard Latvian
luy	Luyia	lwg	Wanga
zho	Chinese	lzh	Literary Chinese
msa	Malay (macrolanguage)	max	North Moluccan Malay
gba	Gbaya (Central African Republic)	mdo	Southwest Gbaya  (Retired 1/14/2008)
msa	Malay (macrolanguage)	meo	Kedah Malay
msa	Malay (macrolanguage)	mfa	Pattani Malay
msa	Malay (macrolanguage)	mfb	Bangka
chm	Mari (Russia)	mhr	Eastern Mari
msa	Malay (macrolanguage)	min	Minangkabau
man	Mandingo	mku	Konyanka Maninka
man	Mandingo	mlq	Western Maninkakan
msa	Malay (macrolanguage)	mly	Malay (individual language)  (Retired 2/18/2008)
hmn	Hmong	mmr	Western Xiangxi Miao
man	Mandingo	mnk	Mandinka
zho	Chinese	mnp	Min Bei Chinese
msa	Malay (macrolanguage)	mqg	Kota Bangun Kutai Malay
chm	Mari (Russia)	mrj	Western Mari
man	Mandingo	msc	Sankaran Maninka
mlg	Malagasy	msh	Masikoro Malagasy
msa	Malay (macrolanguage)	msi	Sabah Malay
mwr	Marwari	mtr	Mewari
msa	Malay (macrolanguage)	mui	Musi
raj	Rajasthani	mup	Malvi
hmn	Hmong	muq	Eastern Xiangxi Miao
mwr	Marwari	mve	Marwari (Pakistan)
mon	Mongolian	mvf	Peripheral Mongolian
man	Mandingo	mwk	Kita Maninkakan
hmn	Hmong	mww	Hmong Daw
man	Mandingo	myq	Forest Maninka
zho	Chinese	nan	Min Nan Chinese
grn	Guarani	nhd	Chiripá
kln	Kalenjin	niq	Nandi
luy	Luyia	nle	East Nyala
nor	Norwegian	nno	Norwegian Nynorsk
nor	Norwegian	nob	Norwegian Bokmål
nep	Nepali macrolanguage	npi	Nepali
luy	Luyia	nyd	Nyore
bnc	Bontok	obk	Southern Bontok
oji	Ojibwa	ojb	Northwestern Ojibwa
oji	Ojibwa	ojc	Central Ojibwa
oji	Ojibwa	ojg	Eastern Ojibwa
oji	Ojibwa	ojs	Severn Ojibwa
oji	Ojibwa	ojw	Western Ojibwa
kln	Kalenjin	oki	Okiek
orm	Oromo	orc	Orma
msa	Malay (macrolanguage)	orn	Orang Kanaq
msa	Malay (macrolanguage)	ors	Orang Seletar
ori	Oriya macrolanguage	ory	Oriya
oji	Ojibwa	otw	Ottawa
pus	Pushto	pbt	Southern Pashto
pus	Pushto	pbu	Northern Pashto
msa	Malay (macrolanguage)	pel	Pekal
fas	Persian	pes	Iranian Persian
ara	Arabic	pga	Sudanese Creole Arabic
lah	Lahnda	phr	Pahari-Potwari
kln	Kalenjin	pko	Pökoot
mlg	Malagasy	plt	Plateau Malagasy
lah	Lahnda	pmu	Mirpur Panjabi
lah	Lahnda	pnb	Western Panjabi
fas	Persian	prs	Dari
msa	Malay (macrolanguage)	pse	Central Malay
pus	Pushto	pst	Central Pashto
que	Quechua	qub	Huallaga Huánuco Quechua
que	Quechua	qud	Calderón Highland Quichua
que	Quechua	quf	Lambayeque Quechua
que	Quechua	qug	Chimborazo Highland Quichua
que	Quechua	quh	South Bolivian Quechua
que	Quechua	quk	Chachapoyas Quechua
que	Quechua	qul	North Bolivian Quechua
que	Quechua	qup	Southern Pastaza Quechua
que	Quechua	qur	Yanahuanca Pasco Quechua
que	Quechua	qus	Santiago del Estero Quichua
que	Quechua	quw	Tena Lowland Quichua
que	Quechua	qux	Yauyos Quechua
que	Quechua	quy	Ayacucho Quechua
que	Quechua	quz	Cusco Quechua
que	Quechua	qva	Ambo-Pasco Quechua
que	Quechua	qvc	Cajamarca Quechua
que	Quechua	qve	Eastern Apurímac Quechua
que	Quechua	qvh	Huamalíes-Dos de Mayo Huánuco Quechua
que	Quechua	qvi	Imbabura Highland Quichua
que	Quechua	qvj	Loja Highland Quichua
que	Quechua	qvl	Cajatambo North Lima Quechua
que	Quechua	qvm	Margos-Yarowilca-Lauricocha Quechua
que	Quechua	qvn	North Junín Quechua
que	Quechua	qvo	Napo Lowland Quechua
que	Quechua	qvp	Pacaraos Quechua
que	Quechua	qvs	San Martín Quechua
que	Quechua	qvw	Huaylla Wanca Quechua
que	Quechua	qvz	Northern Pastaza Quichua
que	Quechua	qwa	Corongo Ancash Quechua
que	Quechua	qwc	Classical Quechua
que	Quechua	qwh	Huaylas Ancash Quechua
que	Quechua	qws	Sihuas Ancash Quechua
que	Quechua	qxa	Chiquián Ancash Quechua
que	Quechua	qxc	Chincha Quechua
que	Quechua	qxh	Panao Huánuco Quechua
que	Quechua	qxl	Salasaca Highland Quichua
que	Quechua	qxn	Northern Conchucos Ancash Quechua
que	Quechua	qxo	Southern Conchucos Ancash Quechua
que	Quechua	qxp	Puno Quechua
que	Quechua	qxr	Cañar Highland Quichua
que	Quechua	qxt	Santa Ana de Tusi Pasco Quechua
que	Quechua	qxu	Arequipa-La Unión Quechua
que	Quechua	qxw	Jauja Wanca Quechua
luy	Luyia	rag	Logooli
bnc	Bontok	rbk	Northern Bontok
bik	Bikol	rbl	Miraya Bikol
rom	Romany	rmc	Carpathian Romani
rom	Romany	rmf	Kalo Finnish Romani
rom	Romany	rml	Baltic Romani
rom	Romany	rmn	Balkan Romani
rom	Romany	rmo	Sinte Romani
rom	Romany	rmw	Welsh Romani
rom	Romany	rmy	Vlax Romani
mwr	Marwari	rwr	Marwari (India)
den	Slave (Athapascan)	scs	North Slavey
srd	Sardinian	sdc	Sassarese Sardinian
kur	Kurdish	sdh	Southern Kurdish
srd	Sardinian	sdn	Gallurese Sardinian
hmn	Hmong	sfm	Small Flowery Miao
kln	Kalenjin	sgc	Kipsigis
ara	Arabic	shu	Chadian Arabic
mlg	Malagasy	skg	Sakalava Malagasy
lah	Lahnda	skr	Seraiki
ori	Oriya macrolanguage	spv	Sambalpuri
kln	Kalenjin	spy	Sabaot
srd	Sardinian	src	Logudorese Sardinian
srd	Sardinian	sro	Campidanese Sardinian
hbs	Serbo-Croatian	srp	Serbian
ara	Arabic	ssh	Shihhi Arabic
swa	Swahili (macrolanguage)	swc	Congo Swahili
swa	Swahili (macrolanguage)	swh	Swahili (individual language)
mwr	Marwari	swv	Shekhawati
tmh	Tamashek	taq	Tamasheq
mlg	Malagasy	tdx	Tandroy-Mahafaly Malagasy
kln	Kalenjin	tec	Terik
tmh	Tamashek	thv	Tahaggart Tamahaq
tmh	Tamashek	thz	Tayart Tamajeq
mlg	Malagasy	tkg	Tesaka Malagasy
msa	Malay (macrolanguage)	tmw	Temuan
tmh	Tamashek	ttq	Tawallammat Tamajaq
kln	Kalenjin	tuy	Tugen
aka	Akan	twi	Twi
mlg	Malagasy	txy	Tanosy Malagasy
bik	Bikol	ubl	Buhi'non Bikol
del	Delaware	umu	Munsee
del	Delaware	unm	Unami
msa	Malay (macrolanguage)	urk	Urak Lawoi'
uzb	Uzbek	uzn	Northern Uzbek
uzb	Uzbek	uzs	Southern Uzbek
bnc	Bontok	vbk	Southwestern Bontok
msa	Malay (macrolanguage)	vkk	Kaur
msa	Malay (macrolanguage)	vkt	Tenggarong Kutai Malay
est	Estonian	vro	Võro
raj	Rajasthani	wbr	Wagdi
mwr	Marwari	wry	Merwari
zho	Chinese	wuu	Wu Chinese
lah	Lahnda	xhe	Khetrani
msa	Malay (macrolanguage)	xmm	Manado Malay
mlg	Malagasy	xmv	Antankarana Malagasy
mlg	Malagasy	xmw	Tsimihety Malagasy
doi	Dogri (macrolanguage)	xnr	Kangri
kpe	Kpelle	xpe	Liberia Kpelle
den	Slave (Athapascan)	xsl	South Slavey
yid	Yiddish	ydd	Eastern Yiddish
jrb	Judeo-Arabic	yhd	Judeo-Iraqi Arabic
yid	Yiddish	yih	Western Yiddish
jrb	Judeo-Arabic	yud	Judeo-Tripolitanian Arabic
zho	Chinese	yue	Yue Chinese
zap	Zapotec	zaa	Sierra de Juárez Zapotec
zap	Zapotec	zab	San Juan Guelavía Zapotec
zap	Zapotec	zac	Ocotlán Zapotec
zap	Zapotec	zad	Cajonos Zapotec
zap	Zapotec	zae	Yareni Zapotec
zap	Zapotec	zaf	Ayoquesco Zapotec
zap	Zapotec	zai	Isthmus Zapotec
zap	Zapotec	zam	Miahuatlán Zapotec
zap	Zapotec	zao	Ozolotepec Zapotec
zap	Zapotec	zaq	Aloápam Zapotec
zap	Zapotec	zar	Rincón Zapotec
zap	Zapotec	zas	Santo Domingo Albarradas Zapotec
zap	Zapotec	zat	Tabaa Zapotec
zap	Zapotec	zav	Yatzachi Zapotec
zap	Zapotec	zaw	Mitla Zapotec
zap	Zapotec	zax	Xadani Zapotec
zap	Zapotec	zca	Coatecas Altas Zapotec
zha	Zhuang	zch	Central Hongshuihe Zhuang
zha	Zhuang	zeh	Eastern Hongshuihe Zhuang
zha	Zhuang	zgb	Guibei Zhuang
zha	Zhuang	zgm	Minz Zhuang
zha	Zhuang	zgn	Guibian Zhuang
zha	Zhuang	zhd	Dai Zhuang
zha	Zhuang	zhn	Nong Zhuang
zha	Zhuang	zlj	Liujiang Zhuang
msa	Malay (macrolanguage)	zlm	Malay (individual language)
zha	Zhuang	zln	Lianshan Zhuang
zha	Zhuang	zlq	Liuqian Zhuang
msa	Malay (macrolanguage)	zmi	Negeri Sembilan Malay
zap	Zapotec	zoo	Asunción Mixtepec Zapotec
zap	Zapotec	zpa	Lachiguiri Zapotec
zap	Zapotec	zpb	Yautepec Zapotec
zap	Zapotec	zpc	Choapan Zapotec
zap	Zapotec	zpd	Southeastern Ixtlán Zapotec
zap	Zapotec	zpe	Petapa Zapotec
zap	Zapotec	zpf	San Pedro Quiatoni Zapotec
zap	Zapotec	zpg	Guevea De Humboldt Zapotec
zap	Zapotec	zph	Totomachapan Zapotec
zap	Zapotec	zpi	Santa María Quiegolani Zapotec
zap	Zapotec	zpj	Quiavicuzas Zapotec
zap	Zapotec	zpk	Tlacolulita Zapotec
zap	Zapotec	zpl	Lachixío Zapotec
zap	Zapotec	zpm	Mixtepec Zapotec
zap	Zapotec	zpn	Santa Inés Yatzechi Zapotec
zap	Zapotec	zpo	Amatlán Zapotec
zap	Zapotec	zpp	El Alto Zapotec
zap	Zapotec	zpq	Zoogocho Zapotec
zap	Zapotec	zpr	Santiago Xanica Zapotec
zap	Zapotec	zps	Coatlán Zapotec
zap	Zapotec	zpt	San Vicente Coatlán Zapotec
zap	Zapotec	zpu	Yalálag Zapotec
zap	Zapotec	zpv	Chichicapan Zapotec
zap	Zapotec	zpw	Zaniza Zapotec
zap	Zapotec	zpx	San Baltazar Loxicha Zapotec
zap	Zapotec	zpy	Mazaltepec Zapotec
zap	Zapotec	zpz	Texmelucan Zapotec
zha	Zhuang	zqe	Qiubei Zhuang
msa	Malay (macrolanguage)	zsm	Standard Malay
zap	Zapotec	zsr	Southern Rincon Zapotec
zap	Zapotec	ztc	Lachirioag Zapotec  (Retired 7/18/2007)
zap	Zapotec	zte	Elotepec Zapotec
zap	Zapotec	ztg	Xanaguía Zapotec
zap	Zapotec	ztl	Lapaguía-Guivini Zapotec
zap	Zapotec	ztm	San Agustín Mixtepec Zapotec
zap	Zapotec	ztn	Santa Catarina Albarradas Zapotec
zap	Zapotec	ztp	Loxicha Zapotec
zap	Zapotec	ztq	Quioquitani-Quierí Zapotec
zap	Zapotec	zts	Tilquiapan Zapotec
zap	Zapotec	ztt	Tejalapan Zapotec
zap	Zapotec	ztu	Güilá Zapotec
zap	Zapotec	ztx	Zaachila Zapotec
zap	Zapotec	zty	Yatee Zapotec
zha	Zhuang	zyb	Yongbei Zhuang
zha	Zhuang	zyg	Yang Zhuang
zha	Zhuang	zyj	Youjiang Zhuang
zha	Zhuang	zyn	Yongnan Zhuang
zha	Zhuang	zzj	Zuojiang Zhuang
