twit.deg	twit.bet	twit.eig	wiki.deg	wiki.bet	wiki.eig	book.deg	book.bet	book.eig	gdp.pc	pop	cultexp	language
8	46.5	0.274074294755998	4	0	0.17393235586663	13	12.45	0.321843319844544	8719.5625651	530	14.048	ara
7	0	0.317458179984351	4	0	0.164787940512071	10	0.2	0.277040665022585	30625.747	9	4.42	cat
12	48	0.427695513933462	4	0	0.179994659584018	20	7.45615079365079	0.474386986264057	27062.243	12	26.712	ces
6	2.5	0.185277421402819	4	0	0.179994659584018	22	6.95555555555556	0.502651584265194	37151.508	6	20	dan
10	1.66666666666667	0.345795250405766	40	116.471428571429	0.881853885828309	68	489.173412698413	0.948573661161243	38268.2796026	185	329.912	deu
6	0	0.169167454135753	2	0	0.0956475212764952	9	0	0.274316460540841	26693.0809689	15	5.992	ell
2	0	0.0889783632691348	8	0	0.319300767585279	17	4.8702380952381	0.414018475113667	36235.97	6	4.56	fin
17	57.8166666666667	0.508144128194999	32	46.4714285714286	0.818472173093032	64	488.31626984127	0.908485778147257	15102.6722995	200	255.743	fra
6	0	0.246502861211265	2	0	0.0691404192355761	4	0	0.11849770176385	30625.747	4	1.82	glg
4	0	0.174891292111783	4	0	0.179994659584018	22	20.9454365079365	0.447113949111919	12907.5138499	23	8.107	hbs
1	0	0.0566539590299202	1	0	0.0478237606382476	5	0	0.103672287119184	3695.83888693	550	6.593	hin
1	0	0.0566539590299201	6	0	0.258279494174153	22	8.31964285714286	0.480815797918297	18671.7887242	15	17.62	hun
12	1.06666666666667	0.473361877348239	20	1.9047619047619	0.667877418887981	37	27.3313492063492	0.666951794601443	30623.2300236	70	60.144	ita
11	11.5	0.271056308480583	24	15.3047619047619	0.716780194239308	21	22.4535714285714	0.48642261078306	34739.655	132	57	jpn
15	8.54285714285714	0.475438332157708	16	0	0.582232256103463	26	5.79484126984127	0.540485899013472	40518.2127388	27	47.2	nld
5	45.5	0.0916628728942925	8	0	0.319300767585279	19	2.61111111111111	0.450551691773209	53470.697	5	22	nor
1	0	0.0566539590299202	14	0	0.521210982692338	26	14.439880952381	0.547185866425526	20326.4642435	43	20.538	pol
21	32.4952380952381	0.570558612190604	12	0	0.459858981921983	13	0	0.351163110701694	11852.9173512	290	7.384	por
2	0	0.095941123890188	4	0	0.179994659584018	12	0	0.335430901597671	11353.6063289	28	3.64	ron
11	121.333333333333	0.221932504943844	20	9.57142857142857	0.64143848111861	79	1454.82380952381	0.857987629055577	15487.109845	278	118	rus
3	0	0.105115247277254	1	0	0.0478237606382476	15	0.476190476190476	0.36135229203819	23432.3606287	7	3.804	slk
1	0	0.0566539590299201	1	0	0.0478237606382476	9	0	0.244468049041304	28641.568	2	1.822	slv
28	100.588095238095	0.693458419022746	26	83.3047619047619	0.722866816754268	47	212.728174603175	0.777157259129473	16776.6240904	500	63.012	spa
4	88	0.123694047350876	20	6.5	0.637980708718284	27	11.4654761904762	0.571497110044563	40265.4412139	10	21.275	swe
10	46.75	0.310011191468417	6	0	0.258279494174153	6	0	0.170603552474493	14623.1660236	70	1.186	tur
5	0	0.163687301868239	10	0	0.395978162288804	18	111.59880952381	0.354682260471156	9206.98537851	1575	22.163	zho
