	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-6.183***	2.469***	2.575***	2.946***	-9.393***	-3.761	-0.765
	(0.801)	(0.230)	(0.180)	(0.183)	(2.036)	(2.397)	(1.792)
pop	0.863***				1.077***	0.699***	0.495***
	(0.084)				(0.149)	(0.174)	(0.134)
gdp.pc	1.460***				2.022***	1.029*	0.539
	(0.175)				(0.371)	(0.438)	(0.319)
twit.eig		0.466***			-0.205		
		(0.082)			(0.120)		
wiki.eig			0.792***			0.224	
			(0.100)			(0.209)	
book.eig				0.832***			0.497**
				(0.085)			(0.151)
sigma	0.383	0.588	0.485	0.421	0.373	0.382	0.338
R-squared	0.784	0.478	0.644	0.732	0.802	0.792	0.838
adj. R-squared	0.772	0.463	0.634	0.724	0.784	0.773	0.823
F	61.848	32.026	63.359	95.577	44.522	41.795	56.752
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	37	37	37	37	37	37	37
