lang_code	pagerank
eng	0.379375764113
fra	0.0794309576339
deu	0.0770158510911
spa	0.0585686390462
rus	0.038383718811
por	0.0319444147961
msa	0.027470152847
ita	0.0239381644913
jpn	0.0179289107936
nld	0.0169421580467
swe	0.0135585080778
ara	0.012600128556
dan	0.0122262899248
ces	0.0106635911782
hbs	0.0105880216685
pol	0.00902228910777
hun	0.00848059643573
fil	0.00798411645373
heb	0.00787951067165
zho	0.00781223236494
nor	0.00762558212353
lat	0.00678075348543
cat	0.00672166439887
tur	0.00665636655625
fin	0.00622409308638
ell	0.00610456974061
ron	0.00562607607507
est	0.00544408328534
kor	0.00512656203059
ukr	0.00475219612609
fas	0.00411637106796
bul	0.00395813026542
afr	0.0039175992658
slv	0.00374793156959
tha	0.00366957994389
slk	0.00364424316768
glg	0.00348172768952
ben	0.00345742382303
sqi	0.00343284613064
cym	0.00342757776658
lit	0.00337719980038
hin	0.00329722106859
lav	0.00314047157182
urd	0.00313475404925
vie	0.00310411472841
tam	0.0030973050307
mkd	0.00308149435899
isl	0.003001695947
bel	0.00291417431467
eus	0.00291130379763
mal	0.00287579873487
pan	0.00283312186904
gle	0.00279245361272
kat	0.00272449643629
aze	0.00272184307807
epo	0.00263157894737
mlt	0.00263157894737
