1	6849665
2	349925
3	65200
4	24260
5	12818
6	7702
7	4961
8	3523
9	2588
10	1972
11	1508
12	1283
13	964
14	818
15	677
16	606
17	504
18	493
19	404
20	391
21	339
22	335
23	297
24	267
25	255
26	211
27	222
28	188
29	188
30	164
31	155
32	148
33	120
34	140
35	109
36	128
37	99
38	105
39	87
40	73
41	79
42	102
43	70
44	72
45	56
46	75
47	65
48	63
49	50
50	43
51	51
52	57
53	46
54	44
55	46
56	33
57	49
58	29
59	36
60	22
61	20
62	23
63	30
64	23
65	27
66	15
67	20
68	29
69	22
70	21
71	14
72	16
73	16
74	11
75	28
76	15
77	13
78	16
79	19
80	20
81	11
82	9
83	8
84	8
85	8
86	12
87	7
88	7
89	9
90	12
91	8
92	6
93	6
94	9
95	5
96	6
97	11
98	13
99	9
100	7
101	5
102	6
103	6
104	5
105	6
106	8
107	3
108	3
109	6
110	4
111	7
112	8
113	5
114	2
115	4
116	4
117	4
118	4
119	2
120	5
121	2
122	4
123	2
124	5
126	2
127	5
128	3
129	4
130	2
131	5
132	3
134	1
135	5
136	3
137	3
138	6
139	1
140	1
141	1
142	1
143	8
144	4
148	2
149	3
150	4
151	5
152	4
153	4
154	4
155	5
156	2
157	3
158	5
159	1
160	3
161	1
162	1
164	3
166	2
167	3
168	3
169	4
170	1
174	1
176	3
178	2
179	2
180	1
181	2
182	2
184	2
186	4
187	2
188	2
189	2
190	2
192	2
193	1
195	2
196	1
197	2
198	1
200	2
201	1
202	5
203	4
204	1
206	1
207	1
208	4
209	2
213	3
215	2
216	3
217	2
219	2
220	1
221	3
222	2
223	5
224	3
225	5
226	4
227	6
228	7
229	13
230	31
231	15
232	3
233	5
234	3
235	2
236	2
237	3
239	1
240	6
