source	target	exposure
eng	ben	1.0
eng	hbs	0.222222222222
msa	zho	0.0196078431373
ell	por	0.0185185185185
nor	spa	0.0188679245283
nld	jpn	0.00523560209424
hbs	eng	0.000867678958785
deu	nld	0.051724137931
rus	fin	0.0178571428571
swe	nor	0.0769230769231
