	wweight.new	wcommon.num.new
tur (pp) eng	0.00242897853265134	1068
por (pp) eng	0.00632489634766234	2781
nor (pp) eng	0.00350473400638175	1541
spa (pp) jpn	0.00513363754889179	189
spa (pp) glg	0.338289962825279	182
jpn (pp) ita	0.00669082798996376	168
spa (pp) eus	0.283582089552239	133
hun (pp) deu	0.00313207598334983	231
spa (pp) cat	0.276800439802089	1007
rus (pp) deu	0.00957249196642848	706
hun (pp) eng	0.00202642310167822	891
swe (pp) jpn	0.00260756192959583	96
swe (pp) fin	0.0205435134260757	127
eng (pp) ara	0.185049547608789	859
ell (pp) deu	0.00107114286876466	79
zho (pp) jpn	0.0149119947848761	549
fra (pp) deu	0.0264667199978306	1952
ron (pp) deu	0.00143722967201334	106
zho (pp) spa	0.00166987797045601	65
eng (pp) ell	0.319612590799031	660
tur (pp) deu	0.00256260762274077	189
spa (pp) rus	0.00676452682134885	200
rus (pp) heb	0.011736740454613	79
deu (pp) dan	0.0534045393858478	160
swe (pp) dan	0.0243658210947931	73
ukr (pp) rus	0.0315903402556991	934
zho (pp) deu	0.00286090057353599	211
swe (pp) deu	0.00602009409786721	444
eng (pp) ben	0.46027397260274	168
epo (pp) deu	0.00101690778680189	75
swe (pp) nor	0.0272277227722772	154
spa (pp) eng	0.0165366132124606	7271
kor (pp) eng	0.00172621227179997	759
hbs (pp) deu	0.00206093311458517	152
msa (pp) eng	0.00198548526124028	873
ita (pp) eng	0.00818074511418246	3597
pol (pp) ces	0.0153542443518315	70
nor (pp) jpn	0.00162972620599739	60
nor (pp) deu	0.00386424958984719	285
nor (pp) dan	0.0293724966622163	88
ron (pp) fra	0.00204638472032742	90
heb (pp) deu	0.00161349368839234	119
heb (pp) fra	0.00156889495225102	69
rus (pp) jpn	0.00518796175575837	191
hbs (pp) eng	0.0018763176867391	825
nld (pp) deu	0.0101419603270375	748
ita (pp) fra	0.0157344247385175	692
eng (pp) cym	0.569767441860465	98
swe (pp) eng	0.00512632735261809	2254
spa (pp) por	0.0243858162894832	403
tur (pp) rus	0.0020631806805114	61
nld (pp) fra	0.00889040472942246	391
jpn (pp) eng	0.00617251660825443	2714
spa (pp) ita	0.0170456808315743	428
pol (pp) nld	0.00512241054613936	68
eng (pp) dan	0.280707610146862	841
pol (pp) fra	0.00543428831286949	239
kor (pp) deu	0.00107114286876466	79
eng (pp) afr	0.486338797814208	89
sqi (pp) deu	0.00164061122937372	121
fas (pp) eng	0.00163069064411143	717
eng (pp) deu	0.188792320312394	13924
nor (pp) fra	0.00204638472032742	90
fra (pp) ara	0.036191296854804	168
jpn (pp) fra	0.00802637562528422	353
swe (pp) spa	0.00200385356454721	78
eng (pp) ces	0.159245448563281	726
por (pp) deu	0.00394560221279134	291
heb (pp) eng	0.0021628825698047	951
rus (pp) fin	0.0116467162730508	72
fra (pp) cat	0.0261132490379329	95
nld (pp) jpn	0.00315080399826163	116
eng (pp) bul	0.227766798418972	461
deu (pp) ces	0.0425531914893617	194
spa (pp) pol	0.00875543161035087	135
nld (pp) eng	0.00763035859273899	3355
rus (pp) pol	0.0123224593034568	190
zho (pp) ita	0.00242940778207017	61
fra (pp) fin	0.015852474927208	98
jpn (pp) fin	0.0122937560659981	76
zho (pp) fra	0.0029331514324693	129
swe (pp) rus	0.00307785970371373	91
deu (pp) bar	0.504201680672269	60
hun (pp) fra	0.00165984538426558	73
pol (pp) jpn	0.00358539765319426	132
eng (pp) cat	0.122045079714129	444
rus (pp) fra	0.00786721236925875	346
eng (pp) aze	0.179669030732861	76
rus (pp) nld	0.00655367231638418	87
fra (pp) epo	0.0943396226415094	75
pol (pp) deu	0.00783696934361992	578
zho (pp) rus	0.0020631806805114	61
swe (pp) nld	0.00549905838041431	73
kor (pp) jpn	0.00570404172099087	210
pol (pp) eng	0.00479427598017699	2108
por (pp) fra	0.00557071396089131	245
rus (pp) ita	0.00688995977537935	173
slv (pp) deu	0.00101690778680189	75
spa (pp) deu	0.0117147777039578	864
nld (pp) ita	0.00418176749372735	105
deu (pp) cat	0.0217152281473337	79
fra (pp) ces	0.0182057468743145	83
rus (pp) eng	0.00886986542822118	3900
zho (pp) kor	0.0111330579996409	62
ukr (pp) deu	0.00103046655729258	76
hbs (pp) fra	0.00140973169622556	62
ita (pp) deu	0.0100470489336027	741
por (pp) ita	0.00609343263371699	153
tur (pp) fra	0.00225102319236016	99
pol (pp) ita	0.00485881556414035	122
fra (pp) eng	0.0183060376491673	8049
rus (pp) ces	0.0138188199166484	63
fin (pp) eng	0.00291568396896912	1282
swe (pp) pol	0.00492898372138271	76
rus (pp) por	0.00435677114849328	72
ukr (pp) eng	0.00103026898435492	453
swe (pp) fra	0.0034106412005457	150
