	wsrc.name.new	wtgt.name.new	wweight.new	wcommon.num.new
ita_pol	ita	pol	0.00791231597379856	122
eng_fra	eng	fra	0.183015006821282	8049
deu_slk	deu	slk	0.0532544378698225	63
ces_rus	ces	rus	0.00213082594872489	63
eng_tel	eng	tel	0.329230769230769	107
eng_fin	eng	fin	0.207376253639599	1282
pol_swe	pol	swe	0.00927621139997559	76
por_rus	por	rus	0.00243522965568558	72
eng_ukr	eng	ukr	0.127140050519225	453
fra_swe	fra	swe	0.018308311973636	150
slk_ces	slk	ces	0.0217152884404475	99
fin_deu	fin	deu	0.00299648827844291	221
spa_fra	spa	fra	0.0191678035470668	843
spa_nld	spa	nld	0.00828625235404896	110
pol_hun	pol	hun	0.0111741752394466	63
zho_eng	zho	eng	0.00636355986363151	2798
por_jpn	por	jpn	0.00255323772272925	94
ron_eng	ron	eng	0.00163978794198653	721
deu_ara	deu	ara	0.014218009478673	66
jpn_deu	jpn	deu	0.00852846663864521	629
deu_bul	deu	bul	0.0316205533596838	64
swe_ita	swe	ita	0.002708192281652	68
tur_eng	tur	eng	0.00242897853265134	1068
por_eng	por	eng	0.00632489634766234	2781
nor_eng	nor	eng	0.00350473400638175	1541
spa_jpn	spa	jpn	0.00513363754889179	189
spa_glg	spa	glg	0.338289962825279	182
jpn_ita	jpn	ita	0.00669082798996376	168
spa_eus	spa	eus	0.283582089552239	133
hun_deu	hun	deu	0.00313207598334983	231
spa_cat	spa	cat	0.276800439802089	1007
rus_deu	rus	deu	0.00957249196642848	706
hun_eng	hun	eng	0.00202642310167822	891
swe_jpn	swe	jpn	0.00260756192959583	96
swe_fin	swe	fin	0.0205435134260757	127
eng_ara	eng	ara	0.185049547608789	859
ell_deu	ell	deu	0.00107114286876466	79
zho_jpn	zho	jpn	0.0149119947848761	549
fra_deu	fra	deu	0.0264667199978306	1952
ron_deu	ron	deu	0.00143722967201334	106
zho_spa	zho	spa	0.00166987797045601	65
eng_ell	eng	ell	0.319612590799031	660
tur_deu	tur	deu	0.00256260762274077	189
spa_rus	spa	rus	0.00676452682134885	200
rus_heb	rus	heb	0.011736740454613	79
deu_dan	deu	dan	0.0534045393858478	160
swe_dan	swe	dan	0.0243658210947931	73
ukr_rus	ukr	rus	0.0315903402556991	934
zho_deu	zho	deu	0.00286090057353599	211
swe_deu	swe	deu	0.00602009409786721	444
eng_ben	eng	ben	0.46027397260274	168
epo_deu	epo	deu	0.00101690778680189	75
swe_nor	swe	nor	0.0272277227722772	154
spa_eng	spa	eng	0.0165366132124606	7271
kor_eng	kor	eng	0.00172621227179997	759
hbs_deu	hbs	deu	0.00206093311458517	152
msa_eng	msa	eng	0.00198548526124028	873
ita_eng	ita	eng	0.00818074511418246	3597
pol_ces	pol	ces	0.0153542443518315	70
nor_jpn	nor	jpn	0.00162972620599739	60
nor_deu	nor	deu	0.00386424958984719	285
nor_dan	nor	dan	0.0293724966622163	88
ron_fra	ron	fra	0.00204638472032742	90
heb_deu	heb	deu	0.00161349368839234	119
heb_fra	heb	fra	0.00156889495225102	69
rus_jpn	rus	jpn	0.00518796175575837	191
hbs_eng	hbs	eng	0.0018763176867391	825
nld_deu	nld	deu	0.0101419603270375	748
ita_fra	ita	fra	0.0157344247385175	692
eng_cym	eng	cym	0.569767441860465	98
swe_eng	swe	eng	0.00512632735261809	2254
spa_por	spa	por	0.0243858162894832	403
tur_rus	tur	rus	0.0020631806805114	61
nld_fra	nld	fra	0.00889040472942246	391
