src.name	tgt.name	common.num	src.num	tgt.num	total.num	exposure	phi	ttest	pval	common.num.exp	exposure.exp
eng	que	3	1225237	25	2231920	0.12	-0.002885181393379	-3.19363020783996	0.000702497565847178	13.7240246066167	0.548960984264669
krl	est	1	23	20605	2231920	4.85319097306479e-05	0.001149496090103	0.164995848358157	0.434474434185488	0.212335119538335	1.03050288540808e-05
uzb	hun	7	872	54989	2231920	0.000127298186910109	-0.00211832226492	-0.496733006194964	0.309689664723424	21.4839277393455	0.000390695006989498
frm	hbs	1	267	45036	2231920	2.2204458655298e-05	-0.00127832226215	-0.271275747508205	0.393090100678723	5.38756407039679	0.000119627943653894
swe	kan	1	39192	700	2231920	0.00142857142857143	-0.002175364150996	-0.430646207171759	0.333364003019281	12.2918384171476	0.0175597691673537
hun	mon	4	11256	2423	2231920	0.00165084605860504	-0.00157876862844	-0.167483676092745	0.433496249730437	12.2196530341589	0.00504319151224058
fra	spa	36240	216624	228910	2231920	0.158315495172775	0.069953805943854	33.5511228709785	1.72623401900216e-246	22217.3733108714	0.0970572421950607
hmb	eng	3	3	146294	2231920	2.05066509904712e-05	0.004377504146105	1.67432983444086	0.047033965869395	0.196638768414639	1.34413419835836e-06
eus	bre	2	1021	406	2231920	0.00492610837438424	0.002818810008472	0.0899817887426097	0.464159667376765	0.1857261909029	0.00045745367217463
est	heb	2	5739	10961	2231920	0.000182465103548946	-0.003313801193686	-0.346907986352608	0.364333553162754	28.1843341159181	0.00257132872145955
btg	fra	1	1	238463	2231920	4.19352268486096e-06	0.001935324166602	0.945068337899702	0.172312473042302	0.106842091114377	4.48044732786121e-07
spa	hub	1	52955	1	2231920	1	0.004293707209722	0.988056352037293	0.161564782545074	0.0237262088246891	0.0237262088246891
eng	bpr	1	1225237	1	2231920	1	0.00060673227956	0.671594109221223	0.250921128052287	0.548960984264669	0.548960984264669
krl	kir	1	23	1528	2231920	0.000654450261780105	0.005252094195123	0.205170899868674	0.41873296599439	0.0157460840890354	1.03050288540808e-05
hin	slv	1	1469	18719	2231920	5.34216571398045e-05	-0.002168615219745	-0.296689135285485	0.383353572127186	12.3204285995914	0.000658177712462812
glg	jpn	2	1346	130893	2231920	1.52796559021491e-05	-0.005976009721284	-2.16209087162516	0.0153064892056137	78.9374072547403	0.000603068210330119
yid	tur	1	1590	11874	2231920	8.42176183257538e-05	-0.00172183943605	-0.187609678054384	0.425592922303427	8.45893221979282	0.000712391125129933
ita	mlg	2	66453	204	2231920	0.00980392156862745	-0.001123360426773	-0.289581061103953	0.386068830481446	6.07387899207857	0.0297739166278361
jpn	fao	1	26921	415	2231920	0.00240963855421687	-0.001205810541843	-0.197837608407441	0.421586807073245	5.0056520843041	0.0120618122513352
eng	plw	1	1225237	2	2231920	0.5	-9.3142571809e-05	-0.103099824106161	0.458941880748471	1.09792196852934	0.548960984264669
