	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-6.490***	1.621***	1.880***	2.184***	-7.231***	-2.078	-0.430
	(0.976)	(0.211)	(0.148)	(0.136)	(1.710)	(2.094)	(1.363)
pop	0.639***				0.690***	0.358*	0.263*
	(0.101)				(0.141)	(0.153)	(0.103)
gdp.pc	1.471***				1.598***	0.684	0.433
	(0.210)				(0.319)	(0.389)	(0.252)
twit.eig		0.350***			-0.052		
		(0.083)			(0.097)		
wiki.eig			0.741***			0.425*	
			(0.093)			(0.182)	
book.eig				0.739***			0.560***
				(0.068)			(0.107)
sigma	0.379	0.518	0.373	0.298	0.384	0.354	0.279
R-squared	0.667	0.358	0.667	0.788	0.670	0.719	0.826
adj. R-squared	0.646	0.337	0.656	0.781	0.637	0.690	0.808
F	31.073	17.807	63.982	118.935	20.329	25.534	47.419
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	34	34	34	34	34	34	34
