	bsrc.name.new	btgt.name.new	bweight.new	bcommon.num.new
rus_jpn	rus	jpn	0.0151344991710787	1981
deu_ron	deu	ron	0.0847053726169844	1564
dan_pol	dan	pol	0.00394942648592284	303
eng_est	eng	est	0.570298471244843	11751
deu_tur	deu	tur	0.0943237325248442	1120
heb_spa	heb	spa	0.00314097243458128	719
deu_zho	deu	zho	0.0630806065442937	3952
hun_deu	hun	deu	0.00956100833892457	2793
eng_kor	eng	kor	0.765959351777241	17110
nld_jpn	nld	jpn	0.0032698463630599	428
grc_spa	grc	spa	0.0109300598488489	2502
fra_eng	fra	eng	0.193541772048068	28314
fra_dan	fra	dan	0.0552940631799873	3583
spa_zho	spa	zho	0.00659217877094972	413
rus_vie	rus	vie	0.684478371501272	538
dan_spa	dan	spa	0.00512865318247346	1174
cat_eus	cat	eus	0.0797858781544736	313
por_fra	por	fra	0.00662157231939546	1579
fra_ron	fra	ron	0.229636048526863	4240
ces_fra	ces	fra	0.00370288053073223	883
hbs_hun	hbs	hun	0.0141664696575679	779
por_deu	por	deu	0.00451178266763429	1318
eng_fas	eng	fas	0.705004854797423	7987
jpn_eng	jpn	eng	0.023760372947626	3476
rus_deu	rus	deu	0.03695006230231	10794
slv_hbs	slv	hbs	0.0156763478106404	706
dan_rus	dan	rus	0.00640313149374185	530
por_spa	por	spa	0.0117338692062383	2686
rus_tur	rus	tur	0.0570153276065353	677
fra_lav	fra	lav	0.0511970534069982	417
fra_pol	fra	pol	0.0839416058394161	6440
rus_fas	rus	fas	0.0654073616382735	741
nld_ces	nld	ces	0.00603643586480867	389
nor_fin	nor	fin	0.0172678351451233	799
zho_deu	zho	deu	0.00396749325628843	1159
hun_eng	hun	eng	0.0217507211505598	3182
eng_urd	eng	urd	0.32636815920398	328
deu_lit	deu	lit	0.138538227487538	2140
fra_jpn	fra	jpn	0.0755808179199804	9893
rus_sqi	rus	sqi	0.0486902471511026	329
bod_eng	bod	eng	0.00291194444064692	426
deu_por	deu	por	0.060183884048661	4497
nld_dan	nld	dan	0.0125001929042115	810
fra_deu	fra	deu	0.110665333899303	32328
kat_rus	kat	rus	0.00804619919779636	666
fra_swe	fra	swe	0.0488505747126437	3502
nld_deu	nld	deu	0.0213539455847517	6238
grc_rus	grc	rus	0.00706760740346977	585
rus_bel	rus	bel	0.647278548559232	1213
hbs_fra	hbs	fra	0.00410126518579402	978
ita_sqi	ita	sqi	0.078141186917271	528
fas_deu	fas	deu	0.00113308047267599	331
eng_slk	eng	slk	0.33531897561224	6586
fra_fas	fra	fas	0.0617883308323771	700
fra_zho	fra	zho	0.0636233040702315	3986
rus_swe	rus	swe	0.0131960718669791	946
jpn_dan	jpn	dan	0.00864210867451658	560
swe_rus	swe	rus	0.00707968878364664	586
eng_lav	eng	lav	0.474033149171271	3861
fra_rus	fra	rus	0.0955999613395834	7913
swe_fra	swe	fra	0.00560254630697425	1336
rus_zho	rus	zho	0.0425379090183559	2665
rus_kir	rus	kir	0.827225130890052	1264
fra_por	fra	por	0.152768298068816	11415
est_eng	est	eng	0.011661448863248	1706
lat_fra	lat	fra	0.0117083153361318	2792
rus_ron	rus	ron	0.0497183708838821	918
fra_ara	fra	ara	0.16599935938501	2073
nld_nor	nld	nor	0.00762145330226684	350
cat_deu	cat	deu	0.00115704289959058	338
dan_fra	dan	fra	0.00428997370661277	1023
eng_rus	eng	rus	0.497112550137728	41147
est_rus	est	rus	0.0278596626878655	2306
