Lang_Code	Lang_Name	Lang_Long_Name	Num_Speakers_M	Blurb
dlg	Dolgan	Dolgan	-1	
dng	Dungan	Dungan	-1	
dnk	Dengka	Dengka	-1	
dnn	Dzùùngoo	Dzùùngoo	-1	
doc	Northern Dong	Northern Dong	-1	
doi	Dogri (macrolanguage)	Dogri (macrolanguage)	-1	
dos	Dogosé	Dogosé	-1	
dow	Doyayo	Doyayo	-1	
drs	Gedeo	Gedeo	-1	
dsb	Lower Sorbian	Lower Sorbian	0.014	
dsh	Daasanach	Daasanach	-1	
dts	Toro So Dogon	Toro So Dogon	-1	
dua	Duala	Duala	-1	
due	Umiray Dumaget Agta	Umiray Dumaget Agta	-1	
dum	Middle Dutch (ca. 1050-1350)	Middle Dutch (ca. 1050-1350)	-1	
dur	Dii	Dii	-1	
duu	Drung	Drung	-1	
dyi	Djimini Senoufo	Djimini Senoufo	-1	
dyo	Jola-Fonyi	Jola-Fonyi	-1	
dyu	Dyula	Dyula	-1	
dzg	Dazaga	Dazaga	-1	
dzo	Dzongkha	Dzongkha	0.6	
efi	Efik	Efik	-1	
egy	Egyptian (Ancient)	Egyptian (Ancient)	-1	
eip	Eipomek	Eipomek	-1	
ekm	Elip	Elip	-1	
ell	Modern Greek (1453-)	Greek (Modern, post 1453)	15	
eme	Emerillon	Emerillon	-1	
eml	Emiliano-Romagnolo		2	
enf	Forest Enets	Forest Enets	-1	
eng	English	English	1500	With more than 1.5b speakers, English is the most widely spoken language on earth and is the major global hub for linguistic connections.
enh	Tundra Enets	Tundra Enets	-1	
enm	Middle English (1100-1500)	Middle English (1100-1500)	-1	
epo	Esperanto	Esperanto	1	
erk	South Efate	South Efate	-1	
ess	Central Siberian Yupik	Central Siberian Yupik	-1	
est	Estonian	Estonian	1.07	
esu	Central Yupik	Central Yupik	-1	
etr	Edolo	Edolo	-1	
ett	Etruscan	Etruscan	-1	
eus	Basque	Basque	1	
eve	Even	Even	-1	
evn	Evenki	Evenki	-1	
ewe	Ewe	Ewe	4	
ewo	Ewondo	Ewondo	-1	
ext	Extremaduran	Extremaduran	0.5	
faa	Fasu	Fasu	-1	
fak	Fang (Cameroon)	Fang (Cameroon)	-1	
fan	Fang (Equatorial Guinea)	Fang (Equatorial Guinea)	-1	
fao	Faroese	Faroese	0.07	
fas	Persian	Persian	107	
fij	Fijian	Fijian	0.55	
fil	Filipino (macrolanguage)	Filipino (macrolanguage)	90	
fin	Finnish	Finnish	6	
fkv	Kven Finnish	Kven Finnish	-1	
flm	Falam Chin	Falam Chin	-1	
flr	Fuliiru	Fuliiru	-1	
fmp	Fe'fe'	Fe'fe'	-1	
fod	Foodo	Foodo	-1	
fon	Fon	Fon	-1	
fra	French	French	200	Once the eponymous lingua franca, French has waned relative to English in its global reach, but is still a major node for linguistic connections. Cultures as disparate as Korean, Persian and Russian have significant populations who speak the language of Voltaire and Hugo.
fri	Western Frisian	Western Frisian	-1	
frm	Middle French (ca. 1400-1600)	Middle French (ca. 1400-1600)	-1	
fro	Old French (842-ca. 1400)	Old French (842-ca. 1400)	-1	
frp	Arpitan	Arpitan	0.113	
frr	Northern Frisian	Northern Frisian	0.01	
frs	Eastern Frisian	Eastern Frisian	-1	
fry	Western Frisian	Western Frisian	0.65	
ful	Fulah	Fulah	13	
fun	Fulniô	Fulniô	-1	
fur	Friulian	Friulian	0.794	
fwa	Fwâi	Fwâi	-1	
gad	Gaddang	Gaddang	-1	
gag	Gagauz	Gagauz	0.16	
gba	Gbaya (Central African Republic)	Gbaya (Central African Republic)	-1	
gbb	Kaytetye	Kaytetye	-1	
gbr	Gbagyi	Gbagyi	-1	
gcc	Mali	Mali	-1	
gcf	Guadeloupean Creole French	Guadeloupean Creole French	-1	
gcr	Guianese Creole French	Guianese Creole French	-1	
gde	Gude	Gude	-1	
gen	Geman Deng	Geman Deng	-1	
gez	Geez	Geez	-1	
ghs	Guhu-Samane	Guhu-Samane	-1	
gia	Kitja	Kitja	-1	
gil	Gilbertese	Gilbertese	-1	
gjn	Gonja	Gonja	-1	
gla	Scottish Gaelic	Scottish Gaelic	0.07	
gld	Nanai	Nanai	-1	
gle	Irish	Irish	0.53	
glg	Galician	Galician	4	
glh	Northwest Pashayi	Northwest Pashayi	-1	
glk	Gilaki	Gilaki	3	
glv	Manx	Manx	0.002	
gmh	Middle High German (ca. 1050-1500)	Middle High German (ca. 1050-1500)	-1	
gml	Middle Low German	Middle Low German	-1	
gna	Kaansa	Kaansa	-1	
gnd	Zulgo-Gemzek	Zulgo-Gemzek	-1	
gng	Ngangam	Ngangam	-1	
gnn	Gumatj	Gumatj	-1	
goh	Old High German (ca. 750-1050)	Old High German (ca. 750-1050)	-1	
got	Gothic	Gothic	-1	
grc	Ancient Greek (to 1453)	Ancient Greek (to 1453)	-1	
grn	Guarani	Guarani	7	
gsc	Gascon	Gascon	-1	
gsw	Swiss German	Swiss German	-1	
guc	Wayuu	Wayuu	-1	
gud	Yocoboué Dida	Yocoboué Dida	-1	
gue	Gurinji	Gurinji	-1	
guj	Gujarati	Gujarati	46	
gul	Sea Island Creole English	Sea Island Creole English	-1	
gup	Gunwinggu	Gunwinggu	-1	
gur	Farefare	Farefare	-1	
guw	Gun	Gun	-1	
gux	Gourmanchéma	Gourmanchéma	-1	
gvn	Kuku-Yalanji	Kuku-Yalanji	-1	
gwa	Mbato	Mbato	-1	
gwi	Gwichʼin	Gwichʼin	-1	
hag	Hanga	Hanga	-1	
hai	Haida	Haida	-1	
hat	Haitian	Haitian	12	
hau	Hausa	Hausa	39	
haw	Hawaiian	Hawaiian	0.027	
haz	Hazaragi	Hazaragi	-1	
hbs	Serbo-Croatian	Serbo-Croatian	44	
hch	Huichol	Huichol	-1	
hdy	Hadiyya	Hadiyya	-1	
heb	Hebrew	Hebrew	10	
hem	Hemba	Hemba	-1	
her	Herero	Herero	-1	
hid	Hidatsa	Hidatsa	-1	
hif	Fiji Hindi	Fiji Hindi	0.46	
hil	Hiligaynon	Hiligaynon	-1	
hin	Hindi	Hindi	550	
hit	Hittite	Hittite	-1	
hke	Hunde	Hunde	-1	
hlb	Halbi	Halbi	-1	
hmb	Humburi Senni Songhay	Humburi Senni Songhay	-1	
hmn	Hmong	Hmong	-1	
hmo	Hiri Motu	Hiri Motu	0.12	
hni	Hani	Hani	-1	
hnn	Hanunoo	Hanunoo	-1	
hns	Caribbean Hindustani	Caribbean Hindustani	-1	
hop	Hopi	Hopi	-1	
hoz	Hozo	Hozo	-1	
hsb	Upper Sorbian	Upper Sorbian	0.04	
hss	Harsusi	Harsusi	-1	
hub	Huambisa	Huambisa	-1	
hun	Hungarian	Hungarian	15	
hur	Halkomelem	Halkomelem	-1	
hye	Armenian	Armenian	6	
iai	Iaai	Iaai	-1	
iba	Iban	Iban	-1	
ibd	Iwaidja	Iwaidja	-1	
ibg	Ibanag	Ibanag	-1	
ibl	Ibaloi	Ibaloi	-1	
ibo	Igbo	Igbo	22	
idd	Ede Idaca	Ede Idaca	-1	
ido	Ido	Ido	0.003	
ifa	Amganad Ifugao	Amganad Ifugao	-1	
ife	Ifè	Ifè	-1	
ifk	Tuwali Ifugao	Tuwali Ifugao	-1	
ifu	Mayoyao Ifugao	Mayoyao Ifugao	-1	
ify	Keley-I Kallahan	Keley-I Kallahan	-1	
iii	Sichuan Yi	Sichuan Yi	2	
ijc	Izon	Izon	-1	
iku	Inuktitut	Inuktitut	0.03	
ile	Interlingue	Interlingue	-1	
ilk	Ilongot	Ilongot	-1	
ilo	Iloko	Iloko	10	
ina	Interlingua (International Auxiliary Language Association)	Interlingua (International Auxiliary Language Association)	0.0003	
inh	Ingush	Ingush	-1	
ino	Inoke-Yate	Inoke-Yate	-1	
ipk	Inupiaq	Inupiaq	0.002	
irk	Iraqw	Iraqw	-1	
isl	Icelandic	Icelandic	0.32	
ita	Italian	Italian	70	
itl	Itelmen	Itelmen	-1	
its	Isekiri	Isekiri	-1	
ivb	Ibatan	Ibatan	-1	
ivv	Ivatan	Ivatan	-1	
iws	Sepik Iwam	Sepik Iwam	-1	
ixj	Chajul Ixil	Chajul Ixil	-1	
jai	Western Jacalteco	Western Jacalteco	-1	
jam	Jamaican Creole English	Jamaican Creole English	-1	
jao	Yanyuwa	Yanyuwa	-1	
jav	Javanese	Javanese	80	
jbj	Arandai	Arandai	-1	
jbo	Lojban	Lojban	-1	
jbt	Jabutí	Jabutí	-1	
jgo	Ngomba	Ngomba	-1	
jmd	Yamdena	Yamdena	-1	
jnj	Yemsa	Yemsa	-1	
jpn	Japanese	Japanese	132	
jra	Jarai	Jarai	-1	
jrb	Judeo-Arabic	Judeo-Arabic	-1	
jvn	Caribbean Javanese	Caribbean Javanese	-1	
kaa	Kara-Kalpak	Kara-Kalpak	0.41	
kab	Kabyle	Kabyle	8	
kac	Kachin	Kachin	-1	
kal	Kalaallisut	Kalaallisut	0.05	
kam	Kamba (Kenya)	Kamba (Kenya)	-1	
kan	Kannada	Kannada	47	
kaq	Capanahua	Capanahua	-1	
kas	Kashmiri	Kashmiri	5	
kat	Georgian	Georgian	4	
kau	Kanuri	Kanuri	4	
kaw	Kawi	Kawi	-1	
kaz	Kazakh	Kazakh	12	
kbc	Kadiwéu	Kadiwéu	-1	
kbd	Kabardian	Kabardian	2	
kbp	Kabiyè	Kabiyè	-1	
kca	Khanty	Khanty	-1	
kdd	Yankunytjatjara	Yankunytjatjara	-1	
kdh	Tem	Tem	-1	
kea	Kabuverdianu	Kabuverdianu	-1	
kek	Kekchí	Kekchí	-1	
ken	Kenyang	Kenyang	-1	
ker	Kera	Kera	-1	
kfy	Kumaoni	Kumaoni	-1	
kfz	Koromfé	Koromfé	-1	
kgh	Upper Tanudan Kalinga	Upper Tanudan Kalinga	-1	
kgs	Kumbainggar	Kumbainggar	-1	
kha	Khasi	Khasi	-1	
khb	Lü	Lü	-1	
khm	Central Khmer	Central Khmer	18	
kho	Khotanese	Khotanese	-1	
khq	Koyra Chiini Songhay	Koyra Chiini Songhay	-1	
kib	Koalib	Koalib	-1	
kij	Kilivila	Kilivila	-1	
kik	Kikuyu	Kikuyu	5	
kin	Kinyarwanda	Kinyarwanda	12	
kio	Kiowa	Kiowa	-1	
kir	Kirghiz	Kirghiz	5	
kjb	Q'anjob'al	Q'anjob'al	-1	
kjh	Khakas	Khakas	-1	
kjq	Western Keres	Western Keres	-1	
kkj	Kako	Kako	-1	
kla	Klamath-Modoc	Klamath-Modoc	-1	
kln	Kalenjin	Kalenjin	-1	
kma	Konni	Konni	-1	
kmb	Kimbundu	Kimbundu	-1	
kmh	Kalam	Kalam	-1	
kmw	Komo (Democratic Republic of Congo)	Komo (Democratic Republic of Congo)	-1	
kne	Kankanaey	Kankanaey	-1	
knj	Western Kanjobal	Western Kanjobal	-1	
knp	Kwanja	Kwanja	-1	
kog	Cogui	Cogui	-1	
kok	Konkani (macrolanguage)	Konkani (macrolanguage)	-1	
kom	Komi	Komi	0.387	
kon	Kongo	Kongo	7	
kor	Korean	Korean	78	
kos	Kosraean	Kosraean	-1	
koy	Koyukon	Koyukon	-1	
kpy	Koryak	Koryak	-1	
kqe	Kalagan	Kalagan	-1	
kqk	Kotafon Gbe	Kotafon Gbe	-1	
kqy	Koorete	Koorete	-1	
krc	Karachay-Balkar	Karachay-Balkar	-1	
kri	Krio	Krio	-1	
krl	Karelian	Karelian	-1	
ksh	Kölsch	Kölsch	0.25	
ksj	Uare	Uare	-1	
kst	Winyé	Winyé	-1	
ksw	S'gaw Karen	S'gaw Karen	-1	
ktb	Kambaata	Kambaata	-1	
ktu	Kituba (Democratic Republic of Congo)	Kituba (Democratic Republic of Congo)	-1	
kua	Kuanyama	Kuanyama	0.7	
kum	Kumyk	Kumyk	-1	
kup	Kunimaipa	Kunimaipa	-1	
kur	Kurdish	Kurdish	30	
kus	Kusaal	Kusaal	-1	
kut	Kutenai	Kutenai	-1	
kwk	Kwakiutl	Kwakiutl	-1	
kwn	Kwangali	Kwangali	-1	
kxc	Konso	Konso	-1	
kxv	Kuvi	Kuvi	-1	
kyf	Kouya	Kouya	-1	
kyh	Karok	Karok	-1	
kyq	Kenga	Kenga	-1	
kzr	Karang	Karang	-1	
lac	Lacandon	Lacandon	-1	
lad	Ladino	Ladino	0.109	
lah	Lahnda	Lahnda	60	
lam	Lamba	Lamba	-1	
lao	Lao	Lao	5	
las	Lama (Togo)	Lama (Togo)	-1	
lat	Latin	Latin	-1	
lav	Latvian	Latvian	2.15	
lbe	Lak	Lak	0.12	
lee	Lyélé	Lyélé	-1	
lef	Lelemi	Lelemi	-1	
lem	Nomaande	Nomaande	-1	
let	Lesing-Gelimi	Lesing-Gelimi	-1	
lez	Lezghian	Lezghian	0.784	
lhu	Lahu	Lahu	-1	
lij	Ligurian	Ligurian	2	
lik	Lika	Lika	-1	
lil	Lillooet	Lillooet	-1	
lim	Limburgan	Limburgan	2	
lin	Lingala	Lingala	25	
lis	Lisu	Lisu	-1	
lit	Lithuanian	Lithuanian	4	
liv	Liv	Liv	-1	
lkt	Lakota	Lakota	-1	
lle	Lele (Papua New Guinea)	Lele (Papua New Guinea)	-1	
lmo	Lombard	Lombard	3	
lmp	Limbum	Limbum	-1	
lms	Limousin	Limousin	-1	
lmw	Lake Miwok	Lake Miwok	-1	
lnc	Languedocien	Languedocien	-1	
lns	Lamnso'	Lamnso'	-1	
lob	Lobi	Lobi	-1	
log	Logo	Logo	-1	
lol	Mongo	Mongo	-1	
loq	Lobala	Lobala	-1	
lor	Téén	Téén	-1	
lpa	Lelepa	Lelepa	-1	
lrl	Lari	Lari	-1	
ltz	Luxembourgish	Luxembourgish	0.39	
lua	Luba-Lulua	Luba-Lulua	-1	
lub	Luba-Katanga	Luba-Katanga	-1	
lug	Ganda	Ganda	10	
lui	Luiseno	Luiseno	-1	
lus	Lushai	Lushai	-1	
lut	Lushootseed	Lushootseed	-1	
mah	Marshallese	Marshallese	0.04	
mai	Maithili	Maithili	-1	
mal	Malayalam	Malayalam	37	
man	Mandingo	Mandingo	-1	
mar	Marathi	Marathi	90	
mau	Huautla Mazatec	Huautla Mazatec	-1	
maw	Mampruli	Mampruli	-1	
mba	Higaonon	Higaonon	-1	
mbb	Western Bukidnon Manobo	Western Bukidnon Manobo	-1	
mbd	Dibabawon Manobo	Dibabawon Manobo	-1	
mbi	Ilianen Manobo	Ilianen Manobo	-1	
mbs	Sarangani Manobo	Sarangani Manobo	-1	
mbt	Matigsalug Manobo	Matigsalug Manobo	-1	
mcb	Machiguenga	Machiguenga	-1	
mcd	Sharanahua	Sharanahua	-1	
mcm	Malaccan Creole Portuguese	Malaccan Creole Portuguese	-1	
mcp	Makaa	Makaa	-1	
mcu	Cameroon Mambila	Cameroon Mambila	-1	
mde	Maba (Chad)	Maba (Chad)	-1	
mdf	Moksha	Moksha	0.5	
mdm	Mayogo	Mayogo	-1	
med	Melpa	Melpa	-1	
meq	Merey	Merey	-1	
mez	Menominee	Menominee	-1	
mfe	Morisyen	Morisyen	-1	
mfh	Matal	Matal	-1	
mfi	Wandala	Wandala	-1	
mga	Middle Irish (900-1200)	Middle Irish (900-1200)	-1	
mgo	Meta'	Meta'	-1	
mgv	Matengo	Matengo	-1	
mhg	Margu	Margu	-1	
mhq	Mandan	Mandan	-1	
mhu	Digaro-Mishmi	Digaro-Mishmi	-1	
mic	Mi'kmaq	Mi'kmaq	-1	
mif	Mofu-Gudur	Mofu-Gudur	-1	
miq	Mískito	Mískito	-1	
mjy	Mahican	Mahican	-1	
mkd	Macedonian	Macedonian	3	
mkw	Kituba (Congo)	Kituba (Congo)	-1	
mla	Malo	Malo	-1	
mlg	Malagasy	Malagasy	20	
mlp	Bargam	Bargam	-1	
mlt	Maltese	Maltese	0.37	
mmn	Mamanwa	Mamanwa	-1	
mmu	Mmaala	Mmaala	-1	
mmy	Migaama	Migaama	-1	
mnc	Manchu	Manchu	-1	
mnf	Mundani	Mundani	-1	
mnh	Mono (Democratic Republic of Congo)	Mono (Democratic Republic of Congo)	-1	
mni	Manipuri	Manipuri	-1	
mns	Mansi	Mansi	-1	
mnw	Mon	Mon	-1	
moa	Mwan	Mwan	-1	
moe	Montagnais	Montagnais	-1	
moh	Mohawk	Mohawk	-1	
mol	Moldavian	Moldavian	-1	
mon	Mongolian	Mongolian	5	
mor	Moro	Moro	-1	
mos	Mossi	Mossi	-1	
mov	Mohave	Mohave	-1	
mox	Molima	Molima	-1	
moz	Mukulu	Mukulu	-1	
mpc	Mangarayi	Mangarayi	-1	
mpe	Majang	Majang	-1	
mpu	Makuráp	Makuráp	-1	
mqb	Mbuko	Mbuko	-1	
mql	Mbelime	Mbelime	-1	
mri	Maori	Maori	0.157	
msa	Malay (macrolanguage)	Malay (macrolanguage)	554	
msb	Masbatenyo	Masbatenyo	-1	
msm	Agusan Manobo	Agusan Manobo	-1	
mta	Cotabato Manobo	Cotabato Manobo	-1	
mtg	Una	Una	-1	
mtp	Wichí Lhamtés Nocten	Wichí Lhamtés Nocten	-1	
mua	Mundang	Mundang	-1	
mus	Creek	Creek	0.01	
muw	Mundari	Mundari	-1	
muy	Muyang	Muyang	-1	
mvc	Central Mam	Central Mam	-1	
mwf	Murrinh-Patha	Murrinh-Patha	-1	
mwl	Mirandese	Mirandese	0.015	
mwp	Kala Lagaw Ya	Kala Lagaw Ya	-1	
mxp	Tlahuitoltepec Mixe	Tlahuitoltepec Mixe	-1	
mya	Burmese	Burmese	52	
mym	Me'en	Me'en	-1	
myv	Erzya	Erzya	0.5	
mzm	Mumuye	Mumuye	-1	
mzn	Mazanderani	Mazanderani	4	
mzs	Macanese	Macanese	-1	
mzw	Deg	Deg	-1	
nap	Neapolitan	Neapolitan	8	
naq	Nama (Namibia)	Nama (Namibia)	-1	
nau	Nauru	Nauru	0.006	
nav	Navajo	Navajo	0.178	
naw	Nawuri	Nawuri	-1	
nay	Narrinyeri	Narrinyeri	-1	
naz	Coatepec Nahuatl	Coatepec Nahuatl	-1	
nbf	Naxi	Naxi	-1	
nbl	South Ndebele	South Ndebele	-1	
nbw	Southern Ngbandi	Southern Ngbandi	-1	
ncf	Notsi	Notsi	-1	
nci	Classical Nahuatl	Classical Nahuatl	-1	
ncu	Chumburung	Chumburung	-1	
ncx	Central Puebla Nahuatl	Central Puebla Nahuatl	-1	
ncz	Natchez	Natchez	-1	
