source	target	exposure
ita	deu	0.0109929827325
deu	ita	0.0422613749292
ces	nor	0.0101924375083
eng	msa	0.648147238166
fra	por	0.0428217041468
eng	heb	0.775553517495
fin	deu	0.00172812105511
eng	bul	0.230865900085
kur	tur	0.00750032200854
cat	eng	0.00182578290701
ita	eng	0.0119035398929
sco	eng	0.000130675408421
eng	est	0.225907951145
heb	rus	0.00277405894239
ell	jpn	0.0026235722536
jpn	cat	0.0365057764941
zho	nld	0.00489173495608
nor	ces	0.0135846350615
eng	ron	0.41007907279
deu	cat	0.0595839813375
ara	fil	0.0283333333333
rus	deu	0.0461065357009
eng	nor	0.210800394976
eng	roh	0.259683098592
deu	msa	0.0194817499806
est	eng	0.00313228195551
spa	jpn	0.00456404721766
haw	eng	0.000137510958751
rus	tur	0.0303828641597
spa	nor	0.0312686872172
roh	eng	0.000111877645013
fra	ita	0.0497643193182
eng	ben	0.341586794462
eng	hbs	0.183902877698
msa	zho	0.00497378839804
ell	por	0.00469989100193
nld	jpn	0.00212636211433
hbs	eng	0.00687987242402
deu	nld	0.0467347176678
rus	fin	0.0109910519394
ita	jpn	0.00551520579757
