	bsrc.name.new	btgt.name.new	bweight.new	bcommon.num.new
guj_hin	guj	hin	0.0328009127210496	115
swe_dan	swe	dan	0.115943147270791	7513
rus_ori	rus	ori	0.131648936170213	99
jpn_ara	jpn	ara	0.0025624599615631	32
ukr_eng	ukr	eng	0.00280941118569456	411
lat_dan	lat	dan	0.00364203151283199	236
fra_sin	fra	sin	0.0461997019374069	31
lat_ara	lat	ara	0.00328315182575272	41
por_glg	por	glg	0.0248840151834669	59
hbs_ita	hbs	ita	0.0101286979776032	606
eng_gle	eng	gle	0.67065868263473	112
deu_sqi	deu	sqi	0.08628089388782	583
spa_fas	spa	fas	0.00856209727248654	97
deu_eng	deu	eng	0.191586804653643	28028
nor_deu	nor	deu	0.00675398118607167	1973
spa_hun	spa	hun	0.0147484042262998	811
heb_lit	heb	lit	0.002460024600246	38
dan_ces	dan	ces	0.00254492411781137	164
ara_msa	ara	msa	0.189992614475628	1029
spa_cat	spa	cat	0.200844256831815	3616
bul_ron	bul	ron	0.00314124783362218	58
kat_ukr	kat	ukr	0.010412051395658	47
swe_sme	swe	sme	0.289017341040462	50
spa_swe	spa	swe	0.00922051110367146	661
eng_kaz	eng	kaz	0.045639771801141	112
sqi_ell	sqi	ell	0.00331850339143753	91
ita_dan	ita	dan	0.00950631954196824	616
spa_deu	spa	deu	0.022226862565212	6493
swe_ron	swe	ron	0.00460355285961872	85
ita_ara	ita	ara	0.0108103779628443	135
ces_eng	ces	eng	0.0213132459294298	3118
jpn_deu	jpn	deu	0.00715449603592995	2090
ita_isl	ita	isl	0.0066011667178385	43
cat_fra	cat	fra	0.0028893371298692	689
jpn_nld	jpn	nld	0.00299898537321206	334
fin_pol	fin	pol	0.00142075078206465	109
rus_hin	rus	hin	0.157729606389047	553
grc_ron	grc	ron	0.013594020797227	251
tur_bul	tur	bul	0.0024862093077461	64
chv_rus	chv	rus	0.00204175324989127	169
hye_rus	hye	rus	0.00577489972454453	478
ita_glg	ita	glg	0.0413327709827077	98
rus_kum	rus	kum	0.846153846153846	55
rus_nld	rus	nld	0.00929326305770802	1035
swe_cat	swe	cat	0.00672072872694957	121
eng_nld	eng	nld	0.659264979213619	73423
pol_rus	pol	rus	0.0188469530759194	1560
lat_spa	lat	spa	0.0126599973788825	2898
nor_slv	nor	slv	0.00186975799989316	35
heb_ron	heb	ron	0.00270797227036395	50
eng_ast	eng	ast	0.248704663212435	48
jpn_fra	jpn	fra	0.0359636505453676	8576
lat_swe	lat	swe	0.00390581408324964	280
rus_bak	rus	bak	0.910358565737052	457
enm_eng	enm	eng	0.00101849699919341	149
rus_dar	rus	dar	0.867647058823529	59
bel_rus	bel	rus	0.00854153578504808	707
pan_hin	pan	hin	0.033656588705077	118
kaz_rus	kaz	rus	0.00808244333832697	669
rus_mar	rus	mar	0.182232346241458	160
lat_bul	lat	bul	0.00446740734985627	115
fin_deu	fin	deu	0.00229354657611151	670
nld_fri	nld	fri	0.296610169491525	35
rus_ckt	rus	ckt	0.897435897435897	35
fra_hun	fra	hun	0.0717779919620288	3947
jpn_pol	jpn	pol	0.00116006256517205	89
slv_ita	slv	ita	0.00285809794417516	171
spa_pol	spa	pol	0.0193952033368092	1488
deu_pol	deu	pol	0.131856100104275	10116
fra_isl	fra	isl	0.0535769112680381	349
yid_deu	yid	deu	0.00104407717270748	305
eng_pol	eng	pol	0.588933785192909	45183
ell_mkd	ell	mkd	0.00871571391950782	34
dan_iku	dan	iku	0.588815789473684	179
ara_zho	ara	zho	0.00233040702314445	146
swe_nor	swe	nor	0.133636739760033	6137
nor_pol	nor	pol	0.00598279457768509	459
slk_ces	slk	ces	0.0171627199652401	1106
zho_swe	zho	swe	0.00193895770561321	139
fra_kor	fra	kor	0.0723430924881368	1616
bel_lit	bel	lit	0.00194212468440474	30
eng_glg	eng	glg	0.182201602699283	432
nld_kor	nld	kor	0.0021488047273704	48
swe_jpn	swe	jpn	0.00459917642654687	602
ita_nld	ita	nld	0.0157401837103016	1753
ron_bul	ron	bul	0.00295237355294849	76
ces_nor	ces	nor	0.00230821157154367	106
san_fra	san	fra	0.0011280576022276	269
rus_pol	rus	pol	0.0439259645464025	3370
rus_lbe	rus	lbe	0.923076923076923	60
zho_uig	zho	uig	0.565188172043011	841
ita_hbs	ita	hbs	0.0629718447464251	2836
hin_tel	hin	tel	0.062874251497006	42
rus_abk	rus	abk	0.765217391304348	88
ori_ben	ori	ben	0.0175718849840256	33
por_ell	por	ell	0.00244329370578368	67
ces_jpn	ces	jpn	0.00143628765480201	188
spa_ukr	spa	ukr	0.00996898537882144	45
nor_bul	nor	bul	0.00182580996037604	47
grc_fra	grc	fra	0.00891123570532955	2125
ben_asm	ben	asm	0.11787072243346	62
san_guj	san	guj	0.0820610687022901	43
fra_hbs	fra	hbs	0.107958077982059	4862
nld_ell	nld	ell	0.00266209612719714	73
fra_ell	fra	ell	0.176135949237838	4830
sqi_mkd	sqi	mkd	0.0130735708792617	51
hbs_spa	hbs	spa	0.00110960639552663	254
deu_isl	deu	isl	0.0486644151059257	317
rus_chm	rus	chm	0.921348314606742	82
ita_pol	ita	pol	0.0413842544316997	3175
mkd_bul	mkd	bul	0.00178696293994251	46
glg_cat	glg	cat	0.0106642968229282	192
ces_rus	ces	rus	0.0108128352582999	895
ukr_rus	ukr	rus	0.0132291112936742	1095
lav_rus	lav	rus	0.00651186391533369	539
por_ron	por	ron	0.00579506065857886	107
slv_deu	slv	deu	0.00162944503019266	476
mar_hin	mar	hin	0.0365088419851683	128
kaa_rus	kaa	rus	0.00114773111680278	95
nor_ron	nor	ron	0.00178726169844021	33
deu_cat	deu	cat	0.0954787824927794	1719
fra_ukr	fra	ukr	0.0354452813469207	160
ara_hbs	ara	hbs	0.00544009237054801	245
urd_eng	urd	eng	0.00211902060234869	310
deu_fin	deu	fin	0.0711892978323356	3294
por_slv	por	slv	0.00261766119985042	49
ell_sqi	ell	sqi	0.0165754032854817	112
ell_cat	ell	cat	0.00238835814263497	43
orv_rus	orv	rus	0.00124438215821775	103
hun_pol	hun	pol	0.00450990615224192	346
swe_kur	swe	kur	0.512437810945274	103
heb_eng	heb	eng	0.0193514429846747	2831
ara_sqi	ara	sqi	0.0380346307532929	257
jpn_ita	jpn	ita	0.00514791910412836	308
deu_ces	deu	ces	0.270972347226964	17462
cat_glg	cat	glg	0.0906790383804302	215
jpn_por	jpn	por	0.00131154561635952	98
nld_eng	nld	eng	0.0195154961925985	2855
bul_hbs	bul	hbs	0.00153210764721556	69
bul_pol	bul	pol	0.00143378519290928	110
rus_mal	rus	mal	0.158069883527454	190
isl_dan	isl	dan	0.00347227580672541	225
ara_deu	ara	deu	0.00378264024866153	1105
deu_ara	deu	ara	0.0434817424727739	543
nor_ell	nor	ell	0.00189628765225002	52
eng_mri	eng	mri	0.971786833855799	310
spa_ast	spa	ast	0.227979274611399	44
zho_bod	zho	bod	0.88953488372093	306
eng_por	eng	por	0.626677908486236	46826
fra_bul	fra	bul	0.0930386139383109	2395
eng_nor	eng	nor	0.650893887594452	29891
dan_fao	dan	fao	0.168674698795181	70
swe_heb	swe	heb	0.00501779034759602	55
ron_ita	ron	ita	0.00122012368377068	73
eng_ell	eng	ell	0.605316898840347	16599
spa_kor	spa	kor	0.00675978153818605	151
bul_fra	bul	fra	0.00117418635176107	280
ara_dan	ara	dan	0.00155866602879674	101
mal_tam	mal	tam	0.0402722631877482	71
swe_pol	swe	pol	0.0127867570385819	981
eng_mya	eng	mya	0.821167883211679	225
fra_cat	fra	cat	0.180071095312153	3242
grc_ita	grc	ita	0.0146247701821829	875
san_ori	san	ori	0.0997340425531915	75
glg_spa	glg	spa	0.00343803241448604	787
eng_pan	eng	pan	0.317708333333333	122
