	bweight.new	bcommon.num.new
kat (pp) ukr	0.010412051395658	47
swe (pp) sme	0.289017341040462	50
spa (pp) swe	0.00922051110367146	661
eng (pp) kaz	0.045639771801141	112
sqi (pp) ell	0.00331850339143753	91
ita (pp) dan	0.00950631954196824	616
spa (pp) deu	0.022226862565212	6493
swe (pp) ron	0.00460355285961872	85
ita (pp) ara	0.0108103779628443	135
ces (pp) eng	0.0213132459294298	3118
jpn (pp) deu	0.00715449603592995	2090
ita (pp) isl	0.0066011667178385	43
cat (pp) fra	0.0028893371298692	689
jpn (pp) nld	0.00299898537321206	334
fin (pp) pol	0.00142075078206465	109
rus (pp) hin	0.157729606389047	553
grc (pp) ron	0.013594020797227	251
tur (pp) bul	0.0024862093077461	64
chv (pp) rus	0.00204175324989127	169
hye (pp) rus	0.00577489972454453	478
ita (pp) glg	0.0413327709827077	98
rus (pp) kum	0.846153846153846	55
rus (pp) nld	0.00929326305770802	1035
swe (pp) cat	0.00672072872694957	121
eng (pp) nld	0.659264979213619	73423
pol (pp) rus	0.0188469530759194	1560
lat (pp) spa	0.0126599973788825	2898
nor (pp) slv	0.00186975799989316	35
heb (pp) ron	0.00270797227036395	50
eng (pp) ast	0.248704663212435	48
jpn (pp) fra	0.0359636505453676	8576
lat (pp) swe	0.00390581408324964	280
rus (pp) bak	0.910358565737052	457
enm (pp) eng	0.00101849699919341	149
rus (pp) dar	0.867647058823529	59
bel (pp) rus	0.00854153578504808	707
pan (pp) hin	0.033656588705077	118
kaz (pp) rus	0.00808244333832697	669
rus (pp) mar	0.182232346241458	160
lat (pp) bul	0.00446740734985627	115
fin (pp) deu	0.00229354657611151	670
nld (pp) fri	0.296610169491525	35
rus (pp) ckt	0.897435897435897	35
fra (pp) hun	0.0717779919620288	3947
jpn (pp) pol	0.00116006256517205	89
slv (pp) ita	0.00285809794417516	171
spa (pp) pol	0.0193952033368092	1488
deu (pp) pol	0.131856100104275	10116
fra (pp) isl	0.0535769112680381	349
yid (pp) deu	0.00104407717270748	305
eng (pp) pol	0.588933785192909	45183
ell (pp) mkd	0.00871571391950782	34
dan (pp) iku	0.588815789473684	179
ara (pp) zho	0.00233040702314445	146
swe (pp) nor	0.133636739760033	6137
nor (pp) pol	0.00598279457768509	459
slk (pp) ces	0.0171627199652401	1106
zho (pp) swe	0.00193895770561321	139
fra (pp) kor	0.0723430924881368	1616
bel (pp) lit	0.00194212468440474	30
eng (pp) glg	0.182201602699283	432
nld (pp) kor	0.0021488047273704	48
swe (pp) jpn	0.00459917642654687	602
