	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-8.122***	2.158***	2.528***	2.798***	-10.573***	-1.381	-0.379
	(1.212)	(0.248)	(0.160)	(0.135)	(2.385)	(2.721)	(1.504)
pop	0.782***				0.943***	0.321	0.269*
	(0.106)				(0.172)	(0.195)	(0.109)
gdp.pc	1.862***				2.292***	0.679	0.545
	(0.259)				(0.443)	(0.496)	(0.275)
twit.eig		0.462***			-0.159		
		(0.104)			(0.133)		
wiki.eig			1.026***			0.678*	
			(0.109)			(0.251)	
book.eig				0.948***			0.722***
				(0.073)			(0.119)
sigma	0.394	0.565	0.358	0.275	0.391	0.354	0.256
R-squared	0.728	0.420	0.767	0.863	0.743	0.790	0.890
adj. R-squared	0.707	0.399	0.758	0.858	0.712	0.764	0.876
F	34.845	19.565	88.708	170.069	24.073	31.295	67.136
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	29	29	29	29	29	29	29
