Num	Country	People (all years)	People (1800-1950 only)
1	Afghanistan	13	6
2	Albania	20	11
3	Algeria	21	11
4	Andorra	2	1
5	Angola	6	4
6	Argentina	124	39
7	Armenia	14	7
8	Aruba	1	1
9	Australia	153	42
10	Austria	165	111
11	Azerbaijan	14	11
12	Bahrain	2	1
13	Bangladesh	9	8
14	Barbados	2	NA
15	Belarus	27	11
16	Belgium	109	49
17	Belize	2	1
18	Benin	5	1
19	Bermuda	1	NA
20	Bolivia	4	2
21	Bosnia and Herzegovina	33	9
22	Botswana	4	3
23	Brazil	165	59
24	Brunei	1	1
25	Bulgaria	24	11
26	Burkina Faso	3	2
27	Burundi	2	NA
28	Cambodia	6	5
29	Cameroon	16	1
30	Canada	192	77
31	Cape Verde	4	2
32	Central African Republic	6	4
33	Chad	3	1
34	Chile	36	18
35	China	120	46
36	Colombia	24	5
37	Comoros	1	NA
38	Congo	7	1
39	Congo [Republic]	1	NA
40	Costa Rica	5	3
41	Côte d'Ivoire	1	1
42	Côte d´Ivoire	7	NA
43	Croatia	58	11
44	Cuba	19	14
45	Cyprus	10	7
46	Czech Republic	37	16
47	Czechia	105	54
48	Democratic Republic of Congo	4	1
49	Democratic Republic of the Congo	2	2
50	Denmark	96	38
51	Djibouti	2	1
52	Dominica	2	1
53	Dominican Republic	4	1
54	East Timor	1	1
55	Ecuador	6	NA
56	Egypt	37	20
57	El Salvador	3	1
58	Equatorial Guinea	1	1
59	Eritrea	3	1
60	Estonia	23	11
61	Ethiopia	7	2
62	Faroe Islands	4	2
63	Fiji	2	1
64	Finland	84	39
65	France	930	491
66	French Guiana	2	1
67	French Polynesia	1	NA
68	Gabon	3	3
69	Georgia	32	14
70	Germany	798	437
71	Ghana	25	5
72	Gibraltar	1	NA
73	Greece	105	33
74	Greenland	3	1
75	Grenada	2	1
76	Guadeloupe	4	1
77	Guam	1	1
78	Guatemala	5	3
79	Guernsey	1	NA
80	Guinea	3	2
81	Guinea-Bissau	6	5
82	Guyana	1	NA
83	Haiti	7	1
84	Honduras	7	1
85	Hong Kong	14	3
86	Hungary	86	67
87	Iceland	14	5
88	India	165	88
89	Indonesia	11	9
90	Iran	47	17
91	Iraq	19	6
92	Ireland	110	40
93	Isle of Man	4	3
94	Israel	56	28
95	Italy	644	220
96	Ivory Coast	15	2
97	Jamaica	18	7
98	Japan	216	93
99	Jersey	2	NA
100	Jordan	5	2
101	Kazakhstan	27	20
102	Kenya	19	8
103	Kosovo	4	NA
104	Kuwait	3	3
105	Kyrgyzstan	3	2
106	Latvia	17	12
107	Lebanon	21	9
108	Lesotho	1	1
109	Liberia	5	3
110	Libya	6	1
111	Lithuania	25	15
112	Luxembourg	10	5
113	Macedonia	8	2
114	Macedonia (FYROM)	7	1
115	Madagascar	4	3
116	Malawi	4	3
117	Malaysia	10	4
118	Maldives	3	1
119	Mali	11	7
120	Malta	7	4
121	Martinique	2	2
122	Mauritania	3	3
123	Mauritius	2	2
124	Mexico	68	25
125	Moldova	7	1
126	Monaco	2	1
127	Mongolia	7	2
128	Montenegro	9	2
129	Morocco	20	10
130	Mozambique	7	2
131	Myanmar (Burma)	2	2
132	Myanmar [Burma]	7	7
133	Namibia	4	3
134	Nauru	3	2
135	Nepal	2	NA
136	Netherlands	195	74
137	New Caledonia	1	NA
138	New Zealand	25	10
139	Nicaragua	7	7
140	Niger	5	3
141	Nigeria	37	6
142	North Korea	7	4
143	Norway	79	42
144	Oman	2	NA
145	Pakistan	31	18
146	Palau	2	1
147	Palestine	3	1
148	Panama	5	3
149	Papua New Guinea	1	1
150	Paraguay	11	2
151	Peru	22	15
152	Philippines	25	19
153	Poland	183	125
154	Portugal	84	21
155	Puerto Rico	12	3
156	Qatar	1	NA
157	Romania	65	34
158	Russia	372	238
159	Russian Federation	21	11
160	Rwanda	2	1
161	Saint Kitts and Nevis	3	NA
162	Saint Lucia	1	1
163	Saint Vincent and the Grenadines	1	1
164	Samoa	2	2
165	Saudi Arabia	14	6
166	Senegal	12	3
167	Serbia	68	17
168	Seychelles	2	2
169	Sierra Leone	3	1
170	Singapore	7	4
171	Slovakia	34	10
172	Slovenia	28	6
173	Solomon Islands	1	NA
174	Somalia	11	5
175	South Africa	64	26
176	South Korea	42	10
177	South Sudan	1	1
178	Spain	346	100
179	Sri Lanka	7	6
180	St. Lucia	1	1
181	Sudan	4	1
182	Suriname	7	3
183	Sweden	175	72
184	Switzerland	111	57
185	Syria	10	1
186	Taiwan	15	4
187	Tajikistan	4	1
188	Tanzania	4	3
189	Thailand	6	4
190	The Bahamas	4	2
191	The Gambia	1	NA
192	The Netherlands	10	2
193	Timor-Leste	2	2
194	Togo	6	3
195	Tonga	2	1
196	Trinidad and Tobago	6	2
197	Tunisia	11	4
198	Turkey	96	27
199	Turkmenistan	3	1
200	U.S. Virgin Islands	1	NA
201	Uganda	3	2
202	Ukraine	114	62
203	United Arab Emirates	4	4
204	United Kingdom	1515	673
205	United States	3726	1807
206	Uruguay	35	8
207	US Virgin Islands	1	1
208	Uzbekistan	9	2
209	Venezuela	13	2
210	Vietnam	12	10
211	Yemen	1	1
212	Zambia	2	2
213	Zimbabwe	7	4
