Num	Country	People (all years)	People (1800-1950 only)
1	Anc Greece	134	NA
2	Arab World	86	14
3	Argentina	2	2
4	Australia	4	4
5	Austria	75	48
6	Belgium	82	27
7	Brazil	3	3
8	Britain	531	230
9	Bulgaria	1	1
10	Canada	11	11
11	Chile	3	3
12	China	237	22
13	Croatia	5	3
14	Cuba	3	3
15	Czech	48	28
16	Denmark	37	20
17	Finland	6	5
18	France	542	236
19	Germany	536	267
20	Greece	8	5
21	Grrece	1	1
22	Guatemala	1	1
23	Hungary	21	18
24	Iceland	2	1
25	India	93	16
26	Italy	389	58
27	Japan	169	57
28	Kenya	1	1
29	Mexico	5	4
30	Montenegro	1	1
31	Netherlands	84	31
32	New Zealand	3	3
33	Nicaragua	1	1
34	Norway	23	22
35	Peru	1	1
36	Poland	25	21
37	Portugal	11	4
38	Romania	5	4
39	Rome	55	NA
40	Russia	134	118
41	Serbia	2	2
42	Slovakia	4	4
43	Slovenia	2	2
44	South Africa	1	1
45	Spain	76	26
46	Sweden	44	21
47	Switzerland	64	32
48	USA	297	272
