src.name	tgt.name	common.num	src.num	tgt.num	total.num	exposure	phi	ttest	pval
eng	que	31	1589250	74	2562860	0.418918918918919	-0.002227411023603	-2.80800113377595	0.00249253294107681
ben	swa	2	1010	244	2562860	0.00819672131147541	0.003836025853772	0.121790941268632	0.451544407494671
hif	ita	2	111	72981	2562860	2.74043929241857e-05	-0.000413812285706	-0.111789849524518	0.455495171706723
dsb	kaa	1	27	9	2562860	0.111111111111111	0.064144397965028	0.321383838833441	0.375197136855542
hun	mon	2	18033	391	2562860	0.0051150895140665	-0.000283916874921	-0.0381242343303779	0.484794525582084
fra	spa	4741	142795	145487	2562860	0.0325871040024195	-0.024738294522862	-9.43869159768182	1.91380405343248e-21
ton	tpi	1	12	39	2562860	0.0256410256410256	0.046217035126395	0.281427977300883	0.389935015055143
fil	gle	1	811	431	2562860	0.00232018561484919	0.001461084433411	0.0415575597641188	0.483430817500773
gla	jpn	1	117	102857	2562860	9.7222357253274e-06	-0.001087387627422	-0.348736454743112	0.363643943616543
que	rup	1	74	43	2562860	0.0232558139534884	0.01770599260944	0.150263885174996	0.440482625619275
mar	som	1	614	120	2562860	0.00833333333333333	0.003578646564904	0.0885313936029297	0.464741600633847
jpn	lav	20	102857	1582	2562860	0.0126422250316056	-0.00348106973823	-1.11642116054002	0.132122253970618
amh	isl	1	68	1193	2562860	0.000838222967309304	0.003400657437562	0.117360318049598	0.453297141385218
chm	new	1	29	33	2562860	0.0303030303030303	0.032313729397285	0.180009236276128	0.429123082157402
mar	tur	1	614	23926	2562860	4.17955362367299e-05	-0.001240575603287	-0.191884752940526	0.423917054642717
bul	csb	1	6769	77	2562860	0.012987012987013	0.001104915236367	0.0908923465612274	0.463790410485715
ori	snd	2	59	53	2562860	0.0377358490566038	0.03574460629753	0.270038425565266	0.394036502506604
hin	slv	4	1431	5556	2562860	0.000719942404607631	0.000318820580536	0.0237601571105126	0.490522387173285
glg	jpn	22	1536	102857	2562860	0.000213889185957203	-0.003220359189955	-1.03280723278051	0.150848273319048
kab	urd	1	50	447	2562860	0.00223713646532438	0.006631310683795	0.13989072795338	0.444404668338587
hye	ksh	1	638	95	2562860	0.0105263157894737	0.003966393391655	0.10002942213728	0.460176195222023
kab	sot	1	50	13	2562860	0.0769230769230769	0.039213761096132	0.271890031964628	0.393413070697065
nor	sah	1	22777	59	2562860	0.0169491525423729	0.000412148856369	0.0621989894592634	0.47520245649391
lit	zho	14	3584	50341	2562860	0.000278103335253571	-0.004243617318733	-0.952121595259635	0.170519944710417
sun	udm	1	137	35	2562860	0.0285714285714286	0.014414744888703	0.167501603734891	0.433611192392296
ilo	tsn	1	38	27	2562860	0.037037037037037	0.031207424568358	0.187335793109756	0.426197029735768
ava	tam	1	13	1289	2562860	0.000775795190069822	0.007676500718514	0.275400906182969	0.391526193769206
hat	uig	1	65	48	2562860	0.0208333333333333	0.017881471288526	0.141952474570594	0.443778308120523
rup	spa	5	43	145487	2562860	3.43673317890946e-05	0.001053460441863	0.401816329709594	0.343909896808325
hsb	tah	1	53	18	2562860	0.0555555555555556	0.032364591986245	0.231250562666119	0.409005300958027
jav	tam	1	232	1289	2562860	0.000775795190069822	0.001615749105253	0.0579647229508559	0.476892856196004
div	fao	2	53	132	2562860	0.0151515151515152	0.023879630640383	0.272347342472163	0.392890257439002
udm	yor	1	35	21	2562860	0.0476190476190476	0.036875380178405	0.211977103138136	0.416677263219109
est	wln	1	3005	50	2562860	0.02	0.002430043205985	0.133165873988089	0.447035557763469
hun	vie	27	18033	8244	2562860	0.00327510917030568	-0.002556177284233	-0.34324348016907	0.365709649083935
uig	ven	1	48	11	2562860	0.0909090909090909	0.043510948959296	0.295385358362864	0.384486764066628
jbo	mlg	1	56	58	2562860	0.0172413793103448	0.01752471256846	0.131163083123633	0.448050103516182
mar	nep	1	614	209	2562860	0.00478468899521531	0.00265218229275	0.0656115971471258	0.473854206263246
eng	zho	10202	1589250	50341	2562860	0.202657873304066	-0.121743870115756	-154.627057995869	0
kal	war	1	32	37	2562860	0.027027027027027	0.029048874594709	0.17192801464087	0.43221552767373
nld	nrm	2	46951	18	2562860	0.111111111111111	0.001833740147747	0.397330310691156	0.34556285231152
oci	tsn	2	177	27	2562860	0.0740740740740741	0.02890504562918	0.382537650663911	0.351260780542609
aym	tum	1	22	7	2562860	0.142857142857143	0.080577910185473	0.361530954657365	0.360575797166893
ido	tah	1	76	18	2562860	0.0555555555555556	0.027022967369343	0.2325452775188	0.408369811621142
ewe	glv	1	22	24	2562860	0.0416666666666667	0.043510838603442	0.204277382979836	0.419929568023312
hsb	sna	1	53	14	2562860	0.0714285714285714	0.036701006017592	0.26227430425351	0.397063357638649
bua	zha	1	15	25	2562860	0.04	0.051632624916446	0.24795210199977	0.403098380368459
bar	nov	1	352	15	2562860	0.0666666666666667	0.013734677946418	0.256976535312975	0.398673514285584
cat	swa	1	10938	244	2562860	0.00409836065573771	-2.5375563113e-05	-0.00265365793045061	0.498941369092873
jbo	sgs	1	56	30	2562860	0.0333333333333333	0.024381917911089	0.179223053491524	0.429204724254306
bpy	nor	1	18	22777	2562860	4.3903938183255e-05	0.001317799168213	0.198874361812727	0.421181400147072
hbs	mri	2	10901	51	2562860	0.0392156862745098	0.002396519807312	0.250193254387941	0.401221308193875
hau	nor	2	16	22777	2562860	8.78078763665101e-05	0.003091228863543	0.466511579124435	0.320426911515615
bua	som	1	15	120	2562860	0.00833333333333333	0.023554292087514	0.255936111698147	0.399219189581674
