src.name	tgt.name	common.num	src.num	tgt.num	total.num	exposure	phi	ttest	pval
eng	que	3	1225237	25	2231920	0.12	-0.002885181393379	-3.19363020783996	0.000702497565847178
krl	est	1	23	20605	2231920	4.85319097306479e-05	0.001149496090103	0.164995848358157	0.434474434185488
uzb	hun	7	872	54989	2231920	0.000127298186910109	-0.00211832226492	-0.496733006194964	0.309689664723424
frm	hbs	1	267	45036	2231920	2.2204458655298e-05	-0.00127832226215	-0.271275747508205	0.393090100678723
swe	kan	1	39192	700	2231920	0.00142857142857143	-0.002175364150996	-0.430646207171759	0.333364003019281
hun	mon	4	11256	2423	2231920	0.00165084605860504	-0.00157876862844	-0.167483676092745	0.433496249730437
fra	spa	36240	216624	228910	2231920	0.158315495172775	0.069953805943854	33.5511228709785	1.72623401900216e-246
hmb	eng	3	3	146294	2231920	2.05066509904712e-05	0.004377504146105	1.67432983444086	0.047033965869395
eus	bre	2	1021	406	2231920	0.00492610837438424	0.002818810008472	0.0899817887426097	0.464159667376765
est	heb	2	5739	10961	2231920	0.000182465103548946	-0.003313801193686	-0.346907986352608	0.364333553162754
btg	fra	1	1	238463	2231920	4.19352268486096e-06	0.001935324166602	0.945068337899702	0.172312473042302
spa	hub	1	52955	1	2231920	1	0.004293707209722	0.988056352037293	0.161564782545074
eng	bpr	1	1225237	1	2231920	1	0.00060673227956	0.671594109221223	0.250921128052287
krl	kir	1	23	1528	2231920	0.000654450261780105	0.005252094195123	0.205170899868674	0.41873296599439
hin	slv	1	1469	18719	2231920	5.34216571398045e-05	-0.002168615219745	-0.296689135285485	0.383353572127186
glg	jpn	2	1346	130893	2231920	1.52796559021491e-05	-0.005976009721284	-2.16209087162516	0.0153064892056137
yid	tur	1	1590	11874	2231920	8.42176183257538e-05	-0.00172183943605	-0.187609678054384	0.425592922303427
ita	mlg	2	66453	204	2231920	0.00980392156862745	-0.001123360426773	-0.289581061103953	0.386068830481446
jpn	fao	1	26921	415	2231920	0.00240963855421687	-0.001205810541843	-0.197837608407441	0.421586807073245
eng	plw	1	1225237	2	2231920	0.5	-9.3142571809e-05	-0.103099824106161	0.458941880748471
vie	cat	2	668	18004	2231920	0.000111086425238836	-0.000981198417077	-0.131648958190577	0.447631715251573
tgk	ben	1	476	1878	2231920	0.00053248136315229	0.000634384742027	0.0274769949150002	0.489041103841707
tcs	mwp	1	2	1	2231920	1	0.707106622786105	0	0.5
ava	kat	3	186	2176	2231920	0.00137867647058824	0.004432887477222	0.206690608788431	0.418135414979289
rom	nld	1	79	111371	2231920	8.97899812338939e-06	-0.001017586226856	-0.339588992900469	0.367083354396422
kir	swa	3	708	323	2231920	0.00928792569659443	0.006060546276752	0.161035675096969	0.436055620652696
non	deu	58	299	292124	2231920	0.000198545823006668	0.002165406581097	1.17036844292395	0.120926842079567
eng	zho	40475	1225237	62650	2231920	0.646049481245012	0.033158411380542	36.7233500959561	2.24491123708283e-295
nor	cym	3	14530	2312	2231920	0.00129757785467128	-0.002087139654391	-0.251567984896996	0.400689282482239
enf	por	1	11	74721	2231920	1.33831185342809e-05	0.000708785292855	0.193744923515817	0.423188070509644
tgk	bul	1	476	25742	2231920	3.88470204335328e-05	-0.001290282953894	-0.207009174060438	0.418002165587649
sag	deu	2	3	292124	2231920	6.84640768988512e-06	0.001841733295059	0.995427440638787	0.159764621281458
kpy	est	1	6	20605	2231920	4.85319097306479e-05	0.002699009294312	0.387410326916224	0.349228230614379
hit	spa	1	8	228910	2231920	4.36852911624656e-06	0.000140022181363	0.0669926764521494	0.473293795978003
akk	ita	1	136	59830	2231920	1.67140230653518e-05	-0.000940205995935	-0.229972258807519	0.40905705623872
grc	mdm	2	17342	2	2231920	1	0.010697240998588	1.40870863433867	0.0794696345817866
ara	lah	1	11884	4	2231920	0.25	0.004500893514897	0.49062300854591	0.311851084238511
yid	spa	23	1590	228910	2231920	0.000100476169673671	-0.007753135788394	-3.70954743650907	0.000103839548343669
sux	ron	2	133	18464	2231920	0.000108318890814558	0.000576555151601	0.0783394110938154	0.468779458577784
kaa	tuk	1	129	741	2231920	0.00134952766531714	0.003096496657625	0.0841772855158592	0.46646910672215
xra	por	1	1	74721	2231920	1.33831185342809e-05	0.003596537166988	0.983111750522705	0.162777812427787
yid	ita	31	1590	59830	2231920	0.000518134715025907	-0.001208346394746	-0.295558878660868	0.383784003487053
eng	gvn	1	1225237	1	2231920	1	0.00060673227956	0.671594109221223	0.250921128052287
bak	est	1	357	20605	2231920	4.85319097306479e-05	-0.000850480441864	-0.122075839375548	0.451420073307897
rus	eus	26	101395	3923	2231920	0.00662758093295947	-0.00781865494423	-2.48971312375061	0.00639310683041493
non	ces	1	299	64442	2231920	1.55178299866547e-05	-0.001764680271177	-0.447965401302442	0.327089836333116
amh	ita	5	58	59830	2231920	8.35701153267592e-05	0.001874777647481	0.458566972929504	0.323273411957077
kir	spa	12	708	228910	2231920	5.24223493949587e-05	-0.005026774781686	-2.40505714677455	0.00808536273782791
kat	krc	2	1224	103	2231920	0.0194174757281553	0.00547529488954	0.191403390844486	0.424120654265168
jpn	lav	18	26921	8145	2231920	0.00220994475138122	-0.005461947435539	-0.896155667541674	0.185088821146951
dan	frr	2	21239	4	2231920	0.5	0.00676339029962	0.985646007536987	0.162159040472922
por	eng	2297	11390	146294	2231920	0.0157012591083708	0.039392052383535	15.0784296416058	1.2272602070416e-51
heb	tyv	1	9889	164	2231920	0.00609756097560976	0.000215140208012	0.0213921217341103	0.49146664483427
