source	target	weight	common_num
deu	hun	0.185618942	10207
est	fin	0.008515053	394
eng	tha	0.880195599	1080
eng	hun	0.508974522	27988
rus	uzb	0.804134929	2217
rus	kat	0.604779412	1316
mkd	sqi	0.089980761	608
hun	fra	0.003312883	790
jpn	swe	0.008132463	583
ara	eng	0.011080427	1621
eng	deu	0.627572538	183329
rus	fra	0.025551134	6093
swe	fin	0.120896458	5594
eng	cat	0.353810264	6370
rus	spa	0.025468525	5830
eng	afr	0.953608247	740
spa	ces	0.013190155	850
oci	fra	0.00176128	420
ron	fra	0.003937718	939
hbs	rus	0.005146668	426
rus	ukr	0.471200709	2127
ben	eng	0.003328913	487
deu	bul	0.092067438	2370
nor	swe	0.041861957	3001
ita	fra	0.048686798	11610
spa	glg	0.347110924	823
pol	hun	0.009911073	545
zho	fra	0.006185446	1475
san	hin	0.144894467	508
slk	hun	0.020076743	1104
lat	deu	0.012515233	3656
nor	spa	0.001384824	317
hin	eng	0.002467634	361
ces	pol	0.010271116	788
hun	hbs	0.009170441	413
rus	nor	0.011715263	538
spa	nor	0.009690133	445
rus	hun	0.045972831	2528
deu	heb	0.047167229	517
spa	nld	0.013270959	1478
fra	ita	0.183553401	10982
rus	mol	0.586827957	2183
pol	bul	0.012003729	309
eng	swe	0.682010936	48892
zho	jpn	0.013980885	1830
fra	eus	0.136120316	534
eng	mal	0.37687188	453
pol	slk	0.02464233	484
rus	tuk	0.781376518	579
eng	isl	0.562480811	3664
ita	spa	0.054593508	12497
slk	pol	0.004366528	335
fra	glg	0.135807676	322
eng	eus	0.236043844	926
ces	spa	0.001939627	444
ces	nld	0.002810426	313
dan	eng	0.029071596	4253
deu	kor	0.074760498	1670
swe	nld	0.010864588	1210
eng	ben	0.366347178	688
rus	lav	0.205279312	1672
nor	isl	0.070463617	459
ara	rus	0.00533997	442
fin	rus	0.004965447	411
swe	deu	0.01718106	5019
ben	hin	0.139760411	490
ita	slv	0.054276404	1016
hun	slk	0.018583575	365
rus	est	0.100072798	2062
ces	deu	0.010273035	3001
fra	lit	0.080921862	1250
rus	ell	0.020093356	551
san	deu	0.001317933	385
hbs	ron	0.019443241	359
fra	slk	0.066748129	1311
rus	mon	0.203466777	493
pol	deu	0.010040257	2933
deu	dan	0.073951759	4792
lat	eng	0.017471667	2556
nor	nld	0.004561331	508
rus	tam	0.233125355	411
nor	fra	0.002390308	570
eng	cym	0.955882353	2210
eng	tam	0.385138968	679
dan	fin	0.016208857	750
eng	mar	0.400911162	352
deu	fas	0.038308765	434
uzb	rus	0.006258155	518
eng	sin	0.450074516	302
ita	rus	0.012649205	1047
mol	eng	0.004477285	655
mol	rus	0.0225801	1869
fra	sqi	0.11528785	779
kir	rus	0.004421785	366
spa	ita	0.044860438	2684
por	nld	0.002783489	310
hun	rus	0.011489393	951
tat	rus	0.004216402	349
ita	por	0.042625233	3185
fra	tur	0.160855651	1910
heb	deu	0.007212691	2107
lit	eng	0.00279574	409
rus	dan	0.009845831	638
zho	kor	0.02891933	646
fra	fin	0.056061032	2594
yid	eng	0.002624851	384
lit	rus	0.007224665	598
rus	kaz	0.620619397	1523
nld	hun	0.005873902	323
eng	ron	0.440316291	8130
heb	nld	0.002909195	324
rus	fin	0.026107065	1208
bul	deu	0.001270009	371
ita	swe	0.008899676	638
eng	tur	0.455196227	5405
eng	sqi	0.30028119	2029
jpn	spa	0.005220392	1195
ita	slk	0.030242859	594
sqi	fra	0.001425798	340
rus	aze	0.704463209	1168
ita	jpn	0.011589619	1517
kor	jpn	0.009496306	1243
zho	spa	0.002136211	489
deu	rus	0.075581114	6256
ron	eng	0.010697636	1565
ita	ces	0.017923094	1155
deu	est	0.09478282	1953
dan	isl	0.100092109	652
ara	fas	0.061258717	694
spa	jpn	0.007784985	1019
fin	swe	0.03802589	2726
ita	hun	0.028242012	1553
deu	lav	0.124248005	1012
rus	ces	0.046212098	2978
fin	est	0.046202378	952
dan	deu	0.0099581	2909
dan	swe	0.048292601	3462
hbs	sqi	0.109368063	739
eng	spa	0.560067275	128205
eng	msa	0.677991137	3672
hbs	slk	0.025609694	503
ita	ron	0.035907712	663
ron	hun	0.011875102	653
swe	eng	0.030773648	4502
rus	hye	0.728845255	1559
dan	nor	0.04892973	2247
pol	hbs	0.009170441	413
