Afghanistan	956.448	30419928
Albania	7741.428	3002859
Algeria	7333.226	35406303
Angola	5894.617	18056072
Antigua and Barbuda	17980.652	89018
Argentina	17516.147	42192494
Armenia	5384.089	2970495
Australia	40234.321	22015576
Austria	41822.000	8219743
Azerbaijan	10201.604	9493600
Bahamas	30958.550	316182
Bahrain	27556.233	1248348
Bangladesh	1692.957	161083804
Barbados	23416.651	287733
Belarus	15028.295	9542883
Belgium	37736.857	10438353
Belize	8263.623	327719
Benin	1481.063	9598787
Bhutan	6112.043	716896
Bolivia	4789.212	10290003
Bosnia and Herzegovina	8133.004	4622292
Botswana	16029.809	2098018
Brazil	11769.411	205716890
Brunei Darussalam	49384.399	408786
Bulgaria	13597.403	7037935
Burkina Faso	1466.143	17275115
Burundi	614.520	10557259
Cambodia	2215.691	14952665
Cameroon	2257.125	20129878
Canada	40541.093	34300083
Cape Verde	3947.265	523568
Central African Republic	767.615	5057208
Chad	1865.120	10975648
Chile	17221.689	17067369
China	8382.014	1343239923
Colombia	10248.589	45239079
Comoros	1231.672	737284
Democratic Rep of Congo	348.098	73599190
Congo, Republic	4589.098	4366266
Costa Rica	11927.454	4636348
Cote d'Ivoire	1589.830	21952093
Croatia	18191.682	4480043
Cyprus	29074.125	1138071
Czech Republic	27062.243	10177300
Denmark	37151.508	5543453
Djibouti	2641.539	774389
Dominica	13815.721	73126
Dominican Republic	9286.724	10088598
Ecuador	8492.429	15223680
Egypt	6539.844	83688164
El Salvador	7549.790	6090646
Equatorial Guinea	19355.546	685991
Eritrea	735.471	6086495
Estonia	20379.764	1274709
Ethiopia	1092.629	93815992
Fiji	4620.194	890057
Finland	36235.970	5262930
France	35156.451	65630692
Gabon	16183.114	1608321
Gambia	1943.429	1840454
Georgia	5491.091	4570934
Germany	37896.948	81305856
Ghana	3083.293	25241998
Greece	26293.949	10767827
Grenada	13895.543	109011
Guatemala	5069.694	14099032
Guinea	1082.635	10884958
Guinea-Bissau	1144.064	1628603
Guyana	7465.568	741908
Haiti	1234.953	9801664
Honduras	4345.148	8296693
Hong Kong	49137.468	7153519
Hungary	19591.395	9958453
Iceland	38060.836	313183
India	3693.529	1205073612
Indonesia	4666.007	248216193
Iran	13053.422	78868711
Iraq	3885.623	31129225
Ireland	39638.600	4722028
Israel	30975.092	7590758
Italy	30464.429	61261254
Jamaica	9029.301	2889187
Japan	34739.655	127368088
Jordan	5899.677	6508887
Kazakhstan	13001.396	17522010
Kenya	1745.962	43013341
Kiribati	5721.562	101998
Republic of Korea	31713.669	48860500
Kuwait	41690.642	2646314
Kyrgyzstan	2372.405	5496737
Lao People's Democratic Republic	2658.929	6586266
Latvia	15662.381	2191580
Lebanon	15522.766	4140289
Lesotho	1959.770	1930493
Liberia	456.442	3887886
Libya	5786.653	6733620
Lithuania	18856.187	3525761
Luxembourg	80119.084	509074
Macedonia	10366.766	2082370
Madagascar	933.598	22585517
Malawi	859.851	16323044
Malaysia	15567.932	29179952
Maldives	8731.249	394451
Mali	1127.518	14533511
Malta	25428.080	409836
Mauritania	2178.628	3359185
Mauritius	14954.000	1313095
Mexico	14609.770	114975406
Moldova	3373.298	3656843
Mongolia	4743.748	3179997
Yugoslavia	11545.465	657394
Morocco	5052.250	32309239
Mozambique	1084.899	23515934
Myanmar	1324.627	54584650
Namibia	7363.177	2165828
Nepal	1327.999	29890686
Netherlands	42183.002	16730632
New Zealand	27668.367	4327944
Nicaragua	3205.615	5727707
Niger	771.080	17078839
Nigeria	2578.249	170123740
Norway	53470.697	4707270
Oman	26519.429	3090150
Pakistan	2786.946	190291129
Panama	14096.703	3510045
Papua New Guinea	2532.198	6310129
Paraguay	5412.699	6541591
Peru	10062.440	29549517
Philippines	4072.879	103775002
Poland	20334.191	38415284
Portugal	23361.250	10781459
Qatar	102943.321	1951591
Romania	12476.463	21848504
Russia	16736.048	138082178
Rwanda	1340.532	11689696
Samoa	5965.022	194320
Sao Tome and Principe	2251.764	183176
Saudi Arabia	24237.401	26534504
Senegal	1870.988	12969606
Serbia	10641.991	7276604
Seychelles	24726.094	90024
Sierra Leone	848.816	5485998
Singapore	59711.239	5353494
Slovakia	23303.874	5483088
Slovenia	28641.568	1996617
Solomon Islands	3191.552	584578
South Africa	10973.006	48810427
Spain	30625.747	47042984
Sri Lanka	5673.689	21481334
St. Kitts and Nevis	15573.471	50726
St. Lucia	12607.143	162178
St. Vincent and the Grenadines	11490.907	103537
Sudan	2726.416	34206710
Suriname	9475.390	560157
Swaziland	5301.965	1386914
Sweden	40393.561	9103788
Switzerland	43369.711	7655628
Taiwan	37719.617	23113901
Tajikistan	2066.589	7768385
Tanzania	1514.885	43601796
Thailand	9396.242	67091089
Togo	898.663	6961049
Tonga	7344.378	106146
Trinidad and Tobago	20053.394	1226383
Tunisia	9477.511	10732900
Turkey	14517.446	79749461
Turkmenistan	7846.351	5054828
Tuvalu	n/a	10619
Uganda	1317.258	35873253
Ukraine	7233.151	44854065
United Arab Emirates	48157.836	5314317
United Kingdom	36089.595	63047162
United States	48386.686	313847465
Uruguay	15112.562	3316328
Uzbekistan	3302.102	28394180
Vanuatu	4916.164	227574
Venezuela	12568.029	28047938
Vietnam	3358.671	91519289
Yemen	2306.695	24771809
Zambia	1610.722	14309466
Zimbabwe	487.197	12619600
