source	target	exposure
mar	tel	8
eng	kir	22
grc	bov	1
pri	fra	4
deu	cat	1719
por	tam	2
spa	sco	1
cat	ron	25
akk	rus	3
heb	hin	1
egy	eng	54
sux	por	1
heb	tuo	1
kin	fra	3
mya	tam	1
fra	ukr	160
pli	lit	1
gle	pol	5
pol	kaa	1
ara	hbs	245
urd	eng	310
deu	fin	3294
asm	pan	3
por	slv	49
grc	rop	3
ita	som	2
ell	sqi	112
urd	tgk	1
ben	cat	15
lav	lao	1
heb	lor	1
knj	spa	1
orv	eng	7
ell	cat	43
nld	ukr	3
orv	rus	103
rus	kom	22
slv	ell	4
fra	arg	6
jpn	eus	2
grc	pgu	1
ben	hun	4
rus	atv	1
cre	oji	16
pan	mar	9
dje	fra	6
mol	kat	5
hun	pol	346
epo	tur	1
pqm	eng	2
grc	yrb	1
ori	ron	1
gmh	por	2
tuk	eng	2
kat	isl	1
kaz	urd	3
ckt	est	1
amh	eng	7
heb	mon	2
lav	ces	29
swe	kur	103
ofs	fra	1
bel	kaa	3
heb	eng	2831
bra	hin	1
san	est	13
kir	urd	3
ben	fas	2
rus	ckt	35
ara	oss	1
wit	eng	2
peo	fra	1
tuk	swa	1
tqo	eng	1
mkd	est	1
frm	nor	1
pli	nor	7
ben	ces	12
eng	msm	8
hur	eng	3
smo	rar	15
ara	sqi	257
jpn	ita	308
bul	rom	1
yid	hye	2
uzb	crh	7
khm	lit	1
grc	mym	1
urd	mon	1
mya	eng	7
ark	eng	1
deu	ces	17462
tat	bak	14
grc	aby	1
lat	mal	1
gle	est	1
bod	hun	30
pro	ukr	1
epo	eus	2
egy	hun	2
orm	deu	1
cat	glg	215
rus	mns	1
fra	kir	8
jpn	por	98
nor	mlg	1
kib	fra	1
nld	eng	2855
pli	eng	117
bul	hbs	69
kum	est	1
hun	glg	2
bul	pol	110
syr	kat	1
mon	bel	2
afr	rus	3
fra	ybb	2
swe	smj	20
rus	mal	190
lav	hye	6
tat	hin	2
grc	chk	1
dan	urd	25
grc	aze	1
jai	spa	1
fro	nld	18
eng	lao	7
eng	ady	1
isl	dan	225
mol	ara	1
deu	mlg	6
kir	hin	5
ara	deu	1105
ara	lit	17
nor	ell	52
lav	khm	1
eng	mri	310
amh	suq	1
sah	mol	1
swa	dan	1
spa	ast	44
hag	eng	1
kan	asm	3
are	eng	2
nor	yua	1
sah	fra	2
dan	tgk	2
niu	rar	6
san	slk	7
mal	san	1
kir	fra	15
kal	dan	63
jav	msa	3
eng	wim	1
sqi	rus	50
fra	pro	10
deu	iku	5
ojp	rus	13
urd	nld	11
fil	nld	1
gle	spa	5
fas	mal	1
sah	kaz	3
cbk	fil	1
eng	mtg	1
fra	bua	1
sat	eng	2
tam	hun	1
liv	est	1
fra	guj	11
zho	bod	306
eng	por	46826
slv	lit	12
eng	dzg	5
fra	bul	2395
bre	hun	1
deu	fao	18
snd	pan	2
enf	ita	1
tha	ell	1
vec	eng	2
grc	ork	1
hun	jpn	98
eng	nor	29891
hat	fra	10
tzm	ita	1
asm	hin	19
bul	mol	21
slv	jpn	7
dan	fao	70
mon	slv	3
urd	pus	1
spa	mlg	2
swe	heb	55
bak	chv	1
lit	nld	3
bal	urd	1
ykg	rus	16
ben	hbs	27
ces	tgk	7
apw	eng	1
heb	tiw	2
lao	jpn	6
pol	ori	1
mar	urd	6
ron	ita	73
eng	ell	16599
tkw	eng	1
kir	kjh	1
spa	kor	151
sme	eng	9
akk	ara	1
bul	fra	280
grc	ful	2
ara	dan	101
bel	tgk	9
deu	arg	1
dan	kaz	8
hke	fra	1
mal	tam	71
grc	axk	3
swe	pol	981
fra	las	9
lit	hin	4
eus	dan	4
grc	kxc	4
mar	eng	126
isl	bel	1
spa	yid	1
swa	slk	2
eng	mya	225
vie	kaz	4
eng	wmt	1
deu	kal	1
got	deu	2
fra	cat	3242
grc	ita	875
dar	mol	1
lav	tat	1
niu	smo	4
bul	hye	17
bel	ces	34
sux	rus	1
jbt	eng	1
deu	lbe	1
sin	lav	1
ukr	tat	4
san	ori	75
urd	bal	1
glg	spa	787
ben	sqi	5
tcy	kan	1
mal	bul	1
eng	pan	122
bod	kor	3
xno	spa	1
dan	fas	62
eng	mkd	1517
arc	eng	166
glg	nld	1
nog	uzb	1
eng	gla	204
nld	sme	1
nor	tir	1
vie	eng	153
fra	kab	1
xal	fra	1
grc	loq	2
sqi	slk	6
heb	tik	3
por	bel	1
grc	lpa	1
pol	lit	371
heb	pol	207
heb	ell	35
sco	fin	1
grc	epo	18
por	mol	6
sme	ron	1
nor	jpn	135
nor	por	127
ben	ita	28
grc	mox	1
otk	kir	1
san	urd	13
eng	abk	5
mns	hun	3
por	xav	2
aze	lit	7
pol	jpn	145
vie	hun	9
arc	cat	1
dan	nep	1
lat	sin	1
ukr	uzb	14
eng	smd	4
frm	fra	117
hye	kaa	2
bul	spa	142
gmh	spa	19
por	lav	16
gde	fra	1
fin	ces	98
deu	bak	3
ukr	deu	183
grc	guj	1
enf	fra	1
ces	tuk	3
ava	lbe	1
fin	bul	45
jra	fra	1
fra	lad	1
crh	ron	1
heb	tgk	1
rom	slv	1
yid	kaz	1
mkd	tur	199
fas	fin	26
gsw	fra	5
eng	bak	4
kat	ben	1
ron	bel	1
zho	cos	1
jpn	mya	1
iku	hbs	2
osp	slv	1
lit	kor	1
pli	slv	2
one	eng	2
bul	tur	42
pan	eng	124
afr	swe	16
heb	bul	13
est	zho	1
ell	hbs	206
hye	est	10
chl	spa	1
slv	nld	11
eng	bla	3
gla	spa	4
arw	nld	1
chr	fra	1
eng	nya	15
slk	kir	1
fra	mlg	51
piu	eng	1
pal	hbs	1
lat	tam	1
eng	nhu	6
kom	est	17
yid	slv	1
lus	mya	1
tel	san	3
meq	fra	1
grc	ded	1
eng	chr	1
tgk	hin	7
nor	rus	233
bak	tyv	1
rus	guj	118
swa	mol	1
dlg	ukr	1
bug	fra	1
eng	lin	10
san	mal	102
hin	aze	1
kaz	slk	3
heb	que	1
deu	som	7
gld	eng	2
rus	jpn	1981
grc	mkw	1
fil	jpn	8
cat	epo	3
grc	ibg	1
spa	rmr	3
est	fas	1
oji	cre	1
srd	deu	1
kat	ces	24
tat	tur	1
urd	msa	12
lav	ron	10
fra	fon	7
eng	kbd	1
bod	hbs	9
ukr	ron	41
thd	eng	1
vie	hye	1
fin	chm	1
mhg	ibd	1
mkd	rom	12
hbs	swe	112
fin	ara	3
glg	arg	2
som	deu	1
akk	fra	20
por	msa	2
hin	eus	1
arc	pol	3
abk	hin	1
nor	mkd	14
deu	ron	1564
grc	tiy	1
zho	hbs	92
fra	bam	9
tur	fin	22
lit	ara	10
krl	ukr	1
jpn	mkd	15
eng	att	1
pol	lav	63
ota	tur	2
grc	wib	6
zap	spa	2
lav	spa	6
eng	ton	40
ces	mol	17
crh	uzb	6
eng	tri	1
heb	kan	1
tur	rus	160
dan	pol	303
oge	rus	7
deu	hau	4
acf	fra	2
lit	est	46
kat	spa	6
hin	lav	1
vie	uzb	2
kat	uzb	8
glg	pol	2
tha	hin	1
eng	scn	2
dyo	fra	1
eng	pus	1
pol	isl	8
eng	est	11751
ara	fil	2
fao	nor	17
nor	hun	150
eng	chp	108
zho	tiz	143
kir	kan	3
grc	gcf	2
amh	spa	4
slv	tuk	1
tat	ron	1
hbs	msa	2
swe	slv	139
deu	tur	1120
ben	mal	92
heb	spa	719
san	slv	5
kat	dar	1
che	kaz	4
fra	tmh	1
eus	ell	3
fra	sxw	1
lat	msa	4
zho	sjo	1
fil	sjm	1
fra	zna	3
deu	lub	1
mri	eng	50
tel	guj	1
est	bel	11
que	fra	7
uga	swe	1
slv	tgk	1
hin	fin	5
ara	mar	2
tur	ben	1
zho	ces	111
chy	spa	1
slk	ast	1
ben	est	6
dan	eus	17
bul	kat	18
hin	slk	1
gmh	pol	4
deu	zho	3952
wlm	deu	1
ell	ron	174
yid	kor	2
gld	pol	1
ron	spa	206
aze	kum	1
kbd	uzb	1
bak	kaa	1
grc	gba	7
hin	mai	2
arc	nor	1
hye	abk	1
tam	pol	1
tuk	aze	13
tur	ita	37
ukr	zho	3
krc	est	2
por	fas	43
hbs	lat	4
slk	rus	276
grc	eus	33
heb	dsh	2
bre	fra	149
nld	pan	2
ces	slv	133
smo	fao	1
heb	nfr	1
heb	afr	6
grc	mol	46
lit	nep	1
nld	cym	1
vie	zho	6
fas	rus	211
kok	eng	1
urd	deu	21
sqi	eus	2
est	uzb	5
tel	urd	3
ats	spa	1
grc	djk	2
arp	spa	1
ron	kat	6
rus	wbl	1
syr	ron	5
por	tir	1
hun	deu	2793
pol	sme	1
mol	mkd	2
lat	mar	1
ncu	eng	2
fas	nor	18
sin	tam	8
eng	kor	17110
ita	msa	13
pol	kor	24
grc	pdt	3
lat	vie	1
grc	slv	112
ita	kir	3
pan	tel	2
lav	deu	112
grc	oci	3
vie	ukr	9
heb	mif	3
rus	sna	3
yid	sqi	4
ara	hye	5
tbz	fra	1
hbs	bre	1
zho	urd	5
rus	kan	152
grc	kqy	4
hye	urd	3
mar	mal	12
nld	jpn	428
grc	spa	2502
grc	bst	1
afr	ara	1
lbe	eng	1
cre	spa	1
spa	bre	8
enm	swe	4
ara	dyu	1
san	spa	159
abk	lav	1
dar	bel	1
deu	kin	4
ava	aze	1
oji	eng	9
syr	fra	47
spa	shp	1
swe	arc	1
mkd	eng	242
kan	ori	2
lat	epo	3
fas	nld	61
uzb	spa	2
swa	nld	1
deu	gcf	1
xsm	fra	1
fra	nya	2
urd	mol	1
uzb	tat	2
krl	aze	1
heb	tbl	1
grc	krc	2
nld	zho	97
heb	kek	2
rus	epo	37
vie	pol	6
mon	mkd	1
eng	syr	2
bre	rus	3
kaz	est	14
ben	ell	2
kas	pan	2
oci	deu	7
tmh	ara	1
gmh	dan	4
eng	mnf	16
pus	urd	4
fra	eng	28314
kaz	lit	5
ava	pol	1
pol	por	65
kaz	tuk	8
rom	pol	1
ava	urd	1
fra	dan	3583
grc	asm	2
jpn	nor	260
ang	kat	1
san	hbs	53
grc	rwo	1
ara	sun	1
bra	fra	1
grc	atd	2
kir	kas	1
tuk	kan	1
hin	kaz	1
egy	fin	3
gle	slk	1
eng	bav	2
tuk	vie	2
ukr	ita	4
lat	rom	1
grc	maw	5
heb	cko	1
san	eus	2
tgk	nog	1
man	fra	7
tam	rus	7
ang	nld	1
tkl	ton	10
spa	zho	413
cym	spa	2
kbp	fra	1
fra	man	2
fra	abk	1
fri	nld	102
ben	zho	59
deu	rom	1
mar	nld	1
ukr	fin	9
deu	ast	3
swe	sin	4
mol	jpn	2
fra	gud	2
abk	eng	2
ita	ukr	38
tat	mon	1
egy	ces	10
spa	prq	2
bod	deu	250
ori	eng	69
akk	jpn	1
fra	mcu	8
gmh	glg	1
ava	ben	1
rus	vie	538
deu	hat	1
epo	ces	5
yid	tur	1
enf	swe	1
pus	nor	1
fra	swg	2
ron	tuk	1
fin	zho	39
grc	mlt	2
cat	eus	313
nld	lim	1
bul	hun	96
deu	aym	2
por	fra	1579
fas	tur	173
slk	mkd	23
eng	asm	187
san	lav	5
chc	eng	1
lit	kan	1
tur	fra	227
fra	ron	4240
grc	mnf	2
fra	gnd	2
non	est	1
gle	gla	4
est	lao	1
kaz	pus	2
epo	slv	1
ara	urd	237
ori	guj	4
kat	lbe	1
fro	lit	6
eng	kne	11
cym	est	1
heb	arc	1
mdf	ukr	2
eng	niu	21
ces	fra	883
bre	nld	3
kat	fin	6
fra	cme	16
heb	cym	4
san	asm	38
swe	hye	5
uzb	tgk	19
spa	uig	4
tuk	uzb	7
ara	snd	7
hbs	hun	779
fra	dos	11
grc	tir	1
por	deu	1318
abk	fin	1
abk	bul	1
tah	fra	9
mal	ori	5
grc	oss	1
deu	kan	16
fin	hun	167
bod	cat	4
iku	isl	2
zul	deu	6
bak	mkd	1
egy	cat	1
tcb	eng	1
cop	ces	6
tsc	por	1
eng	grc	1
rus	nep	91
ben	ron	6
eng	mbt	2
gmh	fin	2
tur	mol	2
heb	xnn	1
alt	ukr	3
mon	kaz	7
ukr	kan	1
dan	eve	1
eng	ify	1
eng	fas	7987
urd	kok	1
jpn	eng	3476
tir	som	1
nav	eng	8
sux	aze	1
gle	sqi	1
sux	isl	1
mar	sin	1
pag	eng	1
fra	aji	1
sux	pol	2
fin	tur	6
san	pol	27
non	kat	1
kfy	eng	1
bak	tgk	1
pol	zho	76
gla	swe	2
san	tel	85
bul	heb	1
grc	bul	139
bod	fas	1
gcf	eng	14
rus	deu	10794
fro	ara	1
chv	sah	2
gla	deu	13
grc	kmh	1
tur	aze	24
oss	tgk	1
tha	pol	1
kpy	eng	1
grc	moz	1
tha	heb	1
swa	zho	1
fri	sco	1
slv	hbs	706
heb	bss	1
myv	eng	2
bho	rcf	1
eng	smj	5
zho	kac	64
syr	fin	10
kir	dng	2
zul	jpn	2
fas	kan	1
ron	slk	41
tuk	hin	3
aze	tgk	7
slv	bel	7
eng	lat	56
chy	eng	3
bul	kir	6
non	bul	1
arg	cat	2
mol	ell	1
spa	sin	4
ukr	swe	5
enm	slk	1
orv	aze	1
kor	nld	10
nor	ara	28
hin	jpn	32
mar	tam	13
gmh	hbs	5
grc	fil	3
mri	epo	1
kat	bel	9
heb	xsm	4
dak	deu	8
cat	slk	4
dan	rus	530
heb	bkm	1
swe	msa	9
grc	kst	1
est	lit	66
fra	sms	1
mal	jpn	8
msa	ita	2
urd	ita	2
bul	kor	3
xho	eng	2
eng	ntj	3
pli	spa	13
kaz	sah	5
bod	rus	41
ita	aze	6
fra	ddn	1
ben	uzb	6
gld	pan	1
isl	lav	2
kok	hin	1
jpn	ukr	13
spa	pib	1
mau	deu	2
lua	fra	1
grc	bkm	10
eng	dgr	4
way	zho	1
aze	urd	2
ota	deu	1
asm	mar	2
guj	nld	1
fra	mde	6
eng	kat	166
egy	slk	2
fra	kri	1
ava	deu	1
hin	bra	2
lit	jpn	6
swe	eus	29
spa	its	1
ell	jpn	28
cat	nor	8
por	spa	2686
spa	tam	4
jpn	nep	20
rus	tur	677
mkd	rus	26
grc	tat	1
ukr	epo	1
eng	ven	4
kaz	eng	8
grc	wln	4
spa	inh	1
kir	kum	1
grc	frm	1
eng	tir	30
lat	ron	162
spa	gsw	1
jpn	ben	9
irk	rus	1
gle	ita	5
tat	ara	2
pus	ukr	2
rus	inh	51
zho	tha	4
cro	spa	1
ara	uzb	34
pdt	deu	3
ess	eng	1
spa	wol	2
mol	ces	6
isl	est	17
fas	pol	25
pdc	eng	2
eng	yor	10
hns	nld	22
eng	ilo	1
hye	hbs	9
fra	mol	281
rus	kur	8
fas	snd	1
nld	bod	1
smj	est	1
fil	fin	1
pol	bel	130
bod	por	6
nor	aze	3
pol	lat	4
yid	pol	119
eus	lat	1
ara	ita	168
grc	kbd	2
hit	eng	6
yid	heb	110
ara	kir	4
kor	fas	3
inh	rus	45
ukr	tam	4
mlg	rus	2
afr	nor	11
bak	uzb	2
isl	iku	3
pol	eus	1
mya	jpn	27
mon	slk	3
hin	ben	75
bre	gle	2
grc	tzm	1
krl	rus	17
ara	fin	57
ibo	eng	5
pus	lav	1
nld	tha	4
hbs	glg	2
fas	sco	4
uzb	kaz	18
rus	yid	6
nor	cat	55
tha	nld	1
nld	pol	285
jpn	isl	7
grc	roh	2
akk	nor	2
tur	hun	48
hye	bre	1
fas	ara	168
dan	sme	4
uzb	bak	1
fra	lav	417
heb	glg	3
tuk	hye	1
gle	jpn	1
ell	swe	66
grc	nnh	3
spa	heb	182
grc	rup	1
fra	pol	6440
grc	nor	80
ukr	mol	99
eng	mmy	1
gld	por	1
gml	deu	1
tlh	eng	2
rus	fas	741
heb	gng	1
fro	ita	33
som	swe	3
osp	ces	1
ita	mar	2
ceb	eng	2
sco	ces	3
naz	spa	1
kjq	spa	1
ces	heb	40
akk	fas	5
sot	fra	3
bev	fra	1
por	kat	3
fro	bul	9
sme	tam	1
fra	kyq	3
fas	kor	4
pap	nld	5
nld	ces	389
slv	por	2
nor	fin	799
ukr	sqi	2
por	tha	3
orv	bel	3
abk	kaz	1
zho	deu	1159
yid	fra	146
eng	pjt	6
rus	roh	1
hbs	tur	66
eng	oji	7
nld	ara	23
tat	slk	2
hop	spa	1
heb	sid	1
grc	gad	1
hun	eng	3182
jpn	aze	2
dan	tzb	2
swe	iku	18
grc	tha	2
urd	jpn	17
hat	eng	11
grc	vag	1
pol	glg	1
pan	msa	2
heb	acd	1
egy	ara	6
fra	arc	1
eng	sme	11
afr	slv	1
kur	fas	8
mar	ara	1
eng	urd	328
heb	suq	1
deu	lit	2140
eng	wti	2
djk	eng	1
rif	nld	1
sah	tgk	1
kam	eng	3
spa	msa	16
por	bul	114
spa	cak	1
tha	fin	1
afr	mal	1
spa	kan	2
chv	est	1
kik	swe	1
spa	lit	234
chp	cre	7
bak	slk	4
tuk	swe	3
ita	uzb	7
fra	ife	11
ben	dan	1
heb	cos	1
ukr	hin	3
ady	kbd	1
fra	jpn	9893
nem	fra	4
cop	spa	6
guj	ori	9
mal	spa	1
fin	tgk	1
heb	bre	5
eng	efi	1
bra	deu	3
rus	msa	24
cop	rus	1
rus	sqi	329
ben	ara	4
ave	spa	2
lit	slk	26
heb	lns	4
prg	deu	1
gld	lao	1
spa	ori	2
tam	ara	1
eng	sgb	2
lez	ava	1
heb	ita	257
mol	spa	21
vie	por	2
cat	oci	5
vie	jpn	40
dan	kal	232
yor	fra	3
enm	mal	1
eng	ssw	16
tel	ces	1
grc	mdf	1
uig	uzb	6
hye	fas	6
swg	tur	1
mns	fra	1
msa	dan	1
swe	smn	5
cat	jpn	29
dan	hbs	226
cop	nld	11
heb	cat	48
san	kor	3
ben	fra	115
bod	eng	426
ces	gle	2
bod	dan	28
grc	aso	1
jpn	new	14
spa	cul	1
epo	bul	1
san	bod	14
zho	pol	66
ukr	oss	2
grc	yle	1
deu	por	4497
est	mar	2
fas	dar	1
xal	mol	1
zho	heb	13
mlg	spa	1
lat	slk	186
pol	est	108
uzb	kaa	53
moe	fas	1
rus	krc	89
hbs	ava	1
grc	cor	2
nld	dan	810
yrk	lav	1
kho	eng	1
grc	opm	1
tha	ita	1
fao	nld	1
mal	asm	2
swa	bul	1
tuk	deu	13
mnc	eng	2
tam	urd	2
mkd	ron	24
fra	mal	34
isl	hye	2
fra	abi	2
zho	ukr	11
tur	ces	6
ork	fra	1
kir	ori	3
ces	mon	2
kca	fra	1
sux	nld	5
kat	eng	55
zho	mnc	1
arn	cat	1
lit	dan	7
snl	eng	1
nrn	eng	2
grc	lmp	3
nld	est	78
fra	bum	2
ori	deu	4
tat	mol	4
kaz	mol	9
mon	tgk	4
bel	fas	2
sqi	heb	4
iku	dan	35
nld	mal	2
ssw	eng	2
fra	deu	32328
kat	mon	1
nld	som	2
kat	rus	666
amh	fra	7
kwk	eng	2
aym	eng	2
ben	ori	195
fra	swe	3502
slk	fas	1
eus	cat	117
uig	zho	15
roh	ron	3
mon	hun	13
ell	heb	10
guj	pol	1
sah	eng	1
nld	deu	6238
heb	fil	2
dak	fra	1
san	lat	2
lat	kan	1
bod	ron	8
nci	eng	28
slk	tgk	2
eng	fon	1
orv	hbs	3
eng	bcj	1
frm	swe	3
kor	ara	3
osp	nor	1
grc	apn	1
egy	nor	1
pli	fin	4
lit	urd	1
aht	eng	1
pli	hbs	5
nor	iku	4
zho	wbm	27
fao	kal	1
heb	dbq	2
ita	sco	1
heb	ara	43
sel	rus	1
hin	spa	33
grc	djr	1
lad	hbs	2
ell	por	21
iba	eng	1
aze	tur	23
pan	guj	3
nld	hin	4
guj	ben	5
fas	bak	1
nap	ita	1
ara	hin	10
tgk	eng	4
mol	pol	1
eng	mym	7
grc	rus	585
mol	fin	2
rus	bel	1213
zho	lin	1
kir	pan	2
tet	eng	2
fas	swe	87
tgk	kat	3
tuk	bel	9
eng	bvr	1
hbs	fra	978
fas	kat	15
ita	sqi	528
aze	hun	6
syr	cat	4
fas	deu	331
mar	rus	2
ntj	eng	3
bel	oss	4
sqi	ara	6
orv	tuk	2
epo	est	3
slv	ces	95
tam	guj	12
spa	arn	1
csb	bel	1
smj	nor	4
lat	ang	4
wya	eng	4
ron	epo	3
eng	slk	6586
mkd	uzb	2
tha	kor	1
grc	uvl	1
lao	spa	3
eng	mic	1
vep	fin	1
spa	grn	1
lhu	jpn	2
snd	urd	5
urd	asm	6
afr	ndo	1
san	jpn	59
mal	dan	1
gcr	fra	16
deu	ara	543
hbs	hye	5
nor	asm	1
deu	ltz	2
fra	fas	700
eng	cor	5
arc	swe	6
cop	nor	2
heb	sig	1
pli	nld	17
fra	zho	3986
hin	mol	2
rus	swe	946
heb	sor	1
fil	ukr	1
swe	lav	155
tur	tuk	3
mal	eng	104
tgk	deu	4
kln	eng	1
cop	ara	1
ang	hbs	2
ben	rus	24
jpn	dan	560
tur	tat	3
hbs	kaz	4
kea	fra	3
ben	afr	1
grc	slk	87
cym	slk	2
slk	ita	15
alt	eng	1
ava	hye	1
jpn	fas	31
gcc	eng	1
grc	pad	1
dan	bel	1
swe	rus	586
mol	mon	1
grc	bhy	3
deu	pdt	1
eng	lav	3861
osp	bul	1
cop	hun	3
grc	ast	3
cat	hbs	9
san	rus	139
dum	ita	3
fro	ces	4
ava	kum	3
mri	smo	8
grc	fin	273
tur	swe	64
kir	hbs	2
ngk	eng	1
swe	tur	65
jai	eng	2
fra	tet	1
gmh	ita	10
deu	tir	2
hun	sqi	17
grc	ivb	1
msa	swe	2
fra	bdm	3
slv	sqi	17
zho	iii	18
grc	zir	1
eng	hye	114
fra	rus	7913
fin	sme	22
rom	mol	1
pus	dan	1
tgk	ara	8
tha	por	3
heb	rug	6
oci	ces	1
ara	hau	1
eus	fin	6
zho	eus	3
nog	rus	18
tmh	fra	21
san	msa	7
sah	kaa	1
non	ron	2
heb	vag	2
tur	slv	13
asm	guj	1
nld	mkd	8
fra	dzg	10
tur	lav	3
bre	eng	14
ckt	eve	1
grc	uma	1
rus	cym	1
kan	deu	1
epo	fra	5
hin	ara	5
grc	cme	4
snd	swe	1
tzm	eng	1
lat	tur	22
mon	tyv	2
akk	dan	4
swe	fra	1336
lns	eng	5
ava	eng	1
kor	nor	5
tat	fra	1
ces	lit	91
grc	chv	2
deu	hye	57
heb	kmb	1
fin	cat	9
ben	msa	6
rus	zho	2665
slv	swe	10
kat	bul	15
unp	eng	3
eng	tuk	17
grc	ati	1
slk	fin	15
vie	ron	6
fra	sag	1
msa	eng	192
san	fas	10
jpn	bel	2
grc	cos	2
grc	mar	2
cop	pol	5
osp	ron	1
kal	deu	1
swe	gle	7
ita	yid	1
heb	dyu	1
ukr	orv	1
ben	pol	9
grc	bfd	2
rus	kir	1264
oji	slv	1
ane	fra	2
rom	ron	5
kor	hun	10
hin	pan	32
kbd	bel	1
ben	deu	63
vie	tuk	2
bod	bul	15
tuk	rus	259
fra	por	11415
est	ara	6
grc	sqi	83
rom	hbs	20
onw	eng	1
grc	tur	109
por	zho	66
ara	swe	126
est	eng	1706
heb	kab	1
dan	jpn	269
grc	kor	51
fra	oss	2
gle	eng	96
cop	est	3
eus	ita	5
nor	urd	4
sux	sqi	4
eip	deu	1
lit	tgk	5
kat	slk	27
ara	bul	70
kum	kir	1
lat	grc	6
kaz	uig	31
sac	hbs	1
deu	lad	1
pol	sqi	24
fra	rom	3
spa	fao	2
hin	raj	1
jao	eng	1
cat	mkd	9
pli	mal	2
dan	ori	3
por	est	22
uzb	tam	1
pol	epo	16
grc	kdh	3
gmh	lit	3
ita	goh	1
eng	gwi	1
dan	kor	30
rus	dng	6
cak	eng	2
heb	dyi	3
srn	nld	34
tha	cat	1
fro	ell	1
chr	eng	2
gez	fra	7
chv	eng	2
fra	lat	45
eng	dar	1
fas	por	17
ces	hbs	231
gld	hun	1
lle	eng	1
bod	pol	20
eng	sid	2
fra	tik	7
bho	fra	1
lat	fra	2792
mal	new	2
ukr	mon	3
heb	djk	6
chu	ukr	2
spa	tur	262
eng	sot	8
ell	kat	1
fro	est	2
lit	mal	1
ita	tha	3
dan	ita	176
hin	hbs	18
mar	jpn	5
mkd	hye	1
zho	sqi	8
grc	dsh	1
fin	ell	17
bul	hin	3
mns	lav	1
yid	bel	8
bul	ava	2
hun	heb	40
san	sin	17
lao	hun	1
por	swe	198
rus	ron	918
rom	deu	5
grc	mfi	1
arc	spa	43
hbs	tgk	3
ara	syr	1
slv	fra	95
fro	eng	155
eng	nza	1
nss	eng	1
ron	glg	1
kor	mon	5
lms	fra	3
tel	kan	26
eng	zul	23
tur	slk	12
mal	ben	5
aze	nld	1
fra	ara	2073
xal	aze	1
deu	eve	1
myv	rus	58
ita	roh	10
eng	gag	1
ast	rus	1
fra	kkj	12
syr	grc	2
hin	oss	2
lav	fra	18
syr	pol	3
tbt	fra	12
gcr	eng	1
bua	rus	111
swe	hbs	220
kan	new	2
kur	dan	3
kir	ukr	20
jpn	glg	5
ron	slv	10
tgk	urd	3
sot	ita	1
hin	rus	58
akk	sqi	2
grc	sor	4
grc	kqe	1
tur	por	6
lug	eng	4
akk	nld	4
akk	cat	1
san	mon	6
ukr	chv	5
kor	ces	19
sah	rus	136
smo	kal	1
oss	tam	1
yid	mkd	2
oss	abk	1
dan	ckt	1
mkd	slv	26
ben	nld	10
bod	fra	286
bod	jpn	39
cat	deu	338
grc	ixj	1
tat	tgk	2
grc	bvr	2
san	nld	56
kir	pol	14
jrb	lad	1
dan	fra	1023
jpn	kal	1
eng	rus	41147
eng	acf	1
kir	lav	6
kat	oss	13
cor	gle	1
kaz	pol	4
ita	oci	6
goh	deu	15
fas	isl	3
fra	hye	77
deu	pus	7
tyv	rus	46
mkd	swe	7
eng	kua	1
nld	sna	1
fin	lat	5
enm	fra	13
tur	nld	121
dum	spa	5
sco	deu	9
abk	pol	1
cuv	fra	1
est	rus	2306
isl	hun	11
heb	neb	2
gag	rus	11
pal	fra	3
grc	xsm	10
eng	kas	1
kor	zho	1394
dan	bod	1
deu	urd	11
heb	eus	5
grc	ybb	2
grc	chu	3
nap	fra	3
san	mai	3
hye	ces	12
kan	ben	7
rus	uzb	2217
swe	hun	327
ces	glg	2
fra	sok	6
pol	fra	1159
msa	ces	2
khm	fra	20
gag	mol	5
pan	rus	1
ukr	urd	2
swa	fra	12
gmh	bul	2
slv	spa	34
fas	hun	11
tel	tam	65
fra	alq	4
grc	cop	2
pli	sin	4
bel	nor	1
oci	lnc	1
hye	fra	78
grc	uli	1
mcm	eng	1
kat	eus	3
kor	rus	49
dar	fas	1
zho	hin	8
asm	kan	3
hbs	bel	8
egy	ron	1
est	chv	1
pro	dan	1
slv	mkd	59
mon	bod	2
glh	deu	1
tat	kaz	14
sga	nor	1
lut	eng	1
krc	nor	1
eng	fro	1
eng	mta	15
tue	spa	1
rus	ady	46
kaz	mon	2
sqi	tur	28
slk	ukr	85
tzm	ara	1
eng	her	2
zho	mal	2
ava	dar	1
eng	toi	2
evn	ukr	1
grc	bnc	2
cre	chp	14
heb	ife	12
nor	slk	34
che	deu	1
isl	epo	1
fra	tha	28
heb	kog	1
tur	cat	8
eng	ceb	7
raj	hin	17
heb	fin	191
rom	mkd	2
aze	rus	435
lbe	mol	1
bwi	por	1
peo	cat	2
hun	hin	2
hin	zho	10
heb	oss	1
rus	chv	143
hbs	deu	1374
spa	bak	1
grc	lik	1
eng	cho	3
cat	rus	25
kaz	hye	6
grc	wal	1
ara	nld	299
zho	tur	17
dan	est	163
sjt	rus	2
eng	tel	179
lbe	tuk	1
ron	heb	25
pli	tam	4
ara	guj	5
mos	fra	4
pol	kaz	8
yid	nor	11
tem	deu	1
grc	ntr	6
cop	hbs	4
crh	rus	18
xal	ukr	1
kur	fra	21
eng	ivb	1
san	eng	1189
rus	evn	8
ces	vie	4
gld	tel	1
ron	gag	3
