source	target	exposure
ltz	deu	2
yrk	rus	33
dan	epo	12
hun	tur	40
chv	swe	1
lav	por	3
dan	smj	3
tuk	spa	1
jpn	guj	1
hbs	eng	3899
swe	ces	317
ave	deu	1
eng	prt	3
kom	khm	1
fro	tur	3
deu	inh	1
fin	iku	1
vie	fas	1
heb	srn	5
mlt	ita	1
hun	cat	21
isl	ukr	2
spa	isl	110
ykg	eng	1
ron	kor	17
ukr	fas	2
mol	bel	8
fra	dur	1
mri	ton	1
eng	mgo	2
spa	cbt	1
egy	zho	1
ska	eng	1
cat	dan	12
grc	erk	1
dum	nld	36
heb	gnn	1
chv	tat	2
ron	hye	6
abk	aze	1
eng	ifa	2
hbs	est	4
gag	ron	1
ita	fil	1
lat	hye	1
deu	hbs	5034
slk	sqi	2
bod	swe	12
snd	asm	1
kpy	bul	1
fra	ces	4147
nij	eng	1
nap	deu	2
heb	slk	42
ell	fin	43
cym	hun	2
kor	fra	1119
deu	swe	3747
eng	mon	207
por	kor	51
dan	tur	126
hye	ron	13
ces	roh	1
dan	ast	3
kum	mol	1
tur	msa	8
aoi	eng	1
deu	epo	73
grc	bwu	4
eng	lkt	1
lav	fin	19
lav	hbs	2
msa	ukr	1
lat	mol	18
grc	swe	320
kal	sme	2
swe	kal	8
kum	rus	37
uzb	eng	23
dum	cat	1
yid	lad	1
zho	vie	30
doi	hin	3
msa	kor	3
mlt	fra	4
lav	slk	29
urd	uzb	2
rus	gag	6
ang	ces	3
bul	mon	1
guj	tam	11
est	fra	70
bod	fin	11
pam	fil	1
oss	kat	38
slv	roh	1
msa	jpn	77
syr	hye	2
dar	tgk	1
eng	khm	7
omn	deu	1
eng	ken	5
ava	tur	1
oss	slk	3
grc	bss	1
nld	fao	4
gla	sco	1
egy	nld	2
heb	xrb	1
dar	kum	1
vls	spa	1
por	kaa	1
yid	lit	6
coj	eng	1
tha	hun	1
rom	bul	1
iku	sme	1
pli	deu	66
kir	uzb	12
moh	eng	1
slv	ukr	11
frm	por	3
zho	yiz	222
ara	spa	1129
sco	fra	3
rus	ara	1534
psi	deu	1
heb	yam	1
mar	pol	2
hye	lav	8
nci	deu	5
syr	jpn	4
tat	spa	1
grc	gnn	1
urd	guj	3
grc	ady	1
grc	dan	305
sme	ell	1
ell	ita	145
fra	rcf	13
ces	por	95
spa	ron	478
lav	mar	1
kan	jpn	2
slk	deu	350
heb	msa	1
sco	eng	13
grc	cre	1
dum	deu	3
bam	deu	3
vie	ben	2
spa	cos	2
zho	khb	2
grc	tyv	1
pro	tur	1
non	nor	70
pol	ita	316
fin	por	16
spa	kir	10
grc	tpi	1
ben	uig	15
fin	slv	35
che	tat	1
isl	swe	189
guj	san	1
udm	hun	2
kaz	tur	2
lit	tel	3
epo	hun	18
acf	eng	1
ukr	che	1
crs	eng	1
spa	mal	14
xeb	eng	1
man	eng	5
deu	tam	46
enf	dan	1
pan	deu	8
tur	rom	1
bod	msa	2
est	kat	12
epo	zho	6
hun	tgk	5
fri	ita	1
ron	tgk	4
afr	kua	1
deu	nor	2333
tha	tam	1
swe	est	777
est	gle	2
hbs	kir	1
rcf	fra	32
por	hbs	231
gld	lit	2
ktu	deu	1
bul	rus	1113
slv	eng	465
kan	spa	1
fas	hin	7
eng	blw	3
zho	msa	18
sqi	slv	9
lit	deu	178
ron	lav	4
kpy	ukr	1
hye	tel	2
ibo	deu	1
kaz	lav	4
krc	kbd	1
lao	eng	10
zho	hmn	25
asm	swe	1
est	isl	1
deu	gsw	52
sux	spa	16
eus	ukr	1
ces	bre	1
bis	eng	1
grc	bre	6
swa	msa	1
ces	kaa	2
bci	eng	1
grc	hun	309
rus	mkd	285
nog	kaa	1
fra	asm	23
nog	tat	1
kir	mal	3
ita	bel	9
smo	dan	1
rus	tyv	142
eng	hnn	1
bul	aze	10
spa	hye	12
akk	est	1
kur	ara	6
fro	hbs	6
eng	jao	2
jpn	heb	28
grc	wwa	9
tuk	ara	5
pol	mkd	39
akk	tur	1
kir	ces	4
deu	kbd	1
mon	mol	3
eng	lns	10
frm	cat	1
csb	pol	1
uzb	fra	16
ben	guj	64
let	est	1
bua	ukr	4
pli	san	1
aze	tuk	9
bre	deu	24
nld	vie	2
yid	zho	5
sot	deu	2
grc	cjv	1
akk	fin	2
kor	dan	28
mal	kan	14
fas	sqi	27
msa	por	1
ita	gle	4
eus	fra	58
pro	rus	4
deu	syr	1
nor	uig	1
kur	kat	6
cul	spa	1
spa	ell	904
pol	ukr	136
grc	ltz	2
pli	tur	1
dan	tsz	2
mya	slk	1
rus	yor	10
grc	kbp	4
ibo	cat	1
ava	lez	1
sbg	fra	1
dan	por	141
jav	jpn	1
lav	dan	5
ori	swe	1
heb	roh	1
bel	jpn	3
eng	iku	68
eng	swg	12
chu	hbs	26
grc	bib	2
abk	spa	1
nor	eng	1330
spa	arg	24
ori	san	3
tam	tel	27
tur	kur	9
ell	slv	16
rus	uig	390
aze	ron	1
ava	hin	2
heb	chu	1
por	ita	357
ell	chu	1
jpn	rus	507
pol	eng	2273
uzb	lav	6
ita	hin	2
heb	tuk	1
fas	sin	1
mya	ukr	1
mol	ita	11
ara	ben	47
tam	san	3
frm	deu	11
slv	pol	37
kaz	ukr	21
isl	nld	36
fra	idd	1
fro	hun	8
sqi	nld	30
heb	sil	2
ibo	fra	1
nld	afr	2
est	spa	42
dar	tab	1
nor	est	138
lav	mal	1
ara	kur	5
eng	hur	1
grc	kyf	1
eve	rus	7
ach	fra	1
mfe	eng	5
mkd	hbs	205
grc	msa	17
tuk	tat	1
asm	pol	3
tam	hin	28
tat	ell	2
hbs	tab	1
eng	hbs	23121
ara	ori	4
zho	kaz	321
spa	bul	409
spa	pan	1
san	ron	43
dan	mya	1
sin	fra	4
dan	lav	73
lav	kaz	3
eng	gue	1
ava	tab	1
pro	ces	1
tel	fra	11
grc	mba	1
nor	kor	18
som	fra	4
por	cat	221
hbs	nld	98
gmh	zho	1
tur	urd	2
jrb	fra	2
ell	fas	5
grc	ifu	1
ita	cym	1
mkd	ell	7
por	hun	232
ori	tam	3
chu	fin	2
fra	fri	4
fin	eng	1579
sqi	deu	152
orv	fra	2
kjb	spa	2
uzb	deu	14
swe	mkd	24
cym	glg	2
grc	beh	1
grc	san	1
deu	eus	320
bel	swe	6
tgk	mol	5
