Final_Code	Final_Name	Status	Partner_Agency	639_3	639_2	639_2_B	639_1	Common_Twitter_Wiki_Code	Twitter_CLD_Only_Code	Wiki_Only_Code	Reference_Name	Element_Scope	Language_Type	Documentation
gga	Gao	A	SIL	gga							Gao	I	L	SIL
ggb	Gbii	A	SIL	ggb							Gbii	I	L	SIL
ggd	Gugadj	A	SIL	ggd							Gugadj	I	E	SIL
gge	Guragone	A	SIL	gge							Guragone	I	L	SIL
ggg	Gurgula	A	SIL	ggg							Gurgula	I	L	SIL
ggh	Garreh-Ajuran	R	SIL	ggh							Garreh-Ajuran	I	L	
ggk	Kungarakany	A	SIL	ggk							Kungarakany	I	E	SIL
ggl	Ganglau	A	SIL	ggl							Ganglau	I	L	SIL
ggn	Eastern Gurung	A	SIL	ggn							Eastern Gurung	I	L	SIL
ggr	Aghu Tharnggalu	A	SIL	ggr							Aghu Tharnggalu	I	E	SIL
ggt	Gitua	A	SIL	ggt							Gitua	I	L	SIL
ggu	Gagu	A	SIL	ggu							Gagu	I	L	SIL
ggw	Gogodala	A	SIL	ggw							Gogodala	I	L	SIL
gha	Ghadamès	A	SIL	gha							Ghadamès	I	L	SIL
ghc	Hiberno-Scottish Gaelic	A	SIL	ghc							Hiberno-Scottish Gaelic	I	E	SIL
ghe	Southern Ghale	A	SIL	ghe							Southern Ghale	I	L	SIL
ghh	Northern Ghale	A	SIL	ghh							Northern Ghale	I	L	SIL
ghk	Geko Karen	A	SIL	ghk							Geko Karen	I	L	SIL
ghl	Ghulfan	A	SIL	ghl							Ghulfan	I	L	SIL
ghn	Ghanongga	A	SIL	ghn							Ghanongga	I	L	SIL
gho	Ghomara	A	SIL	gho							Ghomara	I	E	SIL
ghr	Ghera	A	SIL	ghr							Ghera	I	L	SIL
ghs	Guhu-Samane	A	SIL	ghs							Guhu-Samane	I	L	SIL
ght	Kuke	A	SIL	ght							Kuke	I	L	SIL
gia	Kitja	A	SIL	gia							Kitja	I	L	SIL
gib	Gibanawa	A	SIL	gib							Gibanawa	I	L	SIL
gic	Gail	A	SIL	gic							Gail	I	L	SIL
gid	Gidar	A	SIL	gid							Gidar	I	L	SIL
gig	Goaria	A	SIL	gig							Goaria	I	L	SIL
gil	Gilbertese	A	JAC	gil	gil						Gilbertese	I	L	SIL
gim	Gimi (Eastern Highlands)	A	SIL	gim							Gimi (Eastern Highlands)	I	L	SIL
gin	Hinukh	A	SIL	gin							Hinukh	I	L	SIL
gio	Gelao	R	SIL	gio							Gelao	I	L	
gip	Gimi (West New Britain)	A	SIL	gip							Gimi (West New Britain)	I	L	SIL
giq	Green Gelao	A	SIL	giq							Green Gelao	I	L	SIL
gir	Red Gelao	A	SIL	gir							Red Gelao	I	L	SIL
gis	North Giziga	A	SIL	gis							North Giziga	I	L	SIL
git	Gitxsan	A	SIL	git							Gitxsan	I	L	SIL
giu	Mulao	A	SIL	giu							Mulao	I	L	
giw	White Gelao	A	SIL	giw							White Gelao	I	L	SIL
gix	Gilima	A	SIL	gix							Gilima	I	L	SIL
giy	Giyug	A	SIL	giy							Giyug	I	L	SIL
giz	South Giziga	A	SIL	giz							South Giziga	I	L	SIL
gji	Geji	A	SIL	gji							Geji	I	L	SIL
gjk	Kachi Koli	A	SIL	gjk							Kachi Koli	I	L	SIL
gjn	Gonja	A	SIL	gjn							Gonja	I	L	SIL
gka	Guya	A	SIL	gka							Guya	I	L	SIL
gke	Ndai	A	SIL	gke							Ndai	I	L	SIL
gkn	Gokana	A	SIL	gkn							Gokana	I	L	SIL
gko	Kok-Nar	A	LL	gko							Kok-Nar	I	E	
gla	Scottish Gaelic	A	JAC	gla	gla		gd	gd			Scottish Gaelic	I	L	SIL
glc	Bon Gula	A	SIL	glc							Bon Gula	I	L	SIL
gld	Nanai	A	SIL	gld							Nanai	I	L	SIL
gle	Irish	A	JAC	gle	gle		ga	ga			Irish	I	L	SIL
glg	Galician	A	JAC	glg	glg		gl	gl			Galician	I	L	SIL
glh	Northwest Pashayi	A	SIL	glh							Northwest Pashayi	I	L	SIL
gli	Guliguli	A	SIL	gli							Guliguli	I	E	SIL
glj	Gula Iro	A	SIL	glj							Gula Iro	I	L	SIL
glk	Gilaki	A	SIL	glk							Gilaki	I	L	SIL
glo	Galambu	A	SIL	glo							Galambu	I	L	SIL
glr	Glaro-Twabo	A	SIL	glr							Glaro-Twabo	I	L	SIL
glu	Gula (Chad)	A	SIL	glu							Gula (Chad)	I	L	SIL
glv	Manx	A	JAC	glv	glv		gv	gv			Manx	I	L	SIL
glw	Glavda	A	SIL	glw							Glavda	I	L	SIL
gly	Gule	A	SIL	gly							Gule	I	E	SIL
gma	Gambera	A	SIL	gma							Gambera	I	E	SIL
gmb	Gula'alaa	A	SIL	gmb							Gula'alaa	I	L	SIL
gmd	Mághdì	A	SIL	gmd							Mághdì	I	L	SIL
gmh	Middle High German (ca. 1050-1500)	A	JAC	gmh	gmh						Middle High German (ca. 1050-1500)	I	H	LL
gml	Middle Low German	A	LL	gml							Middle Low German	I	H	
gmn	Gimnime	A	SIL	gmn							Gimnime	I	L	SIL
gmo	Gamo-Gofa-Dawro	R	SIL	gmo							Gamo-Gofa-Dawro	I	L	
gmu	Gumalu	A	SIL	gmu							Gumalu	I	L	SIL
gmv	Gamo	A	SIL	gmv							Gamo	I	L	
gmx	Magoma	A	SIL	gmx							Magoma	I	L	SIL
gmy	Mycenaean Greek	A	LL	gmy							Mycenaean Greek	I	A	
gna	Kaansa	A	SIL	gna							Kaansa	I	L	SIL
gnb	Gangte	A	SIL	gnb							Gangte	I	L	SIL
gnc	Guanche	A	LL	gnc							Guanche	I	E	
gnd	Zulgo-Gemzek	A	SIL	gnd							Zulgo-Gemzek	I	L	SIL
gne	Ganang	A	SIL	gne							Ganang	I	L	SIL
gng	Ngangam	A	SIL	gng							Ngangam	I	L	SIL
gnh	Lere	A	SIL	gnh							Lere	I	L	SIL
gni	Gooniyandi	A	SIL	gni							Gooniyandi	I	L	SIL
gnk	//Gana	A	SIL	gnk							//Gana	I	L	SIL
gnl	Gangulu	A	SIL	gnl							Gangulu	I	E	SIL
gnm	Ginuman	A	SIL	gnm							Ginuman	I	L	SIL
gnn	Gumatj	A	SIL	gnn							Gumatj	I	L	SIL
gnq	Gana	A	SIL	gnq							Gana	I	L	SIL
gnr	Gureng Gureng	A	SIL	gnr							Gureng Gureng	I	E	SIL
gnt	Guntai	A	SIL	gnt							Guntai	I	L	SIL
gnu	Gnau	A	SIL	gnu							Gnau	I	L	SIL
gnz	Ganzi	A	SIL	gnz							Ganzi	I	L	SIL
goa	Guro	A	SIL	goa							Guro	I	L	SIL
gob	Playero	A	SIL	gob							Playero	I	L	SIL
goc	Gorakor	A	SIL	goc							Gorakor	I	L	SIL
god	Godié	A	SIL	god							Godié	I	L	SIL
goe	Gongduk	A	SIL	goe							Gongduk	I	L	SIL
gof	Gofa	A	SIL	gof							Gofa	I	L	
gog	Gogo	A	SIL	gog							Gogo	I	L	SIL
goh	Old High German (ca. 750-1050)	A	JAC	goh	goh						Old High German (ca. 750-1050)	I	H	LL
goi	Gobasi	A	SIL	goi							Gobasi	I	L	SIL
goj	Gowlan	A	SIL	goj							Gowlan	I	L	SIL
gok	Gowli	A	SIL	gok							Gowli	I	L	SIL
gol	Gola	A	SIL	gol							Gola	I	L	SIL
gon	Gondi	A	SIL	ggo							Southern Gondi	I	L	SIL
gon	Gondi	A	SIL	gno							Northern Gondi	I	L	SIL
gon	Gondi	A	JAC	gon	gon						Gondi	M	L	
goo	Gone Dau	A	SIL	goo							Gone Dau	I	L	SIL
gop	Yeretuar	A	SIL	gop							Yeretuar	I	L	SIL
goq	Gorap	A	SIL	goq							Gorap	I	L	SIL
gor	Gorontalo	A	JAC	gor	gor						Gorontalo	I	L	SIL
gos	Gronings	A	SIL	gos							Gronings	I	L	SIL
got	Gothic	A	JAC	got	got						Gothic	I	A	LL
gou	Gavar	A	SIL	gou							Gavar	I	L	SIL
gow	Gorowa	A	SIL	gow							Gorowa	I	L	SIL
gox	Gobu	A	SIL	gox							Gobu	I	L	SIL
goy	Goundo	A	SIL	goy							Goundo	I	L	SIL
goz	Gozarkhani	A	SIL	goz							Gozarkhani	I	L	SIL
gpa	Gupa-Abawa	A	SIL	gpa							Gupa-Abawa	I	L	SIL
gpe	Ghanaian Pidgin English	A	SIL	gpe							Ghanaian Pidgin English	I	L	
gpn	Taiap	A	SIL	gpn							Taiap	I	L	SIL
gqa	Ga'anda	A	SIL	gqa							Ga'anda	I	L	SIL
gqi	Guiqiong	A	SIL	gqi							Guiqiong	I	L	SIL
gqn	Guana (Brazil)	A	SIL	gqn							Guana (Brazil)	I	E	SIL
gqr	Gor	A	SIL	gqr							Gor	I	L	SIL
gqu	Qau	A	SIL	gqu							Qau	I	L	
gra	Rajput Garasia	A	SIL	gra							Rajput Garasia	I	L	SIL
grb	Grebo	A	SIL	gbo							Northern Grebo	I	L	SIL
grb	Grebo	A	SIL	gec							Gboloo Grebo	I	L	SIL
grb	Grebo	A	JAC	grb	grb						Grebo	M	L	
grb	Grebo	A	SIL	grj							Southern Grebo	I	L	SIL
grb	Grebo	A	SIL	grv							Central Grebo	I	L	SIL
grb	Grebo	A	SIL	gry							Barclayville Grebo	I	L	SIL
grc	Ancient Greek (to 1453)	A	JAC	grc	grc						Ancient Greek (to 1453)	I	H	
grd	Guruntum-Mbaaru	A	SIL	grd							Guruntum-Mbaaru	I	L	SIL
grg	Madi	A	SIL	grg							Madi	I	L	SIL
grh	Gbiri-Niragu	A	SIL	grh							Gbiri-Niragu	I	L	SIL
gri	Ghari	A	SIL	gri							Ghari	I	L	SIL
grm	Kota Marudu Talantang	A	SIL	grm							Kota Marudu Talantang	I	L	SIL
grn	Guarani	A	SIL	gnw							Western Bolivian Guaraní	I	L	SIL
grn	Guarani	A	JAC	grn	grn		gn	gn			Guarani	M	L	
grn	Guarani	A	SIL	gug							Paraguayan Guaraní	I	L	SIL
grn	Guarani	A	SIL	gui							Eastern Bolivian Guaraní	I	L	SIL
grn	Guarani	A	SIL	gun							Mbyá Guaraní	I	L	SIL
grn	Guarani	A	SIL	nhd							Chiripá	I	L	SIL
gro	Groma	A	SIL	gro							Groma	I	L	SIL
grq	Gorovu	A	SIL	grq							Gorovu	I	L	SIL
grr	Taznatit	A	SIL	grr							Taznatit	I	L	SIL
grs	Gresi	A	SIL	grs							Gresi	I	L	SIL
grt	Garo	A	SIL	grt							Garo	I	L	SIL
gru	Kistane	A	SIL	gru							Kistane	I	L	SIL
grw	Gweda	A	SIL	grw							Gweda	I	L	SIL
grx	Guriaso	A	SIL	grx							Guriaso	I	L	SIL
grz	Guramalum	A	SIL	grz							Guramalum	I	L	SIL
gsc	Gascon	R	SIL	gsc							Gascon	I	L	
gse	Ghanaian Sign Language	A	SIL	gse							Ghanaian Sign Language	I	L	SIL
gsg	German Sign Language	A	SIL	gsg							German Sign Language	I	L	SIL
gsl	Gusilay	A	SIL	gsl							Gusilay	I	L	SIL
gsm	Guatemalan Sign Language	A	SIL	gsm							Guatemalan Sign Language	I	L	SIL
gsn	Gusan	A	SIL	gsn							Gusan	I	L	SIL
gsp	Wasembo	A	SIL	gsp							Wasembo	I	L	SIL
gss	Greek Sign Language	A	SIL	gss							Greek Sign Language	I	L	SIL
gsw	Swiss German	A	JAC	gsw	gsw						Swiss German	I	L	SIL
gta	Guató	A	SIL	gta							Guató	I	L	SIL
gti	Gbati-ri	A	SIL	gti							Gbati-ri	I	L	SIL
gua	Shiki	A	SIL	gua							Shiki	I	L	SIL
gub	Guajajára	A	SIL	gub							Guajajára	I	L	SIL
guc	Wayuu	A	SIL	guc							Wayuu	I	L	SIL
gud	Yocoboué Dida	A	SIL	gud							Yocoboué Dida	I	L	SIL
gue	Gurinji	A	SIL	gue							Gurinji	I	L	SIL
guf	Gupapuyngu	A	SIL	guf							Gupapuyngu	I	L	SIL
guh	Guahibo	A	SIL	guh							Guahibo	I	L	SIL
guj	Gujarati	A	JAC	guj	guj		gu	gu			Gujarati	I	L	SIL
guk	Gumuz	A	SIL	guk							Gumuz	I	L	SIL
gul	Sea Island Creole English	A	SIL	gul							Sea Island Creole English	I	L	SIL
gum	Guambiano	A	SIL	gum							Guambiano	I	L	SIL
guo	Guayabero	A	SIL	guo							Guayabero	I	L	SIL
gup	Gunwinggu	A	SIL	gup							Gunwinggu	I	L	SIL
guq	Aché	A	SIL	guq							Aché	I	L	SIL
gur	Farefare	A	SIL	gur							Farefare	I	L	SIL
gus	Guinean Sign Language	A	SIL	gus							Guinean Sign Language	I	L	SIL
gut	Maléku Jaíka	A	SIL	gut							Maléku Jaíka	I	L	SIL
guu	Yanomamö	A	SIL	guu							Yanomamö	I	L	SIL
guv	Gey	A	SIL	guv							Gey	I	E	SIL
guw	Gun	A	SIL	guw							Gun	I	L	SIL
gux	Gourmanchéma	A	SIL	gux							Gourmanchéma	I	L	SIL
guz	Gusii	A	SIL	guz							Gusii	I	L	SIL
gva	Guana (Paraguay)	A	SIL	gva							Guana (Paraguay)	I	L	SIL
gvc	Guanano	A	SIL	gvc							Guanano	I	L	SIL
gve	Duwet	A	SIL	gve							Duwet	I	L	SIL
gvf	Golin	A	SIL	gvf							Golin	I	L	SIL
gvj	Guajá	A	SIL	gvj							Guajá	I	L	SIL
gvl	Gulay	A	SIL	gvl							Gulay	I	L	SIL
gvm	Gurmana	A	SIL	gvm							Gurmana	I	L	SIL
gvn	Kuku-Yalanji	A	SIL	gvn							Kuku-Yalanji	I	L	SIL
gvo	Gavião Do Jiparaná	A	SIL	gvo							Gavião Do Jiparaná	I	L	SIL
gvp	Pará Gavião	A	SIL	gvp							Pará Gavião	I	L	SIL
gvr	Western Gurung	A	SIL	gvr							Western Gurung	I	L	SIL
gvs	Gumawana	A	SIL	gvs							Gumawana	I	L	SIL
gvy	Guyani	A	SIL	gvy							Guyani	I	E	SIL
gwa	Mbato	A	SIL	gwa							Mbato	I	L	SIL
gwb	Gwa	A	SIL	gwb							Gwa	I	L	SIL
gwc	Kalami	A	SIL	gwc							Kalami	I	L	SIL
gwd	Gawwada	A	SIL	gwd							Gawwada	I	L	SIL
gwe	Gweno	A	SIL	gwe							Gweno	I	L	SIL
gwf	Gowro	A	SIL	gwf							Gowro	I	L	SIL
gwg	Moo	A	SIL	gwg							Moo	I	L	SIL
gwi	Gwichʼin	A	JAC	gwi	gwi						Gwichʼin	I	L	SIL
gwj	/Gwi	A	SIL	gwj							/Gwi	I	L	SIL
gwm	Awngthim	A	LL	gwm							Awngthim	I	E	
gwn	Gwandara	A	SIL	gwn							Gwandara	I	L	SIL
gwr	Gwere	A	SIL	gwr							Gwere	I	L	SIL
gwt	Gawar-Bati	A	SIL	gwt							Gawar-Bati	I	L	SIL
gwu	Guwamu	A	SIL	gwu							Guwamu	I	E	SIL
gww	Kwini	A	SIL	gww							Kwini	I	L	SIL
gwx	Gua	A	SIL	gwx							Gua	I	L	SIL
gxx	Wè Southern	A	SIL	gxx							Wè Southern	I	L	SIL
gyb	Garus	A	SIL	gyb							Garus	I	L	SIL
gyd	Kayardild	A	SIL	gyd							Kayardild	I	L	SIL
gye	Gyem	A	SIL	gye							Gyem	I	L	SIL
gyf	Gungabula	A	SIL	gyf							Gungabula	I	E	SIL
gyg	Gbayi	A	SIL	gyg							Gbayi	I	L	SIL
gyi	Gyele	A	SIL	gyi							Gyele	I	L	SIL
gyl	Gayil	A	SIL	gyl							Gayil	I	L	SIL
gym	Ngäbere	A	SIL	gym							Ngäbere	I	L	SIL
gyn	Guyanese Creole English	A	SIL	gyn							Guyanese Creole English	I	L	SIL
gyr	Guarayu	A	SIL	gyr							Guarayu	I	L	SIL
gyy	Gunya	A	SIL	gyy							Gunya	I	E	SIL
gza	Ganza	A	SIL	gza							Ganza	I	L	SIL
gzi	Gazi	A	SIL	gzi							Gazi	I	L	SIL
gzn	Gane	A	SIL	gzn							Gane	I	L	SIL
haa	Han	A	SIL	haa							Han	I	L	SIL
hab	Hanoi Sign Language	A	SIL	hab							Hanoi Sign Language	I	L	SIL
hac	Gurani	A	SIL	hac							Gurani	I	L	SIL
had	Hatam	A	SIL	had							Hatam	I	L	SIL
haf	Haiphong Sign Language	A	SIL	haf							Haiphong Sign Language	I	L	SIL
hag	Hanga	A	SIL	hag							Hanga	I	L	SIL
hah	Hahon	A	SIL	hah							Hahon	I	L	SIL
hai	Haida	A	JAC	hai	hai						Haida	M	L	
hai	Haida	A	SIL	hax							Southern Haida	I	L	SIL
hai	Haida	A	SIL	hdn							Northern Haida	I	L	SIL
haj	Hajong	A	SIL	haj							Hajong	I	L	SIL
hal	Halang	A	SIL	hal							Halang	I	L	SIL
ham	Hewa	A	SIL	ham							Hewa	I	L	SIL
han	Hangaza	A	SIL	han							Hangaza	I	L	SIL
hao	Hakö	A	SIL	hao							Hakö	I	L	SIL
hap	Hupla	A	SIL	hap							Hupla	I	L	SIL
haq	Ha	A	SIL	haq							Ha	I	L	SIL
har	Harari	A	SIL	har							Harari	I	L	SIL
has	Haisla	A	SIL	has							Haisla	I	L	SIL
hat	Haitian	A	JAC	hat	hat		ht	ht			Haitian	I	L	SIL
hau	Hausa	A	JAC	hau	hau		ha	ha			Hausa	I	L	SIL
hav	Havu	A	SIL	hav							Havu	I	L	SIL
haw	Hawaiian	A	JAC	haw	haw						Hawaiian	I	L	SIL
hay	Haya	A	SIL	hay							Haya	I	L	SIL
haz	Hazaragi	A	SIL	haz							Hazaragi	I	L	SIL
hba	Hamba	A	SIL	hba							Hamba	I	L	SIL
hbb	Huba	A	SIL	hbb							Huba	I	L	SIL
hbn	Heiban	A	SIL	hbn							Heiban	I	L	SIL
hbo	Ancient Hebrew	A	SIL	hbo							Ancient Hebrew	I	H	
hbs	Serbo-Croatian	A	JAC	bos	bos		bs	bs			Bosnian	I	L	SIL
hbs	Serbo-Croatian	A	REG	hbs			sh	sh			Serbo-Croatian	M	L	
hbs	Serbo-Croatian	A	JAC	hrv	hrv		hr	hr			Croatian	I	L	SIL
hbs	Serbo-Croatian	A	JAC	srp	srp		sr	sr			Serbian	I	L	SIL
hbu	Habu	A	SIL	hbu							Habu	I	L	SIL
hca	Andaman Creole Hindi	A	SIL	hca							Andaman Creole Hindi	I	L	SIL
hch	Huichol	A	SIL	hch							Huichol	I	L	SIL
hds	Honduras Sign Language	A	SIL	hds							Honduras Sign Language	I	L	SIL
hdy	Hadiyya	A	SIL	hdy							Hadiyya	I	L	SIL
heb	Hebrew	A	JAC	heb	heb		he	he			Hebrew	I	L	SIL
hed	Herdé	A	SIL	hed							Herdé	I	L	SIL
heg	Helong	A	SIL	heg							Helong	I	L	SIL
heh	Hehe	A	SIL	heh							Hehe	I	L	SIL
hei	Heiltsuk	A	SIL	hei							Heiltsuk	I	L	SIL
hem	Hemba	A	SIL	hem							Hemba	I	L	SIL
her	Herero	A	JAC	her	her		hz				Herero	I	L	SIL
hgm	Hai//om	A	SIL	hgm							Hai//om	I	L	SIL
hgw	Haigwai	A	SIL	hgw							Haigwai	I	L	SIL
hhi	Hoia Hoia	A	SIL	hhi							Hoia Hoia	I	L	SIL
hhr	Kerak	A	SIL	hhr							Kerak	I	L	SIL
hhy	Hoyahoya	A	SIL	hhy							Hoyahoya	I	L	SIL
hia	Lamang	A	SIL	hia							Lamang	I	L	SIL
hib	Hibito	A	SIL	hib							Hibito	I	E	SIL
hid	Hidatsa	A	SIL	hid							Hidatsa	I	L	SIL
hif	Fiji Hindi	A	SIL	hif							Fiji Hindi	I	L	SIL
hig	Kamwe	A	SIL	hig							Kamwe	I	L	SIL
hih	Pamosu	A	SIL	hih							Pamosu	I	L	SIL
hii	Hinduri	A	SIL	hii							Hinduri	I	L	SIL
hij	Hijuk	A	SIL	hij							Hijuk	I	L	SIL
hik	Seit-Kaitetu	A	SIL	hik							Seit-Kaitetu	I	L	SIL
hil	Hiligaynon	A	JAC	hil	hil						Hiligaynon	I	L	SIL
hin	Hindi	A	JAC	hin	hin		hi	hi			Hindi	I	L	SIL
hio	Tsoa	A	SIL	hio							Tsoa	I	L	SIL
hir	Himarimã	A	SIL	hir							Himarimã	I	L	SIL
hit	Hittite	A	JAC	hit	hit						Hittite	I	A	
hiw	Hiw	A	SIL	hiw							Hiw	I	L	SIL
hix	Hixkaryána	A	SIL	hix							Hixkaryána	I	L	SIL
hka	Kahe	A	SIL	hka							Kahe	I	L	SIL
hke	Hunde	A	SIL	hke							Hunde	I	L	SIL
hkk	Hunjara-Kaina Ke	A	SIL	hkk							Hunjara-Kaina Ke	I	L	SIL
hks	Hong Kong Sign Language	A	SIL	hks							Hong Kong Sign Language	I	L	SIL
hla	Halia	A	SIL	hla							Halia	I	L	SIL
hlb	Halbi	A	SIL	hlb							Halbi	I	L	SIL
hld	Halang Doan	A	SIL	hld							Halang Doan	I	L	SIL
hle	Hlersu	A	SIL	hle							Hlersu	I	L	SIL
hlt	Matu Chin	A	SIL	hlt							Matu Chin	I	L	SIL
hlu	Hieroglyphic Luwian	A	LL	hlu							Hieroglyphic Luwian	I	A	
hmb	Humburi Senni Songhay	A	SIL	hmb							Humburi Senni Songhay	I	L	SIL
hmf	Hmong Don	A	SIL	hmf							Hmong Don	I	L	SIL
hmk	Maek	A	LL	hmk							Maek	I	E	
hmn	Hmong	R	SIL	blu							Hmong Njua	I	L	
hmn	Hmong	A	SIL	cqd							Chuanqiandian Cluster Miao	I	L	SIL
hmn	Hmong	A	SIL	hea							Northern Qiandong Miao	I	L	SIL
hmn	Hmong	A	SIL	hma							Southern Mashan Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmc							Central Huishui Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmd							Large Flowery Miao	I	L	SIL
hmn	Hmong	A	SIL	hme							Eastern Huishui Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmg							Southwestern Guiyang Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmh							Southwestern Huishui Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmi							Northern Huishui Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmj							Ge	I	L	SIL
hmn	Hmong	A	SIL	hml							Luopohe Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmm							Central Mashan Hmong	I	L	SIL
hmn	Hmong	A	JAC	hmn	hmn						Hmong	M	L	
hmn	Hmong	A	SIL	hmp							Northern Mashan Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmq							Eastern Qiandong Miao	I	L	SIL
hmn	Hmong	A	SIL	hms							Southern Qiandong Miao	I	L	SIL
hmn	Hmong	A	SIL	hmw							Western Mashan Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmy							Southern Guiyang Hmong	I	L	SIL
hmn	Hmong	A	SIL	hmz							Hmong Shua	I	L	SIL
hmn	Hmong	A	SIL	hnj							Hmong Njua	I	L	SIL
hmn	Hmong	A	SIL	hrm							Horned Miao	I	L	
hmn	Hmong	A	SIL	huj							Northern Guiyang Hmong	I	L	SIL
hmn	Hmong	A	SIL	mmr							Western Xiangxi Miao	I	L	SIL
hmn	Hmong	A	SIL	muq							Eastern Xiangxi Miao	I	L	SIL
hmn	Hmong	A	SIL	mww							Hmong Daw	I	L	SIL
hmn	Hmong	A	SIL	sfm							Small Flowery Miao	I	L	SIL
hmo	Hiri Motu	A	JAC	hmo	hmo		ho			ho	Hiri Motu	I	L	SIL
hmr	Hmar	A	SIL	hmr							Hmar	I	L	SIL
hmt	Hamtai	A	SIL	hmt							Hamtai	I	L	SIL
hmu	Hamap	A	SIL	hmu							Hamap	I	L	SIL
hmv	Hmong Dô	A	SIL	hmv							Hmong Dô	I	L	SIL
hna	Mina (Cameroon)	A	SIL	hna							Mina (Cameroon)	I	L	SIL
hne	Chhattisgarhi	A	SIL	hne							Chhattisgarhi	I	L	SIL
hnh	//Ani	A	SIL	hnh							//Ani	I	L	SIL
hni	Hani	A	SIL	hni							Hani	I	L	SIL
hnn	Hanunoo	A	SIL	hnn							Hanunoo	I	L	SIL
hns	Caribbean Hindustani	A	SIL	hns							Caribbean Hindustani	I	L	SIL
hnu	Hung	A	SIL	hnu							Hung	I	L	SIL
hoa	Hoava	A	SIL	hoa							Hoava	I	L	SIL
hob	Mari (Madang Province)	A	SIL	hob							Mari (Madang Province)	I	L	SIL
hoc	Ho	A	SIL	hoc							Ho	I	L	SIL
hod	Holma	A	SIL	hod							Holma	I	E	SIL
hoe	Horom	A	SIL	hoe							Horom	I	L	SIL
hoh	Hobyót	A	SIL	hoh							Hobyót	I	L	SIL
hoi	Holikachuk	A	SIL	hoi							Holikachuk	I	L	SIL
hol	Holu	A	SIL	hol							Holu	I	L	SIL
hom	Homa	A	SIL	hom							Homa	I	E	SIL
hoo	Holoholo	A	SIL	hoo							Holoholo	I	L	SIL
hop	Hopi	A	SIL	hop							Hopi	I	L	SIL
hor	Horo	A	SIL	hor							Horo	I	E	SIL
hos	Ho Chi Minh City Sign Language	A	SIL	hos							Ho Chi Minh City Sign Language	I	L	SIL
hot	Hote	A	SIL	hot							Hote	I	L	SIL
hov	Hovongan	A	SIL	hov							Hovongan	I	L	SIL
how	Honi	A	SIL	how							Honi	I	L	SIL
hoy	Holiya	A	SIL	hoy							Holiya	I	L	SIL
hoz	Hozo	A	SIL	hoz							Hozo	I	L	SIL
hpo	Hpon	A	SIL	hpo							Hpon	I	L	SIL
hps	Hawai'i Pidgin Sign Language	A	SIL	hps							Hawai'i Pidgin Sign Language	I	L	SIL
hra	Hrangkhol	A	SIL	hra							Hrangkhol	I	L	SIL
hre	Hre	A	SIL	hre							Hre	I	L	SIL
hrk	Haruku	A	SIL	hrk							Haruku	I	L	SIL
hro	Haroi	A	SIL	hro							Haroi	I	L	SIL
hrr	Horuru	R	SIL	hrr							Horuru	I	L	
hrt	Hértevin	A	SIL	hrt							Hértevin	I	L	SIL
hru	Hruso	A	SIL	hru							Hruso	I	L	SIL
hrx	Hunsrik	A	SIL	hrx							Hunsrik	I	L	
hrz	Harzani	A	SIL	hrz							Harzani	I	L	SIL
hsb	Upper Sorbian	A	JAC	hsb	hsb						Upper Sorbian	I	L	SIL
hsf	Southeastern Huastec	R	SIL	hsf							Southeastern Huastec	I	L	
hsh	Hungarian Sign Language	A	SIL	hsh							Hungarian Sign Language	I	L	SIL
hsl	Hausa Sign Language	A	SIL	hsl							Hausa Sign Language	I	L	SIL
hss	Harsusi	A	SIL	hss							Harsusi	I	L	SIL
hti	Hoti	A	SIL	hti							Hoti	I	L	SIL
hto	Minica Huitoto	A	SIL	hto							Minica Huitoto	I	L	SIL
hts	Hadza	A	SIL	hts							Hadza	I	L	SIL
htu	Hitu	A	SIL	htu							Hitu	I	L	SIL
htx	Middle Hittite	A	LL	htx							Middle Hittite	I	A	
hub	Huambisa	A	SIL	hub							Huambisa	I	L	SIL
huc	=/Hua	A	SIL	huc							=/Hua	I	L	SIL
hud	Huaulu	A	SIL	hud							Huaulu	I	L	SIL
hue	San Francisco Del Mar Huave	A	SIL	hue							San Francisco Del Mar Huave	I	L	SIL
huf	Humene	A	SIL	huf							Humene	I	L	SIL
hug	Huachipaeri	A	SIL	hug							Huachipaeri	I	L	SIL
huh	Huilliche	A	SIL	huh							Huilliche	I	L	SIL
hui	Huli	A	SIL	hui							Huli	I	L	SIL
huk	Hulung	A	SIL	huk							Hulung	I	L	SIL
hul	Hula	A	SIL	hul							Hula	I	L	SIL
hum	Hungana	A	SIL	hum							Hungana	I	L	SIL
hun	Hungarian	A	JAC	hun	hun		hu	hu			Hungarian	I	L	SIL
huo	Hu	A	SIL	huo							Hu	I	L	SIL
hup	Hupa	A	JAC	hup	hup						Hupa	I	L	SIL
huq	Tsat	A	SIL	huq							Tsat	I	L	SIL
hur	Halkomelem	A	SIL	hur							Halkomelem	I	L	SIL
