Final_Code	Final_Name	Status	Partner_Agency	639_3	639_2	639_2_B	639_1	Common_Twitter_Wiki_Code	Twitter_CLD_Only_Code	Wiki_Only_Code	Reference_Name	Element_Scope	Language_Type	Documentation
bni	Bangi	A	SIL	bni							Bangi	I	L	SIL
bnj	Eastern Tawbuid	A	SIL	bnj							Eastern Tawbuid	I	L	SIL
bnk	Bierebo	A	SIL	bnk							Bierebo	I	L	SIL
bnl	Boon	A	SIL	bnl							Boon	I	L	SIL
bnm	Batanga	A	SIL	bnm							Batanga	I	L	SIL
bnn	Bunun	A	SIL	bnn							Bunun	I	L	SIL
bno	Bantoanon	A	SIL	bno							Bantoanon	I	L	SIL
bnp	Bola	A	SIL	bnp							Bola	I	L	SIL
bnq	Bantik	A	SIL	bnq							Bantik	I	L	SIL
bnr	Butmas-Tur	A	SIL	bnr							Butmas-Tur	I	L	SIL
bns	Bundeli	A	SIL	bns							Bundeli	I	L	SIL
bnu	Bentong	A	SIL	bnu							Bentong	I	L	SIL
bnv	Bonerif	A	SIL	bnv							Bonerif	I	L	SIL
bnw	Bisis	A	SIL	bnw							Bisis	I	L	SIL
bnx	Bangubangu	A	SIL	bnx							Bangubangu	I	L	SIL
bny	Bintulu	A	SIL	bny							Bintulu	I	L	SIL
bnz	Beezen	A	SIL	bnz							Beezen	I	L	SIL
boa	Bora	A	SIL	boa							Bora	I	L	SIL
bob	Aweer	A	SIL	bob							Aweer	I	L	SIL
boc	Bakung Kenyah	R	SIL	boc							Bakung Kenyah	I	L	
bod	Tibetan	A	JAC	bod	bod	tib	bo	bo			Tibetan	I	L	SIL
boe	Mundabli	A	SIL	boe							Mundabli	I	L	SIL
bof	Bolon	A	SIL	bof							Bolon	I	L	SIL
bog	Bamako Sign Language	A	SIL	bog							Bamako Sign Language	I	L	SIL
boh	Boma	A	SIL	boh							Boma	I	L	SIL
boi	Barbareño	A	SIL	boi							Barbareño	I	E	SIL
boj	Anjam	A	SIL	boj							Anjam	I	L	SIL
bok	Bonjo	A	SIL	bok							Bonjo	I	L	SIL
bol	Bole	A	SIL	bol							Bole	I	L	SIL
bom	Berom	A	SIL	bom							Berom	I	L	SIL
bon	Bine	A	SIL	bon							Bine	I	L	SIL
boo	Tiemacèwè Bozo	A	SIL	boo							Tiemacèwè Bozo	I	L	SIL
bop	Bonkiman	A	SIL	bop							Bonkiman	I	L	SIL
boq	Bogaya	A	SIL	boq							Bogaya	I	L	SIL
bor	Borôro	A	SIL	bor							Borôro	I	L	SIL
bot	Bongo	A	SIL	bot							Bongo	I	L	SIL
bou	Bondei	A	SIL	bou							Bondei	I	L	SIL
bov	Tuwuli	A	SIL	bov							Tuwuli	I	L	SIL
bow	Rema	A	SIL	bow							Rema	I	E	SIL
box	Buamu	A	SIL	box							Buamu	I	L	SIL
boy	Bodo (Central African Republic)	A	SIL	boy							Bodo (Central African Republic)	I	L	SIL
boz	Tiéyaxo Bozo	A	SIL	boz							Tiéyaxo Bozo	I	L	SIL
bpa	Dakaka	A	SIL	bpa							Dakaka	I	L	SIL
bpb	Barbacoas	A	SIL	bpb							Barbacoas	I	E	SIL
bpd	Banda-Banda	A	SIL	bpd							Banda-Banda	I	L	SIL
bpg	Bonggo	A	SIL	bpg							Bonggo	I	L	SIL
bph	Botlikh	A	SIL	bph							Botlikh	I	L	SIL
bpi	Bagupi	A	SIL	bpi							Bagupi	I	L	SIL
bpj	Binji	A	SIL	bpj							Binji	I	L	SIL
bpk	Orowe	A	SIL	bpk							Orowe	I	L	SIL
bpl	Broome Pearling Lugger Pidgin	A	SIL	bpl							Broome Pearling Lugger Pidgin	I	L	SIL
bpm	Biyom	A	SIL	bpm							Biyom	I	L	SIL
bpn	Dzao Min	A	SIL	bpn							Dzao Min	I	L	SIL
bpo	Anasi	A	SIL	bpo							Anasi	I	L	SIL
bpp	Kaure	A	SIL	bpp							Kaure	I	L	SIL
bpq	Banda Malay	A	SIL	bpq							Banda Malay	I	L	SIL
bpr	Koronadal Blaan	A	SIL	bpr							Koronadal Blaan	I	L	SIL
bps	Sarangani Blaan	A	SIL	bps							Sarangani Blaan	I	L	SIL
bpt	Barrow Point	A	SIL	bpt							Barrow Point	I	E	SIL
bpu	Bongu	A	SIL	bpu							Bongu	I	L	SIL
bpv	Bian Marind	A	SIL	bpv							Bian Marind	I	L	SIL
bpw	Bo (Papua New Guinea)	A	SIL	bpw							Bo (Papua New Guinea)	I	L	SIL
bpx	Palya Bareli	A	SIL	bpx							Palya Bareli	I	L	SIL
bpy	Bishnupriya	A	SIL	bpy							Bishnupriya	I	L	SIL
bpz	Bilba	A	SIL	bpz							Bilba	I	L	SIL
bqa	Tchumbuli	A	SIL	bqa							Tchumbuli	I	L	SIL
bqb	Bagusa	A	SIL	bqb							Bagusa	I	L	SIL
bqc	Boko (Benin)	A	SIL	bqc							Boko (Benin)	I	L	SIL
bqd	Bung	A	SIL	bqd							Bung	I	L	SIL
bqe	Navarro-Labourdin Basque	R	SIL	bqe							Navarro-Labourdin Basque	I	L	
bqf	Baga Kaloum	A	SIL	bqf							Baga Kaloum	I	E	SIL
bqg	Bago-Kusuntu	A	SIL	bqg							Bago-Kusuntu	I	L	SIL
bqh	Baima	A	SIL	bqh							Baima	I	L	SIL
bqi	Bakhtiari	A	SIL	bqi							Bakhtiari	I	L	SIL
bqj	Bandial	A	SIL	bqj							Bandial	I	L	SIL
bqk	Banda-Mbrès	A	SIL	bqk							Banda-Mbrès	I	L	SIL
bql	Bilakura	A	SIL	bql							Bilakura	I	L	SIL
bqm	Wumboko	A	SIL	bqm							Wumboko	I	L	SIL
bqn	Bulgarian Sign Language	A	SIL	bqn							Bulgarian Sign Language	I	L	SIL
bqo	Balo	A	SIL	bqo							Balo	I	L	SIL
bqp	Busa	A	SIL	bqp							Busa	I	L	SIL
bqq	Biritai	A	SIL	bqq							Biritai	I	L	SIL
bqr	Burusu	A	SIL	bqr							Burusu	I	L	SIL
bqs	Bosngun	A	SIL	bqs							Bosngun	I	L	SIL
bqt	Bamukumbit	A	SIL	bqt							Bamukumbit	I	L	SIL
