	Pop+GDPpc	Twit.EV	Wiki.EV	Book.EV	Pop+GDPpc+Twit.EV	Pop+GDPpc+Wiki.EV	Pop+GDPpc+Book.EV
(Intercept)	-4.450***	2.240***	2.626***	2.651***	-3.746***	1.415	-0.064
	(0.529)	(0.158)	(0.112)	(0.132)	(0.872)	(1.315)	(1.018)
pop	0.669***				0.615***	0.254*	0.397***
	(0.060)				(0.080)	(0.102)	(0.077)
gdp.pc	1.156***				1.041***	0.138	0.400*
	(0.120)				(0.166)	(0.238)	(0.188)
twit.eig		0.362***			0.055		
		(0.051)			(0.054)		
wiki.eig			0.731***			0.583***	
			(0.054)			(0.123)	
book.eig				0.588***			0.376***
				(0.050)			(0.078)
sigma	0.358	0.507	0.338	0.378	0.358	0.306	0.305
R-squared	0.734	0.457	0.759	0.698	0.739	0.810	0.811
adj. R-squared	0.725	0.447	0.755	0.693	0.725	0.800	0.801
F	80.102	49.588	185.563	136.233	53.774	80.785	81.416
p	0.000	0.000	0.000	0.000	0.000	0.000	0.000
N	61	61	61	61	61	61	61
