Lang_Code	Lang_Name	Num_Speakers_M
vep	Veps	0.01
vie	Vietnamese	76.5
vls	Vlaams	1.16
vol	Volapük	0.0
war	Waray (Philippines)	2.6
wln	Walloon	0.6
wol	Wolof	4.0
xal	Kalmyk	0.17
xho	Xhosa	7.8
xmf	Mingrelian	0.5
yid	Yiddish	1.8
yor	Yoruba	19.4
zea	Zeeuws	0.22
zha	Zhuang	13.9
zho	Chinese	1397.2
zul	Zulu	10.3
zza	Zaza	2.0
