Num	Country	People (all years)	People (1800-1950 only)
1	Afghanistan	19	9
2	Albania	14	7
3	Algeria	17	11
4	Andorra	1	
5	Angola	5	4
6	Argentina	92	30
7	Armenia	11	4
8	Aruba	1	1
9	Australia	93	28
10	Austria	134	86
11	Azerbaijan	13	5
12	Bahrain	1	1
13	Bangladesh	7	6
14	Barbados	1	
15	Belarus	19	9
16	Belgium	98	40
17	Benin	2	
18	Bermuda	1	
19	Bhutan	2	1
20	Bolivia	3	1
21	Bosnia and Herzegovina	25	8
22	Botswana	4	3
23	Brazil	121	49
24	Brunei	1	1
25	Bulgaria	26	8
26	Burkina Faso	1	1
27	Burma	7	7
28	Burundi	1	
29	Cambodia	5	2
30	Cameroon	10	2
31	Canada	108	47
32	Cape Verde	4	1
33	Central African Republic	1	1
34	Chad	2	
35	Chile	26	14
36	China	90	36
37	Colombia	14	3
38	"Congo, Democratic Republic of the"	7	3
39	"Congo, Republic of the"	2	1
40	Costa Rica	2	1
41	Cote d'Ivoire	15	3
42	Croatia	53	10
43	Cuba	12	9
44	Cyprus	9	5
45	Czech Republic	95	48
46	Denmark	91	38
47	Djibouti	1	
48	Dominican Republic	2	1
49	Ecuador	4	1
50	Egypt	53	23
51	El Salvador	2	
52	Equatorial Guinea	1	1
53	Eritrea	1	1
54	Estonia	15	9
55	Ethiopia	8	4
56	Faroe Islands	1	1
57	Finland	61	34
58	France	809	387
59	French Guiana	1	
60	Gabon	3	3
61	"Gambia, The"	1	
62	Georgia	19	10
63	Germany	692	395
64	Ghana	17	4
65	Gibraltar	1	
66	Greece	126	33
67	Greenland	1	
68	Guadeloupe	4	1
69	Guam	1	1
70	Guatemala	5	2
71	Guinea	5	3
72	Guinea-Bissau	3	3
73	Guyana	1	
74	Haiti	7	2
75	Honduras	4	1
76	Hong Kong	5	
77	Hungary	73	56
78	Iceland	11	6
79	India	130	67
80	Indonesia	8	7
81	Iran	57	20
82	Iraq	20	8
83	Ireland	69	27
84	Isle of Man	4	3
85	Israel	52	20
86	Italy	757	190
87	Jamaica	10	3
88	Japan	133	73
89	Jersey	1	
90	Jordan	6	3
91	Kazakhstan	10	6
92	Kenya	9	7
93	"Korea, North"	5	3
94	"Korea, South"	31	12
95	Kosovo	5	
96	Kuwait	2	2
97	Kyrgyzstan	5	4
98	Laos	1	1
99	Latvia	17	10
100	Lebanon	13	6
101	Lesotho	1	
102	Liberia	5	2
103	Libya	9	2
104	Lithuania	27	18
105	Luxembourg	8	4
106	Macedonia	12	3
107	Madagascar	2	1
108	Malawi	4	4
109	Malaysia	6	4
110	Maldives	3	1
111	Mali	8	4
112	Malta	3	2
113	Martinique	2	2
114	Mauritania	1	
115	Mauritius	1	1
116	Mexico	51	22
117	Moldova	3	1
118	Monaco	4	1
119	Mongolia	8	1
120	Montenegro	9	2
121	Morocco	14	7
122	Mozambique	6	3
123	Namibia	2	2
124	Nauru	1	
125	Nepal	3	2
126	Netherlands	158	54
127	New Caledonia	1	
128	New Zealand	16	9
129	Nicaragua	5	5
130	Niger	1	1
131	Nigeria	23	6
132	Norway	59	33
133	Oman	2	1
134	Pakistan	27	13
135	Palestinian State	8	1
136	Panama	4	3
137	Paraguay	10	2
138	Peru	18	13
139	Philippines	19	16
140	Poland	141	101
141	Portugal	78	16
142	Puerto Rico	6	
143	Qatar	1	
144	Romania	41	24
145	Russia	354	232
146	Rwanda	1	1
147	Saint Kitts and Nevis	1	
148	Saint Lucia	2	2
149	Samoa	1	1
150	Saudi Arabia	28	8
151	Senegal	10	2
152	Serbia	53	11
153	Seychelles	1	1
154	Sierra Leone	1	
155	Singapore	7	4
156	Slovakia	20	6
157	Slovenia	15	3
158	Solomon Islands	1	
159	Somalia	8	3
160	South Africa	42	21
161	South Sudan	1	1
162	Spain	280	71
163	Sri Lanka	6	5
164	Sudan	4	4
165	Suriname	5	2
166	Swaziland	1	
167	Sweden	124	54
168	Switzerland	99	53
169	Syria	16	2
170	Taiwan	10	4
171	Tajikistan	1	
172	Tanzania	3	3
173	Thailand	7	5
174	Timor-Leste	2	2
175	Togo	5	2
176	Tonga	2	1
177	Trinidad and Tobago	5	2
178	Tunisia	13	7
179	Turkey	142	29
180	Turkmenistan	3	1
181	Uganda	5	2
182	Ukraine	95	57
183	United Arab Emirates	5	4
184	United Kingdom	1072	493
185	United States	2284	1218
186	Uruguay	23	7
187	Uzbekistan	9	1
188	Vanuatu	1	1
189	Venezuela	11	3
190	Vietnam	9	8
191	Virgin Islands	2	1
192	Yemen	4	2
193	Zambia	3	3
194	Zimbabwe	6	3
