Num	Language	Code	People (all years)	People (1800-1950 only)
1	Afrikaans	afr	6.81	4
2	Albanian	sqi	23.08	8.2
3	Arabic	ara	220.21	91.38
4	Armenian	hye	12.27	4.68
5	Azerbaijani	aze	23.14	8.71
6	Basque	eus	5.6	1.42
7	Belarusian	bel	4.45	2.11
8	Bengali	ben	17.39	11.31
9	Bulgarian	bul	20.02	6.16
10	Catalan	cat	48	12.07
11	Chinese	zho	111.53	43.24
12	Czech	ces	90.63	45.79
13	Danish	dan	92	38
14	Dutch	nld	219.86	79.26
15	English	eng	3220.79	1598.27
16	Estonian	est	10.1	6.06
17	Filipino	fil	19.22	16.22
18	Finnish	fin	55.63	31.01
19	French	fra	943.64	444.71
20	Galician	glg	19.6	4.97
21	Georgian	kat	13.49	7.1
22	German	deu	874.75	505.76
23	Haitian	hat	5.25	1.5
24	Hebrew	heb	41.6	16
25	Hindi	hin	53.48	27.57
26	Hungarian	hun	75.23	55.08
27	Icelandic	isl	11	6
28	Italian	ita	764.92	193.89
29	Japanese	jpn	133	73
30	Kazakh	kaz	6.3	3.78
31	Kirghiz	kir	3.23	2.59
32	Korean	kor	36	15
33	Latvian	lav	9.89	5.82
34	Lithuanian	lit	22.14	14.76
35	Macedonian	mkd	7.98	2
36	Malay	msa	15.99	12.56
37	Malayalam	mal	4.16	2.14
38	Maltese	mlt	2.71	1.8
39	Maori	mri	0.62	0.35
40	Marathi	mar	9.1	4.69
41	Modern Greek	ell	133.3	37.09
42	Mongolian	mon	7.2	0.9
43	Norwegian	nor	59	33
44	Persian	fas	39.71	15.1
45	Polish	pol	139.41	99.79
46	Portuguese	por	209.42	70.65
47	Romanian	ron	39.6	22.61
48	Russian	rus	410.17	263.2
49	Serbo-Croatian	hbs	141.35	33.97
50	Sinhala	sin	4.44	3.7
51	Slovak	slk	18.3	5.8
52	Slovenian	slv	13.66	2.73
53	Spanish	spa	733.79	297.1
54	Swahili	swa	11.6	9.2
55	Swedish	swe	127.36	55.87
56	Tajik	tgk	1.4	0.04
57	Tamil	tam	8.97	4.98
58	Thai	tha	7	5
59	Turkish	tur	128.52	28.41
60	Turkmen	tuk	3.11	1.17
61	Ukrainian	ukr	63.98	38.29
62	Urdu	urd	8.66	4.39
63	Uzbek	uzb	8.78	1.92
64	Vietnamese	vie	9.93	8.28
