	wsrc.name.new	wtgt.name.new	wweight.new	wcommon.num.new
kor_eng	kor	eng	0.00169325153374233	2691
ita_eng	ita	eng	0.00868585810917099	13804
hbs_deu	hbs	deu	0.00345204379724818	774
spa_por	spa	por	0.0385702712979649	2333
pol_fra	pol	fra	0.00975524353093596	1393
fas_eng	fas	eng	0.0017643542551518	2804
jpn_fra	jpn	fra	0.0131167057670086	1873
por_deu	por	deu	0.00805476886024575	1806
zho_fra	zho	fra	0.00592457719107812	846
swe_rus	swe	rus	0.00675007628928898	553
rus_fra	rus	fra	0.013179733183935	1882
por_fra	por	fra	0.0103855177001996	1483
rus_eng	rus	eng	0.00916658801321378	14568
ita_deu	ita	deu	0.0167874584662043	3764
swe_fra	swe	fra	0.00768234181869113	1097
spa_nld	spa	nld	0.0195097016037997	916
jpn_deu	jpn	deu	0.014071315478447	3155
hun_deu	hun	deu	0.0053743059117365	1205
hun_eng	hun	eng	0.00222054428189398	3529
nor_eng	nor	eng	0.00383325467988045	6092
swe_jpn	swe	jpn	0.00595973049962569	613
eng_ara	eng	ara	0.185672034176799	3390
spa_rus	spa	rus	0.0145132743362832	1189
ukr_rus	ukr	rus	0.0371071101617333	3040
eng_ben	eng	ben	0.503960396039604	509
swe_nor	swe	nor	0.0396452561794793	903
heb_deu	heb	deu	0.00254666280132908	571
ita_fra	ita	fra	0.0230260163170979	3288
swe_eng	swe	eng	0.00552587698599969	8782
spa_ita	spa	ita	0.0349406009783368	2550
eng_dan	eng	dan	0.288997555012225	3546
deu_ces	deu	ces	0.0690085357846356	1051
rus_ita	rus	ita	0.0121127416724901	884
por_ita	por	ita	0.0119346131184829	871
tur_fra	tur	fra	0.00410378514653874	586
ron_eng	ron	eng	0.00181343400975303	2882
swe_ita	swe	ita	0.00761842123292364	556
tur_eng	tur	eng	0.00284725499449426	4525
spa_jpn	spa	jpn	0.0124930729070457	1285
jpn_ita	jpn	ita	0.0116468669927789	850
rus_deu	rus	deu	0.0159132975046273	3568
swe_fin	swe	fin	0.0308010186920379	641
deu_dan	deu	dan	0.0814995925020375	1000
spa_eng	spa	eng	0.0181897121283624	28908
msa_eng	msa	eng	0.0020217083529967	3213
ron_deu	ron	deu	0.00238164261980688	534
nld_deu	nld	deu	0.0167339384073322	3752
nor_fra	nor	fra	0.0046010014356245	657
jpn_eng	jpn	eng	0.0067918829636621	10794
fra_ara	fra	ara	0.0434330156643663	793
heb_eng	heb	eng	0.00201667453201196	3205
eng_bul	eng	bul	0.258679273157039	1751
spa_pol	spa	pol	0.0197171115601404	927
eng_cat	eng	cat	0.168860852075334	1847
rus_nld	rus	nld	0.0129922685352815	610
kor_jpn	kor	jpn	0.00734028797262218	755
fra_eng	fra	eng	0.0198993235803052	31625
spa_deu	spa	deu	0.0224427446870192	5032
fin_eng	fin	eng	0.00288437942425673	4584
swe_nld	swe	nld	0.0118421332878959	556
ukr_eng	ukr	eng	0.00113512663205915	1804
