Code	unw.eig	unw.bet	exposure.eig	exposure.bet	common.eig	common.bet	Lang_Name
afr	0.034220195108228	0	0.20683372371391	0	0.00172755118431194	0	Afrikaans
ara	0.321843319844543	12.45	0.155027350787241	305	0.0302931426949928	314	Arabic
aze	0.0587210081334555	0	0.0535423879994729	0	0.000710867531065535	0	Azerbaijani
bak	0.0293605040667277	0	0.0686790101357928	0	0.000202661548157797	0	Bashkir
bel	0.0587210081334555	0	0.0494761909374366	0	0.000851444578693589	0	Belarusian
ben	0.101348580175718	0	0.0992140914267035	0	0.00293259638748286	132	Bengali
bod	0.0463574912629782	0	0.0357966523665301	0	0.001082691734572	23	Tibetan
bul	0.291313211135865	0	0.14078680642162	33	0.0430116523982609	61	Bulgarian
cat	0.277040665022585	0.2	0.109543713843198	0	0.0353211101502109	0	Catalan
ces	0.474386986264057	7.45615079365079	0.148623176599696	4	0.126405138510365	22	Czech
cym	0.0684403902164559	0	0.208050478090683	0	0.00629855823685621	0	Welsh
dan	0.502651584265193	6.95555555555556	0.168092941663583	103	0.131832358083272	98	Danish
deu	0.948573661161243	489.173412698413	0.30342572393004	574	0.661780023564658	570	German
ell	0.274316460540841	0	0.155522871323343	0	0.0561381176170856	0	Modern Greek
eng	1	1324.42341269841	1	854	1	930	English
est	0.293886259592247	0	0.15002365120862	0	0.0393791498039794	14.5	Estonian
eus	0.1604384631333	0	0.082382258027989	0	0.00550729939975584	96	Basque
fas	0.204823747582721	0	0.167622774738913	44	0.0226654850350258	137	Persian
fin	0.414018475113666	4.8702380952381	0.156374038847248	71	0.0849998403141437	149	Finnish
fra	0.908485778147256	488.31626984127	0.312244886831476	440	0.603946106741266	447	French
fro	0.0310885605812494	0	0.00010479777220146	0	0.000520263976505103	0	Old French
glg	0.11849770176385	0	0.0632873442928362	0	0.00313332759147834	250	Galician
gmh	0.0324603757594639	0	7.90758059252848e-05	0	0.00054227548793993	0	Middle High German
grc	0.282279184003563	0	0.00725764960417352	0	0.016291250769329	0	Ancient Greek
hbs	0.447113949111919	20.9454365079365	0.149374797594216	50	0.0856578689010723	125	Serbo-Croatian
heb	0.240628268852556	0	0.183163666865555	56	0.034477674722791	173	Hebrew
hin	0.103672287119184	0	0.0726107718719235	0	0.00324779050833261	14	Hindi
hun	0.480815797918296	8.31964285714286	0.142779824675676	36	0.10394623172435	117	Hungarian
hye	0.0587210081334555	0	0.0554210032583683	0	0.000903329482707728	0	Armenian
isl	0.182405051901755	0	0.138740644403721	0	0.010532341368245	30	Icelandic
ita	0.666951794601442	27.3313492063492	0.171049955222486	114	0.166518112606873	164.5	Italian
jpn	0.48642261078306	22.4535714285714	0.193843469072005	295	0.294078609949342	99	Japanese
kaa	0.0293605040667278	0	0.0573782046648711	0	0.000191575030206057	0	Kara-Kalpak
kat	0.0587210081334555	0	0.0462326141927289	0	0.000878939143213902	0	Georgian
kaz	0.0708583042882058	2.16666666666667	0.0526013960335898	0	0.00106457110678149	19	Kazakh
kir	0.0587210081334555	0	0.0627408684066269	0	0.000722840970453414	0	Kirghiz
kor	0.199138265052469	0	0.180033670460336	0	0.0479972995191074	0	Korean
lat	0.261057064078142	0	0.00837131215236315	0	0.0203477659365588	0	Latin
lav	0.156490139582397	0	0.130438024427573	0	0.0121455310125721	136	Latvian
lit	0.232258362339215	0	0.126382272968028	0	0.0238300391993597	10	Lithuanian
mal	0.034220195108228	0	0.0817419674750453	0	0.0010575414682342	0	Malayalam
mar	0.034220195108228	0	0.0869559891951947	0	0.000821754076861895	0	Marathi
mkd	0.0874303178283097	0	0.0967870920978438	0	0.0041704366797741	0	Macedonian
mol	0.127161398349911	0	0.0777311181205244	0	0.00455865019588958	0	Moldavian
mon	0.041497800221478	0	0.0392844243318596	0	0.000641383601727805	0	Mongolian
mri	0.034220195108228	0	0.210776584667534	0	0.000723703874509053	0	Maori
msa	0.0452337363075881	0	0.153441964425815	0	0.00864516021488423	0	Malay
nld	0.540485899013472	5.79484126984127	0.170580469921101	375	0.238003812975429	310.5	Dutch
nor	0.450551691773208	2.61111111111111	0.165506241218174	873	0.0899073756886602	150.5	Norwegian
oci	0.0310885605812494	0	0.000119282017139869	0	0.000592170379761906	0	Occitan
pol	0.547185866425526	14.439880952381	0.158010387546465	215	0.148865930735378	234	Polish
por	0.351163110701693	0	0.161024666257198	0	0.152331933767982	0	Portuguese
ron	0.335430901597671	0	0.12696026093825	0	0.0351034224654529	0	Romanian
rus	0.857987629055576	1454.82380952381	0.347824517880663	2036	0.189957284248102	1705.5	Russian
san	0.0702282567602266	0	0.00413149030998487	0	0.00337440982235733	0	Sanskrit
sin	0.034220195108228	0	0.0976193193293636	0	0.000705027645489464	0	Sinhala
slk	0.361352292038189	0.476190476190476	0.105179178652946	44	0.0261683442331947	239	Slovak
slv	0.244468049041304	0	0.136505538822853	0	0.0335501703790799	11	Slovenian
spa	0.777157259129471	212.728174603175	0.191641886192087	859	0.444531978386703	691	Spanish
sqi	0.199333625744642	65	0.0907171002046055	65	0.00772002411493942	163	Albanian
swe	0.571497110044563	11.4654761904762	0.188867513515715	11	0.156881633720307	44	Swedish
tam	0.0635806991749557	0	0.101122441106274	0	0.00176740729316417	0	Tamil
tat	0.0587210081334555	0	0.0676537367660887	0	0.000478937575515143	0	Tatar
tgk	0.0293605040667278	0	0.055835392507634	0	0.000348560124402687	0	Tajik
tha	0.034220195108228	0	0.190910820910321	0	0.00252129091764445	0	Thai
tuk	0.0293605040667277	0	0.0589483834549954	0	0.000256763755762287	0	Turkmen
