name	num.exp	trans.to	degree.from	degree.to
mjy	1	0	1	0
dyi	0	4	0	2
itl	3	0	1	0
kbc	1	1	1	1
kbd	119	86	14	9
ita	66453	59830	93	104
nsk	1	0	1	0
uvl	0	1	0	1
moz	1	17	1	4
ttc	1	0	1	0
vmw	0	1	0	1
kbp	1	10	1	2
its	0	1	0	1
tsn	0	17	0	2
tso	0	8	0	1
djr	0	1	0	1
byv	0	2	0	1
tsg	1	2	1	1
tsc	1	0	1	0
djc	0	4	0	1
tsz	0	2	0	1
kxv	1	0	1	0
pcm	2	0	1	0
dji	0	1	0	1
pcc	0	3	0	1
djk	26	8	3	2
djj	18	9	1	1
fin	8296	46271	59	89
eus	1021	3923	25	38
bav	0	6	0	2
daf	0	5	0	3
dag	1	0	1	0
oku	0	5	0	3
ceb	3	11	2	4
dan	21239	64799	95	86
nog	28	33	9	3
mxp	1	0	1	0
dak	25	23	7	2
oka	1	0	1	0
cko	0	3	0	2
mox	0	1	0	1
kqk	0	1	0	1
ces	17202	64442	71	101
mbb	0	1	0	1
dar	83	68	19	10
dhv	1	0	1	0
pjt	2	10	1	3
kfy	1	0	1	0
nor	14530	45923	76	87
ifu	0	1	0	1
ynn	2	0	1	0
evn	24	8	4	1
kpy	6	7	5	1
ify	0	1	0	1
ife	0	45	0	3
sor	0	14	0	3
ifa	0	4	0	3
man	15	2	4	1
rar	34	78	5	6
pal	18	0	7	0
wsk	0	1	0	1
ifk	0	4	0	1
mdm	0	2	0	1
mdf	101	34	9	3
mde	0	6	0	1
bim	0	9	0	2
lao	41	232	9	12
mau	6	0	4	0
hlb	2	0	2	0
wgg	1	0	1	0
goh	20	4	4	3
lua	2	10	2	2
blw	0	5	0	3
sna	5	16	3	3
sms	4	2	3	2
kjb	3	1	2	1
smo	74	141	9	6
aji	1	1	1	1
smj	8	42	5	5
dsh	0	3	0	2
gbr	0	1	0	1
sme	103	173	16	16
smd	0	4	0	1
bla	2	4	2	2
snl	1	0	1	0
sma	0	30	0	6
ajg	0	7	0	1
lob	0	1	0	1
dgi	0	6	0	2
mmy	0	2	0	2
bwu	0	4	0	1
ast	73	193	8	18
lmp	0	8	0	2
ntr	1	8	1	3
lmw	1	0	1	0
glv	1	0	1	0
quc	1	0	1	0
mmn	0	3	0	3
que	37	25	10	5
ork	1	1	1	1
ori	244	752	21	38
bwi	1	0	1	0
aso	0	1	0	1
crh	28	20	5	2
asm	95	526	13	37
pus	60	285	23	14
kik	18	0	7	0
atd	0	4	0	2
meq	1	0	1	0
kij	1	0	1	0
ltz	4	36	2	8
yus	1	0	1	0
wls	2	0	2	0
atj	2	3	1	1
yut	0	1	0	1
cro	3	1	2	1
atv	0	1	0	1
att	0	1	0	1
mvc	0	1	0	1
yum	2	0	2	0
ats	1	0	1	0
wln	6	29	2	3
isl	1518	6514	42	37
yua	8	2	4	2
lor	0	1	0	1
xuo	0	11	0	3
rwo	0	1	0	1
rmr	1	4	1	2
kfz	0	12	0	3
vag	0	5	0	3
nhu	0	11	0	3
mai	13	7	4	4
pgu	0	1	0	1
kog	0	1	0	1
nhr	0	8	0	2
ded	0	1	0	1
onw	1	0	1	0
zap	3	0	2	0
yid	1590	89	42	12
kok	4	2	4	2
kom	121	26	7	3
lik	0	1	0	1
kon	9	5	2	2
sep	0	5	0	2
ukr	2877	4514	72	94
fmp	0	3	0	1
koy	1	0	1	0
toh	1	0	1	0
toi	0	2	0	1
ton	29	85	6	7
kos	0	2	0	2
kor	4621	22338	38	44
tog	0	1	0	1
sln	3	0	1	0
yiz	2	224	1	3
ncx	1	0	1	0
ncz	1	0	1	0
gia	1	0	1	0
hub	0	1	0	1
udu	0	2	0	2
ted	0	7	0	1
hun	11256	54989	58	95
ncu	2	6	1	3
jbt	1	0	1	0
nci	63	0	8	0
bba	0	4	0	1
hur	3	1	1	1
vas	0	1	0	1
oge	11	1	4	1
pqm	2	0	1	0
prq	0	2	0	1
cym	621	2312	22	19
udm	123	37	7	5
beh	0	14	0	2
ben	2223	1878	64	55
bel	1409	1874	49	54
bem	0	1	0	1
ktu	1	1	1	1
nzy	0	1	0	1
see	3	0	1	0
nza	0	1	0	1
aar	0	1	0	1
dts	1	0	1	0
etr	0	1	0	1
ybb	0	4	0	2
beq	5	0	2	0
bev	1	0	1	0
bet	1	0	1	0
aaz	0	1	0	1
ane	2	0	1	0
prg	2	0	2	0
sah	153	201	13	15
san	4282	58	68	16
bho	2	0	2	0
sac	2	0	2	0
pro	159	16	20	5
ram	1	0	1	0
pri	4	2	1	1
bhy	0	3	0	1
prt	0	5	0	3
anv	0	10	0	2
frm	267	16	22	6
lbe	41	65	8	6
sar	1	0	1	0
any	0	7	0	3
sat	3	1	2	1
sel	1	0	1	0
ofs	2	0	2	0
lil	1	0	1	0
lim	0	1	0	1
lin	13	20	1	5
xra	1	0	1	0
mif	1	26	1	3
lit	1985	15447	64	74
efi	0	2	0	2
liv	3	0	3	0
lnc	0	1	0	1
lis	1	78	1	1
miq	0	1	0	1
yuk	1	0	1	0
seh	0	1	0	1
kac	0	66	0	3
kab	39	9	2	5
kaa	129	568	10	35
mba	0	1	0	1
bst	0	1	0	1
kan	314	700	21	33
kam	3	0	1	0
bss	0	5	0	3
kas	24	10	8	5
kaq	2	0	1	0
iws	0	1	0	1
bsk	1	0	1	0
kaz	948	2454	40	70
tyv	56	164	10	18
awa	2	1	2	1
urd	950	1005	49	55
doi	10	1	4	1
urb	0	2	0	1
doc	0	5	0	1
tpm	0	3	0	3
tpi	1	6	1	2
tpw	1	0	1	0
ckt	33	39	12	4
ext	0	1	0	1
srs	1	0	1	0
mri	88	319	9	5
abi	0	6	0	2
axk	0	7	0	4
bzj	2	0	2	0
lpa	0	1	0	1
axm	2	0	1	0
pkp	0	1	0	1
