Code	unw.eig	unw.bet	exposure.eig	exposure.bet	common.eig	common.bet	Lang_Name
ara	0.17393235586663	0	0.106943103495593	0	0.0448379815520575	0	Arabic
ben	0.0478237606382475	0	0.273405136076704	0	0.00300601736908727	0	Bengali
bul	0.095647521276495	0	0.140934633121561	0	0.020681871957846	0	Bulgarian
cat	0.164787940512071	0	0.125037795785404	0	0.0394130033805565	0	Catalan
ces	0.179994659584018	0	0.119489659723119	0	0.0451108534230672	0	Czech
dan	0.179994659584018	0	0.169178511509253	0	0.0504610144857954	0	Danish
deu	0.881853885828309	116.471428571429	0.239803849652192	225	0.7262069136062	213	German
ell	0.095647521276495	0	0.190961888145432	0	0.0250166789301644	0	Modern Greek
eng	1	830.471428571429	1	637	1	623	English
epo	0.0478237606382475	0	0.205644677875693	0	0.00399818027283316	0	Esperanto
est	0.0478237606382475	0	0.128000604031373	0	0.00418716368307048	0	Estonian
fas	0.095647521276495	0	0.109599296493224	0	0.0331193426440892	0	Persian
fin	0.319300767585278	0	0.138986447660153	0	0.0700743930665537	48	Finnish
fra	0.818472173093032	46.4714285714286	0.190261968087261	183	0.51215784886356	139	French
glg	0.069140419235576	0	0.0383853003349201	0	0.00307705481042221	0	Galician
hbs	0.179994659584018	0	0.163920726615996	0	0.0429947197769732	0	Serbo-Croatian
heb	0.179994659584018	0	0.0968585803723446	0	0.0427535296587658	0	Hebrew
hin	0.0478237606382475	0	0.280544879387968	0	0.00437024136173787	0	Hindi
hun	0.258279494174153	0	0.120214271449388	0	0.055255014132959	70	Hungarian
ita	0.667877418887979	1.9047619047619	0.139686184171305	0	0.238288918579421	4	Italian
jpn	0.716780194239307	15.3047619047619	0.0892736682220225	220	0.186781861844653	246	Japanese
kor	0.16420577015557	0	0.0921675280928476	0	0.0334503034519455	207	Korean
lat	0.0478237606382475	0	0.267113741589809	0	0.00399818027283317	0	Latin
lit	0.0478237606382475	0	0.122004907795069	0	0.00476001964535233	0	Lithuanian
mal	0.0478237606382475	0	0.252542701352287	0	0.00394502868870393	0	Malayalam
msa	0.095647521276495	0	0.159487963146106	0	0.0379502310682805	0	Malay
nld	0.582232256103463	0	0.180720654601715	0	0.20658172855791	0	Dutch
nor	0.319300767585278	0	0.167687432748731	0	0.0906003352855387	0	Norwegian
pol	0.521210982692337	0	0.119214571160139	0	0.140932457453036	0	Polish
por	0.459858981921982	0	0.116467306843965	6	0.16696291113502	24	Portuguese
ron	0.179994659584018	0	0.147658675297297	0	0.0386210571154978	50	Romanian
rus	0.641438481118609	9.57142857142857	0.148139850727387	22	0.230283367366425	28	Russian
slk	0.0478237606382475	0	0.123701625897552	0	0.00609471498015336	0	Slovak
slv	0.0478237606382475	0	0.0994997998584099	0	0.00601794046974445	0	Slovenian
spa	0.722866816754266	83.3047619047619	0.181049930244748	112	0.438576228215395	123	Spanish
sqi	0.0478237606382475	0	0.162536501379584	0	0.0035316274788098	0	Albanian
swe	0.637980708718282	6.5	0.197336952511208	3	0.143417773020026	130	Swedish
tam	0.0478237606382475	0	0.241163714735492	0	0.0033839841895619	0	Tamil
tha	0.0478237606382475	0	0.100162104235542	0	0.0078014714038591	0	Thai
tur	0.258279494174153	0	0.114097607217107	0	0.0669674896514049	0	Turkish
ukr	0.15699952204685	0	0.125557737359172	0	0.0295766293605665	0	Ukrainian
vie	0.0478237606382475	0	0.096670524052176	0	0.00867551967620667	0	Vietnamese
zho	0.395978162288803	0	0.12458230585239	136	0.144861017588446	58	Chinese
