source	target	exposure
ces	slk	0.0943018083693
eng	ukr	0.0938360118688
epo	eng	0.000156005743681
rus	pol	0.0223939261666
rus	eng	0.031301589544
rus	ell	0.0622533407888
vie	jpn	0.00184706507076
fin	est	0.0709563482434
eng	jpn	0.289510858895
nld	nor	0.0153609972546
spa	deu	0.0104882459513
deu	fin	0.0356345278489
jpn	nld	0.00674678822785
eng	haw	0.633333333333
fra	spa	0.0608182683889
deu	hbs	0.0742961186606
ron	eng	0.00404719225206
ita	por	0.0265540898562
swe	fra	0.00410465190098
pol	ukr	0.070648890321
eng	nld	0.510153911259
ita	lat	0.177716390424
ara	fas	0.353752905523
pol	rus	0.00910717644904
glg	spa	0.00324244686353
eng	vie	0.168956743003
jpn	tha	0.0160571537568
kor	eng	0.0104515847522
eng	afr	0.797036082474
ukr	eng	0.00122569671483
epo	rus	0.00283291301051
kor	msa	0.0364117841774
deu	spa	0.0381266904582
fil	eng	0.00587656634795
eng	sco	0.447916666667
eng	fas	0.282620665885
por	fra	0.00444432723846
por	cat	0.0517107309487
fra	roh	0.360328638498
eng	ita	0.283844061188
ita	spa	0.0202942721806
eng	swe	0.465432216855
rus	bel	0.54909284952
jpn	pol	0.00813862550622
rus	spa	0.0105859443079
deu	jpn	0.0241986550463
swe	nor	0.070186605561
swa	eng	0.000510934214595
ell	rus	0.0156549059922
hbs	jpn	0.00361009203406
roh	fra	0.00226649112412
slk	pol	0.00920744719548
nld	spa	0.00353805066706
nld	ces	0.168678811955
nld	ita	0.0706546239323
deu	lat	0.201657458564
ara	eng	0.00936990740186
lat	epo	0.112956129561
afr	eng	0.00547081874029
dan	deu	0.00485901254309
eng	deu	0.491935814554
vie	eng	0.000637839386433
slk	ces	0.0232647663042
ces	eng	0.0082116554626
deu	eng	0.0739333331696
lat	deu	0.00494156735976
zho	fil	0.0211111111111
lav	eng	0.000388414454906
zho	eng	0.00785285324857
jpn	fra	0.0142250199804
cat	por	0.00632897588907
deu	por	0.0385798132014
spa	msa	0.0198526611113
fil	nld	0.00218164223685
deu	sah	0.336650082919
hun	eng	0.00768407986291
jpn	deu	0.0031546549527
eng	lat	0.384898710866
rus	jpn	0.00741308671461
rus	ukr	0.36918811509
jpn	zho	0.0448227261109
ukr	pol	0.0162642166016
eng	pol	0.409489556305
eng	tur	0.23775358106
fin	eng	0.00461007010902
spa	ces	0.0219405781453
fil	jpn	0.000331899354287
jpn	kor	0.0276929909758
msa	por	0.0114004724355
zho	nld	0.00652231327477
cat	spa	0.0179232230793
eng	por	0.39075398469
eng	zho	0.531876437726
spa	eng	0.0385279347923
nld	zho	0.00705204241846
eng	fil	0.538888888889
heb	eng	0.00765486029038
cat	jpn	0.00181905236827
eng	slv	0.262891212461
spa	ita	0.0175374586306
deu	rus	0.0384191798854
eng	swa	0.679050567595
eng	slk	0.20268208278
deu	heb	0.0332662694049
tha	kor	0.00283380879487
cat	deu	0.00115550390725
ces	spa	0.0027429783679
rus	epo	0.133866338663
eng	sah	0.339966832504
por	spa	0.0177380732208
eng	epo	0.151086510865
por	ell	0.167481097902
lat	ita	0.0103392860305
bel	rus	0.0104229361708
afr	slv	0.0303208375221
deu	pol	0.0517039713526
tur	eng	0.00336576514273
spa	cat	0.43202745069
spa	nld	0.0101707795122
zho	jpn	0.00640549574824
hbs	deu	0.00233765030171
deu	swe	0.0293274825833
sah	deu	0.000770964008672
ces	nld	0.00311545804168
por	eng	0.0202925112619
jpn	eng	0.0320223176155
eng	rus	0.229905518767
pol	jpn	0.00211445904905
eng	tha	0.451002945931
fra	heb	0.0382840597525
nor	deu	0.00302115000275
kor	tha	0.0286404596346
fil	zho	0.047624368183
est	fin	0.0087907318273
fin	jpn	0.00204824720681
heb	slv	0.0312290056935
tha	eng	0.00596193807155
eng	ces	0.552440192378
ben	eng	0.00139886398986
tur	msa	0.00678167646758
deu	fra	0.0368384831715
afr	nld	0.0286456840196
por	deu	0.00381339637805
ukr	rus	0.024183715064
jpn	ell	0.306467232311
bul	ita	0.00272883419473
jpn	vie	0.0717557251908
jpn	spa	0.00593300288204
swe	eng	0.0114622618243
deu	epo	0.156006560066
jpn	hbs	0.0750288657963
bul	eng	0.00128493815102
por	msa	0.0252803247773
eng	hun	0.217277221678
eng	ara	0.258528233888
jpn	fin	0.00791905554338
nor	eng	0.00375349311202
msa	nld	0.0110937771455
fas	eng	0.00158235724591
fra	eng	0.0684615711307
nor	swe	0.0377635095998
heb	fra	0.00402497496997
jpn	ita	0.00688393169104
fin	rus	0.00448000784129
tur	kur	0.348258706468
fra	deu	0.0384280905145
eng	spa	0.306937271034
spa	roh	0.334507042254
msa	tur	0.0108088332509
heb	deu	0.00317405310782
eng	fra	0.428432737536
deu	nor	0.0297546562055
slk	kor	0.0133482555884
msa	eng	0.0136206445865
pol	slk	0.0385171402431
nor	fra	0.00303390577545
ukr	deu	0.000978638375265
ita	fra	0.0207032057211
slv	deu	0.00131297128412
por	ita	0.00715692740111
jpn	rus	0.03516964231
pol	eng	0.00638344792897
jpn	msa	0.0257410949547
fra	swe	0.028188286809
spa	glg	0.282370307887
spa	fra	0.0717535200722
tha	jpn	0.000359491985237
slk	eng	0.00134068915653
msa	kor	0.0154922650033
pol	deu	0.00411657523313
est	rus	0.0121114129864
ell	eng	0.00563095934364
kor	jpn	0.00787013763677
slv	eng	0.00149334978057
eng	ell	0.507327855169
ita	nld	0.0131725035777
vie	hbs	0.0370444385233
tur	rus	0.00822009785186
nld	msa	0.041416998783
swe	deu	0.00649684297331
rus	heb	0.020828231513
fas	ara	0.00740828154092
ell	deu	0.00229389179528
zho	msa	0.018651688305
eng	fin	0.244781648693
sah	eng	0.000146891676574
msa	spa	0.00579782093727
rus	est	0.0889131548438
deu	dan	0.0722696337906
nld	deu	0.00942745068375
fra	jpn	0.0269388066714
ita	bul	0.0719887084661
lat	eng	0.00611311520089
eng	kor	0.315051989704
spa	rus	0.00623180796694
spa	por	0.0497925597563
deu	ell	0.357912138672
fra	nor	0.0263504070638
lat	bul	0.06815580245
epo	deu	0.000774387212517
nld	eng	0.0417184698082
msa	jpn	0.00209705285537
nor	spa	0.00675091608605
msa	deu	0.000826876338139
deu	ukr	0.046696472926
nld	afr	0.271692439863
deu	slv	0.0926817186233
eng	cat	0.260793897652
nor	nld	0.00726757011901
ita	deu	0.0146573103101
deu	ita	0.0563484999056
ces	nor	0.0135899166777
eng	msa	0.650359839567
fra	por	0.0570956055291
eng	heb	0.700738023327
fin	deu	0.00230416140682
eng	bul	0.307821200114
kur	tur	0.0100004293447
cat	eng	0.00243437720935
ita	eng	0.0158713865238
sco	eng	0.000174233877895
eng	est	0.301210601526
heb	rus	0.00369874525652
ell	jpn	0.00178470069951
jpn	cat	0.0486743686588
eng	lav	0.491344383057
nor	ces	0.0181128467486
eng	ron	0.380105430387
deu	cat	0.07944530845
ara	fil	0.0211111111111
rus	deu	0.0614753809346
eng	nor	0.281067193301
eng	roh	0.346244131455
deu	msa	0.0259756666408
est	eng	0.00417637594068
spa	jpn	0.00608539629021
haw	eng	0.000183347945002
rus	tur	0.0297577973742
spa	nor	0.0416915829563
roh	eng	0.000149170193351
fra	ita	0.0663524257576
eng	ben	0.455449059283
eng	hbs	0.24520383693
msa	zho	0.00663171786405
ell	por	0.00626652133591
nld	jpn	0.00283514948577
hbs	eng	0.00917316323202
deu	nld	0.0623129568904
rus	fin	0.0146547359191
ita	jpn	0.00735360773009
